SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:59:30
Date and Time Ended,2019-Sep-27 19:59:34
Scan Name,Scan Tx5-Rx5 Link 9 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3808
Horizontal Opening,43
Horizontal Percentage,66.15
Vertical Opening,129
Vertical Percentage,54.84
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.500114,0.500726,0.4992,0.497382,0.496778,0.4992,0.4992,0.498896,0.4992,0.496778,0.498593,0.497382,0.499809,0.501339,0.499809,0.499505,0.497684,0.4992,0.497382,0.498593,0.501646,0.499809,0.4992,0.497382,0.499809,0.498593,0.497684,0.498593,0.50042,0.498593,0.499505,0.501339,0.4992,0.497986,0.498593,0.498593,0.499505,0.498289,0.497684,0.497986,0.50042,0.499505,0.498593,0.501646,0.500726,0.50042,0.501032,0.495876,0.497684,0.498896,0.498289,0.498593,0.497684,0.497986,0.499809,0.499809,0.498896,0.498896,0.498593,0.498896,0.4992,0.497382,0.50042,0.499505,0.500726
112,0.443044,0.432746,0.432746,0.432974,0.429119,0.422262,0.431606,0.432289,0.441611,0.436202,0.449116,0.45309,0.450846,0.463866,0.465712,0.468911,0.467306,0.476272,0.479899,0.486453,0.485876,0.485013,0.486742,0.488775,0.490238,0.489945,0.49112,0.496477,0.492596,0.496778,0.497382,0.496778,0.499809,0.49708,0.49708,0.497986,0.499809,0.499505,0.499505,0.4992,0.495277,0.494977,0.492596,0.492596,0.493189,0.488484,0.486742,0.482443,0.481875,0.481026,0.481309,0.479618,0.475167,0.478497,0.477382,0.472426,0.473245,0.474616,0.472154,0.483582,0.475719,0.476549,0.479337,0.484726,0.488193
104,0.264084,0.263574,0.261638,0.262729,0.261889,0.26315,0.260639,0.262897,0.265195,0.261638,0.264084,0.265625,0.265625,0.269558,0.269115,0.270002,0.274343,0.275172,0.27892,0.27854,0.283947,0.27911,0.284935,0.291215,0.293721,0.294143,0.296163,0.306124,0.31136,0.310181,0.31875,0.316411,0.327152,0.334635,0.316778,0.314106,0.318131,0.311834,0.300619,0.296807,0.297022,0.295736,0.290492,0.289568,0.290081,0.287535,0.285431,0.282966,0.284144,0.279968,0.281798,0.283456,0.282869,0.285133,0.286029,0.283947,0.28583,0.284243,0.285232,0.288751,0.288041,0.291215,0.297886,0.295949,0.298103
96,0.250134,0.249524,0.2496,0.250823,0.249828,0.250286,0.250134,0.250516,0.249676,0.25021,0.249752,0.250363,0.249372,0.249448,0.246298,0.250134,0.25021,0.249524,0.249676,0.249828,0.248314,0.247115,0.242507,0.233187,0.220212,0.194674,0.176321,0.151393,0.127223,0.105729,0.0903383,0.0822643,0.0790798,0.0830903,0.079394,0.0950775,0.106044,0.123838,0.131978,0.151365,0.174036,0.192705,0.206761,0.225983,0.237102,0.243661,0.24719,0.249145,0.2496,0.249752,0.249981,0.250823,0.250516,0.25021,0.250823,0.250363,0.248918,0.2496,0.250363,0.248842,0.248615,0.250134,0.250516,0.249905,0.250363
88,0.250439,0.249296,0.2496,0.249981,0.249524,0.248842,0.2496,0.250977,0.25021,0.250134,0.250363,0.249372,0.25021,0.250057,0.248465,0.249448,0.247788,0.244461,0.237998,0.222726,0.197299,0.169885,0.135135,0.100823,0.0721942,0.0480208,0.0359387,0.0244519,0.0181832,0.0143145,0.0112692,0.0107073,0.0106603,0.0115898,0.0127762,0.0156405,0.0197657,0.0262644,0.0316386,0.0400757,0.0525794,0.0712461,0.0910613,0.119293,0.148242,0.174816,0.201077,0.219621,0.236896,0.244024,0.249145,0.249372,0.250134,0.250057,0.248766,0.250134,0.249905,0.250286,0.249676,0.250286,0.249676,0.249905,0.250516,0.250363,0.2496
80,0.249828,0.249145,0.2496,0.249905,0.249676,0.249372,0.250286,0.250363,0.25021,0.249145,0.249905,0.248918,0.248842,0.247938,0.242507,0.229657,0.208657,0.178123,0.146414,0.110522,0.0739272,0.0437226,0.0253133,0.0146726,0.00722038,0.0034678,0.00215171,0.00115568,0.000751125,0.000457771,0.000378805,0.000300412,0.000363546,0.000464828,0.000632486,0.000979057,0.0016989,0.00251888,0.00395113,0.00662509,0.00992313,0.0156779,0.0240485,0.0357334,0.0545071,0.0737874,0.107167,0.134007,0.171918,0.202519,0.225609,0.24009,0.246372,0.248389,0.249372,0.24922,0.250363,0.25021,0.249524,0.249448,0.250286,0.249296,0.249905,0.250516,0.24922
72,0.2496,0.24922,0.248918,0.250286,0.249828,0.248993,0.248163,0.249296,0.250134,0.24854,0.247489,0.24265,0.231736,0.21603,0.18793,0.146992,0.105024,0.0665357,0.0404038,0.0219757,0.0101587,0.00418746,0.00158923,0.000603113,0.000203517,7.68673e-05,2.7657e-05,1.1635e-05,5.5314e-06,3.24254e-06,2.28885e-06,5.72213e-07,2.28885e-06,1.90738e-06,5.5314e-06,1.48775e-05,3.37606e-05,7.70581e-05,0.000172618,0.000479133,0.000934234,0.00223583,0.0043925,0.00803178,0.0142726,0.022874,0.0375275,0.0561818,0.087259,0.118603,0.157264,0.193068,0.217522,0.234388,0.244972,0.248088,0.249981,0.249145,0.250593,0.250134,0.250823,0.249676,0.249372,0.250593,0.25021
64,0.250134,0.250439,0.249296,0.250593,0.250286,0.249752,0.249372,0.248389,0.247115,0.24002,0.228568,0.205929,0.173373,0.133007,0.0912947,0.0554067,0.0275357,0.0129456,0.00589475,0.00203193,0.000588045,0.000143816,3.83383e-05,7.82025e-06,1.14443e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,9.53689e-07,2.47959e-06,9.34615e-06,3.07088e-05,0.000117113,0.000434691,0.0011471,0.00275788,0.00546883,0.0105802,0.018705,0.0336948,0.0534857,0.085421,0.121487,0.155798,0.193114,0.219034,0.234994,0.245339,0.248314,0.249828,0.250057,0.249145,0.250593,0.250134,0.25021,0.250516
56,0.250134,0.250057,0.250439,0.250516,0.249676,0.248993,0.246966,0.240725,0.22642,0.205053,0.172207,0.12923,0.0851369,0.0541254,0.0270734,0.0112821,0.00395552,0.00120699,0.000311093,7.97284e-05,9.15541e-06,2.47959e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.33516e-06,9.15541e-06,6.10361e-05,0.000241283,0.000763523,0.00208038,0.00485924,0.0100929,0.0187401,0.0358507,0.0573821,0.0858507,0.126457,0.164495,0.197062,0.220984,0.237859,0.246002,0.249676,0.25021,0.250363,0.2509,0.249524,0.250057
48,0.249752,0.24922,0.249752,0.248314,0.247414,0.241292,0.228377,0.208657,0.175942,0.134117,0.0915293,0.0524851,0.0259294,0.0115536,0.00403334,0.0011181,0.000244717,3.89105e-05,4.76844e-06,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,7.62951e-07,5.14992e-06,3.54772e-05,0.000176051,0.00069028,0.00203689,0.00478218,0.0111847,0.0213988,0.0375533,0.0631358,0.0969912,0.13381,0.169429,0.203525,0.225299,0.240372,0.246818,0.24922,0.249296,0.249372,0.250134
