SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:56:34
Date and Time Ended,2019-Sep-27 19:56:38
Scan Name,Scan Tx2-Rx2 Link 3 
Link Settings,
Reset RX After Applying Settings,false
Open Area,2472
Horizontal Opening,38
Horizontal Percentage,58.46
Vertical Opening,89
Vertical Percentage,38.71
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.498896,0.501032,0.499505,0.499809,0.501032,0.500726,0.50042,0.499809,0.498593,0.498896,0.498896,0.501032,0.501339,0.502878,0.497986,0.499505,0.500114,0.501953,0.499505,0.4992,0.498896,0.501339,0.498289,0.499809,0.499809,0.499809,0.500114,0.500114,0.498896,0.500726,0.501953,0.499809,0.4992,0.496778,0.502878,0.497986,0.501339,0.497986,0.499505,0.498593,0.499809,0.500114,0.499505,0.501646,0.497986,0.499809,0.499809,0.4992,0.498896,0.499505,0.498896,0.4992,0.499505,0.499809,0.500114,0.499809,0.497986,0.499809,0.498289,0.498289,0.500114,0.500114,0.501032,0.497684,0.497684
112,0.411032,0.413522,0.411239,0.414359,0.408165,0.409389,0.412274,0.415409,0.417953,0.426438,0.425995,0.430698,0.438068,0.443523,0.454599,0.45234,0.450103,0.456881,0.461774,0.458672,0.469448,0.472154,0.470257,0.471611,0.477382,0.478218,0.482159,0.482443,0.484153,0.489945,0.486453,0.486742,0.488484,0.489359,0.492005,0.487032,0.485588,0.482159,0.481026,0.477382,0.476549,0.469448,0.46704,0.469718,0.461254,0.46704,0.460218,0.462035,0.45561,0.458159,0.449856,0.45561,0.456881,0.45035,0.447399,0.439714,0.45259,0.450103,0.453592,0.450598,0.458159,0.456118,0.460995,0.458159,0.46918
104,0.256236,0.255916,0.2585,0.258419,0.256316,0.257606,0.257121,0.256638,0.2585,0.259812,0.258256,0.260307,0.261554,0.261387,0.264938,0.265539,0.266056,0.268586,0.271075,0.272881,0.275265,0.280256,0.279015,0.27892,0.284737,0.291111,0.289363,0.30206,0.309595,0.317392,0.308081,0.321502,0.323534,0.32012,0.320621,0.318998,0.308197,0.310416,0.29963,0.28967,0.285531,0.281508,0.276286,0.275265,0.270985,0.271794,0.26841,0.267796,0.26701,0.264425,0.264169,0.267533,0.266316,0.265367,0.264681,0.264938,0.264766,0.266056,0.266663,0.266749,0.267446,0.265281,0.273062,0.272155,0.27508
96,0.249145,0.250439,0.249752,0.2496,0.249905,0.249524,0.250516,0.249828,0.250286,0.25021,0.250977,0.250516,0.250746,0.249448,0.249828,0.248691,0.249069,0.246743,0.244315,0.239739,0.235602,0.229336,0.221642,0.213386,0.199461,0.192252,0.181598,0.172026,0.16072,0.152919,0.144861,0.142517,0.144223,0.145015,0.155887,0.169604,0.178472,0.194952,0.214111,0.226108,0.234724,0.241008,0.245707,0.248691,0.249069,0.25021,0.250516,0.24922,0.250363,0.250516,0.249524,0.250363,0.249905,0.249524,0.249752,0.249905,0.250439,0.249676,0.25021,0.248918,0.249828,0.250134,0.250134,0.2496,0.2496
88,0.249981,0.249828,0.250057,0.2496,0.248766,0.250363,0.249981,0.250363,0.25021,0.250669,0.250516,0.249372,0.249145,0.248314,0.244972,0.241363,0.23412,0.227426,0.215803,0.202169,0.190287,0.172026,0.155917,0.137702,0.119869,0.11021,0.0953209,0.0874546,0.0790874,0.0767173,0.0725201,0.0724624,0.0735291,0.0751341,0.0797263,0.0854121,0.0902586,0.0999497,0.111484,0.122798,0.138353,0.158665,0.181036,0.202318,0.2188,0.234254,0.242077,0.245486,0.248465,0.250057,0.250363,0.249752,0.249752,0.249828,0.248842,0.249905,0.249296,0.249828,0.249828,0.250439,0.249524,0.250057,0.25021,0.250516,0.249524
80,0.249448,0.250057,0.250593,0.249981,0.2496,0.249981,0.249828,0.24922,0.249069,0.2496,0.247489,0.245781,0.24115,0.231999,0.225113,0.213386,0.195417,0.179883,0.158788,0.137217,0.11681,0.0958226,0.0777144,0.0627105,0.0509667,0.041636,0.0360082,0.0307722,0.0277118,0.0266993,0.0250157,0.0258884,0.0261496,0.0285372,0.0317269,0.0372087,0.0405378,0.0490914,0.0579177,0.0656558,0.0752031,0.0878109,0.103107,0.123038,0.144172,0.168974,0.18884,0.210859,0.227805,0.238761,0.245486,0.247638,0.249752,0.249905,0.250439,0.250746,0.24854,0.249752,0.250746,0.249905,0.250363,0.249905,0.250593,0.2496,0.249981
72,0.250057,0.250134,0.250363,0.24922,0.249524,0.250363,0.249296,0.248993,0.247115,0.243299,0.235466,0.230109,0.21603,0.197824,0.179293,0.157143,0.127958,0.10783,0.0871476,0.0638743,0.0476798,0.0341941,0.024207,0.0174088,0.0124161,0.00991283,0.00750725,0.00610456,0.00540246,0.00487602,0.00440394,0.00459926,0.00467002,0.00555905,0.00647631,0.00840105,0.00976101,0.0134968,0.018134,0.0234449,0.030365,0.0383712,0.0511513,0.0631748,0.0815436,0.0985429,0.119241,0.144299,0.167901,0.191354,0.215236,0.230432,0.24301,0.24615,0.249372,0.249676,0.249752,0.249752,0.250286,0.250057,0.250363,0.250593,0.2496,0.250439,0.250516
64,0.249981,0.24854,0.250363,0.2496,0.249752,0.249752,0.246446,0.242794,0.236281,0.223699,0.207547,0.190111,0.168557,0.141924,0.118654,0.0923965,0.0678191,0.046768,0.0328872,0.0205243,0.0129377,0.00791829,0.00476005,0.00306325,0.00192111,0.00129969,0.000940719,0.000649653,0.00056878,0.000464637,0.000367361,0.000413901,0.000405699,0.000520714,0.000667391,0.00100366,0.00134775,0.00206245,0.00317197,0.00488785,0.00737411,0.011116,0.0174611,0.0260614,0.0362264,0.0501063,0.0650252,0.0859318,0.106568,0.129026,0.157961,0.183716,0.210156,0.225547,0.239109,0.244388,0.248691,0.249524,0.249828,0.250057,0.25021,0.250516,0.249676,0.250286,0.249145
56,0.249752,0.250286,0.249448,0.249905,0.246743,0.242507,0.235399,0.222062,0.210426,0.187115,0.161194,0.13754,0.107632,0.0825877,0.0604879,0.0396682,0.024021,0.0140169,0.0077678,0.00414511,0.00214637,0.0010626,0.000514611,0.000282864,0.000146868,7.8584e-05,5.13085e-05,3.20439e-05,1.98367e-05,1.44961e-05,1.06813e-05,1.22072e-05,1.39239e-05,1.48775e-05,2.55589e-05,4.57771e-05,6.981e-05,0.000146296,0.000253681,0.000509079,0.00094892,0.00186542,0.00350004,0.00666171,0.011202,0.018844,0.0281189,0.0422283,0.0571061,0.0782414,0.09967,0.125392,0.154593,0.183222,0.207022,0.225671,0.237998,0.245486,0.248088,0.249752,0.2496,0.2496,0.249981,0.249752,0.249828
48,0.250439,0.248766,0.246669,0.244461,0.23567,0.223638,0.208498,0.188622,0.160625,0.133201,0.10175,0.0771581,0.0519459,0.0347614,0.0207578,0.0113661,0.00562619,0.00265106,0.00112306,0.000430304,0.000192836,7.4197e-05,2.4033e-05,1.14443e-05,4.57771e-06,1.90738e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,9.53689e-07,3.81476e-06,9.34615e-06,2.74662e-05,5.8175e-05,0.000144961,0.000400168,0.00097982,0.00211128,0.00436809,0.00825132,0.0146787,0.0247871,0.0391076,0.055153,0.0744513,0.101397,0.126223,0.155061,0.18417,0.210588,0.227805,0.239389,0.246595,0.24922,0.249069,0.249524,0.250669,0.249905
