SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:55:03
Date and Time Ended,2019-Sep-27 19:55:07
Scan Name,Scan Tx0-Rx0 Link 6 
Link Settings,
Reset RX After Applying Settings,false
Open Area,4808
Horizontal Opening,31
Horizontal Percentage,47.69
Vertical Opening,225
Vertical Percentage,93.55
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.240231,0.231671,0.217061,0.197299,0.170238,0.143919,0.112836,0.083065,0.0588835,0.0401051,0.0262409,0.0160852,0.00946994,0.00557307,0.00311942,0.00173333,0.000915351,0.000434215,0.000201705,9.44152e-05,4.31067e-05,1.62127e-05,7.3434e-06,2.57496e-06,9.53689e-07,4.76844e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.81476e-07,2.38422e-06,8.01099e-06,1.83108e-05,5.69352e-05,0.000123789,0.000290494,0.000587472,0.00125887,0.00247044,0.00449922,0.00749417,0.0121063,0.0192795,0.0298799,0.0440329,0.0616487,0.083065,0.108992,0.136622,0.166164,0.192207,0.212115,0.2273,0.237583,0.245119,0.248088,0.249145,0.252836,0.256477
112,0.23567,0.22309,0.204797,0.181638,0.153578,0.122194,0.0933653,0.0655036,0.0442565,0.029685,0.0183773,0.0107819,0.00599298,0.00333705,0.00181296,0.000918307,0.000458629,0.000217155,9.36522e-05,3.73846e-05,1.87877e-05,6.77119e-06,2.57496e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.5832e-07,3.14717e-06,8.86931e-06,2.18395e-05,5.14038e-05,0.000143244,0.000311952,0.000694476,0.00149348,0.00277752,0.00480297,0.00849621,0.013804,0.0223797,0.0337114,0.0492182,0.0693287,0.0928573,0.120682,0.150752,0.177698,0.200585,0.219621,0.233121,0.240937,0.24719,0.250669,0.255358,0.25973
104,0.228059,0.210696,0.190597,0.163445,0.134957,0.101284,0.0755012,0.0514113,0.0328253,0.0210903,0.0127018,0.00692513,0.00373436,0.00198396,0.00104925,0.00049897,0.000251106,0.000104143,4.2153e-05,1.62127e-05,7.24804e-06,2.38422e-06,9.53689e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.14443e-06,2.57496e-06,7.82025e-06,2.5845e-05,6.6949e-05,0.00016041,0.000387293,0.000874819,0.00168088,0.0031652,0.00567559,0.00954519,0.0161786,0.025598,0.0376673,0.0565815,0.0774133,0.104863,0.135358,0.161703,0.190332,0.210805,0.226671,0.238274,0.245855,0.25113,0.256799,0.26597
96,0.219386,0.19951,0.176094,0.144528,0.115868,0.0841055,0.0602787,0.0383946,0.0241905,0.0150029,0.00855191,0.00449846,0.00231222,0.00116951,0.000590333,0.000278859,0.000127794,4.93057e-05,1.8883e-05,7.72488e-06,2.28885e-06,1.33516e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,4.76844e-07,2.86107e-06,1.05859e-05,2.93736e-05,7.6772e-05,0.000196841,0.000499065,0.00104238,0.00202516,0.00372339,0.00662934,0.0116597,0.0189873,0.0297713,0.0451244,0.064039,0.0909198,0.118723,0.148028,0.174965,0.199122,0.219504,0.231933,0.243806,0.252213,0.262224,0.273976
88,0.20919,0.184751,0.158634,0.127164,0.0967849,0.0687353,0.0468589,0.0287798,0.0173109,0.0100011,0.00540665,0.00284123,0.00131094,0.000633822,0.000310903,0.000149062,5.59815e-05,2.39376e-05,7.15267e-06,3.43328e-06,7.62951e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.81476e-07,1.04906e-06,4.00549e-06,1.29702e-05,3.60494e-05,9.99466e-05,0.000263027,0.000584516,0.00119678,0.00235456,0.00446012,0.0079703,0.0138859,0.0220674,0.0351824,0.0522975,0.0765024,0.102707,0.131449,0.161639,0.186348,0.20919,0.227679,0.241934,0.254248,0.268234,0.284836
80,0.197395,0.171594,0.140224,0.110911,0.0812525,0.0557802,0.0358978,0.0209479,0.0125155,0.00670992,0.00357862,0.00171569,0.000795949,0.000365167,0.000162985,6.83795e-05,2.89921e-05,8.5832e-06,2.09812e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,1.5259e-06,4.48234e-06,1.62127e-05,5.08316e-05,0.000140288,0.000344854,0.000735771,0.00145171,0.00302758,0.00563792,0.00988736,0.0166732,0.0266022,0.0415662,0.0630629,0.0888104,0.116065,0.145971,0.173778,0.199122,0.220805,0.238691,0.255676,0.274527,0.296163
72,0.184668,0.155798,0.124044,0.0943764,0.0672568,0.0429704,0.0275413,0.0154023,0.00830162,0.00447461,0.00222601,0.00105726,0.000460727,0.000203136,9.03143e-05,3.60494e-05,1.48775e-05,5.43603e-06,1.33516e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,2.95644e-06,8.29709e-06,2.47959e-05,6.80934e-05,0.000194266,0.000439651,0.000886263,0.00188172,0.00380627,0.00713715,0.0123599,0.020493,0.0330851,0.051463,0.0745665,0.102016,0.131322,0.159127,0.189979,0.213887,0.237998,0.258745,0.283064,0.308197
64,0.172388,0.141045,0.108358,0.0760337,0.0529875,0.0333627,0.0202019,0.0107114,0.005696,0.00289397,0.00140307,0.000634203,0.000258164,0.000102617,4.48234e-05,1.61173e-05,5.05455e-06,1.81201e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.5832e-07,3.43328e-06,9.91836e-06,3.27115e-05,9.85161e-05,0.000236038,0.00050555,0.00118076,0.00254845,0.00487011,0.00893315,0.0154944,0.0260688,0.0408735,0.0614821,0.0863575,0.115967,0.144682,0.179018,0.206866,0.234859,0.263574,0.290698,0.323023
56,0.157294,0.123001,0.0903184,0.0631504,0.0418893,0.0252135,0.0143235,0.00740957,0.00373608,0.00187915,0.000817407,0.000351434,0.000135233,5.4551e-05,1.85969e-05,7.82025e-06,2.57496e-06,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-07,4.95918e-06,1.69757e-05,4.69215e-05,0.000117781,0.000288777,0.00071994,0.00163376,0.00323978,0.00613184,0.0112322,0.0195193,0.0318304,0.0509508,0.0729463,0.100761,0.129988,0.163707,0.198063,0.231802,0.265797,0.301838,0.338228
48,0.142368,0.109225,0.0763598,0.0509128,0.0319396,0.018877,0.010141,0.00514277,0.00249943,0.00112154,0.000511368,0.000203708,7.75349e-05,2.88014e-05,8.96468e-06,3.91012e-06,1.04906e-06,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.5259e-06,7.15267e-06,2.38422e-05,7.15267e-05,0.000171283,0.000441367,0.000992695,0.00214132,0.00422189,0.00800347,0.0147103,0.0246699,0.0404098,0.0610332,0.0878203,0.117261,0.152948,0.190243,0.228313,0.26841,0.313865,0.351885
40,0.130236,0.0931742,0.0632089,0.0402549,0.0242191,0.0134095,0.00685008,0.00329175,0.00152123,0.000670062,0.000278668,0.000111295,3.15671e-05,1.21118e-05,4.19623e-06,5.72213e-07,1.90738e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,2.47959e-06,9.53689e-06,3.07088e-05,8.67857e-05,0.00023661,0.000594339,0.00130684,0.002778,0.00544699,0.0105773,0.0184203,0.0312333,0.049708,0.0732071,0.103354,0.139984,0.182042,0.227932,0.273976,0.32125,0.365709
32,0.118039,0.0792711,0.0522574,0.03188,0.0180089,0.00979819,0.00473335,0.00211128,0.000896754,0.000390631,0.000146201,5.07362e-05,1.79294e-05,6.00824e-06,1.5259e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.5259e-06,4.48234e-06,1.54498e-05,4.14855e-05,0.000136473,0.000325685,0.000800431,0.00178235,0.00370804,0.00735899,0.0136495,0.0247833,0.0405739,0.0637202,0.0934932,0.130652,0.174965,0.222484,0.279205,0.330051,0.378203
24,0.109371,0.0712957,0.0435877,0.0257073,0.0136937,0.00705576,0.0032372,0.00141308,0.000590143,0.000226883,8.43061e-05,2.7657e-05,5.91287e-06,2.7657e-06,5.72213e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,2.28885e-06,6.96193e-06,2.77523e-05,7.03822e-05,0.000194362,0.000501736,0.00118,0.00254921,0.00535992,0.0107794,0.0200388,0.0344486,0.0557498,0.0843827,0.122376,0.16828,0.221642,0.282673,0.338787,0.389718
16,0.10091,0.0630338,0.0375533,0.0204408,0.0106082,0.00506685,0.00224565,0.000915064,0.000361925,0.000136854,4.89242e-05,1.421e-05,3.52865e-06,1.04906e-06,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,2.7657e-06,1.1635e-05,3.51911e-05,0.000115778,0.000296216,0.000777256,0.00182593,0.00405671,0.00816086,0.0164886,0.0293805,0.0492123,0.0768469,0.117666,0.163055,0.219739,0.282869,0.346526,0.398438
