SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:21
Date and Time Ended,2019-Sep-27 19:57:25
Scan Name,Scan Tx3-Rx3 Link 2 
Link Settings,
Reset RX After Applying Settings,false
Open Area,2624
Horizontal Opening,37
Horizontal Percentage,56.92
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.498896,0.4992,0.505984,0.498593,0.499505,0.499505,0.502569,0.50042,0.499809,0.499809,0.498896,0.4992,0.500114,0.500114,0.4992,0.499505,0.503805,0.498593,0.501032,0.502569,0.498896,0.498896,0.500726,0.497382,0.498593,0.500726,0.49708,0.501032,0.497382,0.497986,0.501032,0.499809,0.498289,0.499505,0.499505,0.497986,0.500114,0.496778,0.500114,0.498593,0.498593,0.4992,0.501953,0.498593,0.498289,0.496778,0.499809,0.4992,0.501032,0.498896,0.500114,0.50042,0.499505,0.500114,0.4992,0.497684,0.4992,0.500114,0.497382,0.499809,0.500114,0.498896,0.4992,0.501032,0.499505
112,0.457136,0.453592,0.454851,0.45035,0.455104,0.453843,0.45284,0.460218,0.461254,0.462035,0.463079,0.471611,0.475719,0.474891,0.476549,0.479618,0.479337,0.484153,0.488193,0.483582,0.488775,0.487612,0.489067,0.491709,0.491414,0.49112,0.493784,0.494082,0.494678,0.497986,0.496477,0.492893,0.496477,0.495277,0.496177,0.492893,0.492893,0.489652,0.489359,0.487032,0.481875,0.482727,0.478218,0.475995,0.474341,0.468643,0.472154,0.471068,0.471611,0.471068,0.464919,0.468643,0.466508,0.465447,0.471611,0.468643,0.470527,0.473519,0.475719,0.478777,0.481309,0.481026,0.486742,0.481309,0.486165
104,0.291318,0.294672,0.285232,0.283947,0.284935,0.289875,0.287132,0.288548,0.291111,0.293195,0.292463,0.295949,0.299959,0.297778,0.300289,0.301504,0.304191,0.306812,0.320245,0.320496,0.32012,0.317884,0.322261,0.327806,0.332597,0.334909,0.332868,0.333817,0.332462,0.341613,0.349036,0.338647,0.335046,0.338088,0.338228,0.33409,0.330718,0.325333,0.319371,0.32379,0.315558,0.317638,0.313025,0.317638,0.315315,0.307272,0.308894,0.311241,0.305439,0.311241,0.308313,0.306467,0.305439,0.304304,0.311478,0.309011,0.311597,0.311478,0.311715,0.314106,0.315679,0.317884,0.32125,0.327021,0.323023
96,0.250439,0.250134,0.249981,0.250977,0.250439,0.249905,0.249524,0.249905,0.250439,0.2496,0.250134,0.250134,0.250516,0.250363,0.250363,0.250363,0.249752,0.249069,0.247863,0.246743,0.242578,0.235466,0.22711,0.219034,0.203222,0.188406,0.175716,0.152634,0.13901,0.129906,0.124553,0.118706,0.115411,0.119817,0.127599,0.137011,0.148835,0.159561,0.173373,0.191623,0.199025,0.21239,0.224681,0.234926,0.240372,0.242866,0.247713,0.249145,0.250516,0.250593,0.250669,0.250593,0.25113,0.250439,0.249981,0.250057,0.250593,0.249905,0.2509,0.251285,0.250516,0.251362,0.251516,0.251516,0.25113
88,0.249752,0.249905,0.249981,0.250057,0.250593,0.249828,0.250286,0.249296,0.250057,0.249752,0.250134,0.249981,0.2496,0.248615,0.247638,0.245855,0.243227,0.237033,0.228504,0.214841,0.196873,0.175791,0.154768,0.136395,0.112233,0.0900008,0.0739272,0.0565737,0.0461644,0.0405358,0.0344645,0.0313985,0.0291598,0.0289742,0.0303066,0.035409,0.0413877,0.0456804,0.0550751,0.0705831,0.0830482,0.1038,0.127659,0.150919,0.171558,0.193616,0.211294,0.226232,0.234523,0.240725,0.244899,0.24922,0.249069,0.2496,0.25021,0.248239,0.2496,0.249524,0.250134,0.249828,0.250439,0.250134,0.250669,0.249905,0.2496
80,0.250286,0.249905,0.249905,0.249069,0.2496,0.249828,0.249981,0.250057,0.248918,0.249145,0.248088,0.247563,0.245707,0.239879,0.234455,0.224312,0.210426,0.192298,0.171809,0.144554,0.117177,0.0952765,0.0704799,0.0546198,0.0382565,0.0257363,0.018529,0.0128395,0.00944743,0.00709525,0.00582856,0.0050391,0.00456741,0.00473239,0.00494316,0.00561036,0.00667792,0.0083463,0.0110056,0.0149334,0.0194531,0.0279729,0.0389718,0.0565503,0.0754316,0.0980007,0.12203,0.148646,0.17549,0.198159,0.218101,0.23154,0.240796,0.245486,0.248465,0.250057,0.25021,0.249069,0.250439,0.248842,0.248993,0.250134,0.249828,0.250286,0.250134
72,0.249905,0.250363,0.250439,0.250286,0.250823,0.24922,0.248766,0.24922,0.247863,0.245266,0.24222,0.236486,0.227048,0.211895,0.196967,0.174891,0.152407,0.125932,0.095199,0.0713267,0.050973,0.0343994,0.0217846,0.0136995,0.00830091,0.00452907,0.00299897,0.0015856,0.00113508,0.000836957,0.000554665,0.000467689,0.000432403,0.000480468,0.000527581,0.00062047,0.000798428,0.00113985,0.00164187,0.00247463,0.0035708,0.0054881,0.00920119,0.0142477,0.0214756,0.0339152,0.0494171,0.0702803,0.0991752,0.125086,0.153867,0.178084,0.208074,0.225237,0.237583,0.245266,0.248465,0.249145,0.250134,0.250823,0.249145,0.25021,0.250363,0.249524,0.250057
64,0.249752,0.250516,0.24922,0.250134,0.249372,0.248918,0.246076,0.243588,0.237446,0.22844,0.218742,0.20393,0.186688,0.161226,0.136486,0.110388,0.0848459,0.0611015,0.04059,0.0243958,0.0141466,0.00785744,0.00399672,0.00211681,0.000975433,0.000441367,0.000226024,0.000120737,5.79843e-05,3.96735e-05,2.38422e-05,1.90738e-05,1.75479e-05,2.13626e-05,2.7657e-05,3.5668e-05,5.37881e-05,8.23987e-05,0.000156596,0.000246815,0.000427443,0.000813115,0.00154421,0.00280003,0.0049136,0.00829328,0.014529,0.0238858,0.0384866,0.0564373,0.0810996,0.11188,0.145582,0.174295,0.203424,0.223334,0.237033,0.243227,0.247788,0.249069,0.249981,0.249752,0.249981,0.249828,0.249905
56,0.250669,0.25021,0.249448,0.248163,0.246669,0.242578,0.23567,0.226545,0.21048,0.194952,0.176816,0.155444,0.131575,0.102169,0.0764595,0.0557954,0.0356541,0.0222303,0.0119173,0.00562104,0.00249981,0.00101053,0.000393874,0.000185397,5.41695e-05,2.19348e-05,7.24804e-06,3.24254e-06,7.62951e-07,7.62951e-07,5.72213e-07,1.14443e-06,1.90738e-07,3.81476e-07,3.81476e-07,2.09812e-06,1.5259e-06,2.09812e-06,1.01091e-05,1.39239e-05,3.5668e-05,7.74395e-05,0.000187686,0.000400359,0.00084535,0.00172866,0.00343519,0.00633211,0.011825,0.0203839,0.0338018,0.0539436,0.0830735,0.112619,0.146493,0.180597,0.206866,0.226483,0.238552,0.245633,0.248389,0.249752,0.2509,0.249981,0.250363
48,0.249752,0.249828,0.247638,0.244242,0.235941,0.227615,0.21261,0.193478,0.170345,0.146283,0.124251,0.103055,0.0783537,0.0533152,0.0348205,0.0215939,0.0113842,0.00587644,0.00240978,0.000857366,0.000298695,9.46059e-05,2.00275e-05,7.0573e-06,1.33516e-06,1.33516e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.33516e-06,5.34066e-06,1.6022e-05,4.44419e-05,0.000118257,0.000283246,0.0007084,0.00148394,0.00321412,0.00649538,0.012677,0.0226426,0.039517,0.0606087,0.0923861,0.124044,0.160217,0.191712,0.216144,0.232856,0.241934,0.246743,0.248314,0.249752,0.250057
