SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:55:43
Date and Time Ended,2019-Sep-27 19:55:47
Scan Name,Scan Tx1-Rx1 Link 3 
Link Settings,
Reset RX After Applying Settings,false
Open Area,7712
Horizontal Opening,38
Horizontal Percentage,58.46
Vertical Opening,241
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.243661,0.234994,0.218217,0.199219,0.169674,0.136531,0.102296,0.0728167,0.0478553,0.0302506,0.0178332,0.00949056,0.00460641,0.00210784,0.00080787,0.000293641,8.08728e-05,2.2221e-05,4.67308e-06,1.04906e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,1.43053e-06,8.5832e-06,4.35836e-05,0.000164702,0.000531395,0.00153763,0.00390631,0.00843358,0.0167708,0.0292483,0.0471068,0.0699443,0.0977317,0.129128,0.16299,0.190597,0.213108,0.230238,0.241791,0.247489,0.251748
112,0.239669,0.228568,0.208976,0.184253,0.153867,0.117767,0.0856711,0.0584133,0.0374263,0.0220093,0.0121217,0.00620995,0.00266251,0.00116875,0.000397498,0.000120165,3.37606e-05,7.15267e-06,1.43053e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,3.33791e-06,1.79294e-05,8.06821e-05,0.000279717,0.000920119,0.00251535,0.00574807,0.0122453,0.022778,0.0380381,0.058892,0.0855816,0.116296,0.148457,0.179175,0.203879,0.224928,0.238136,0.247041,0.253933
104,0.237308,0.219504,0.196166,0.168974,0.136213,0.101084,0.0699562,0.0458005,0.027438,0.0158979,0.00823403,0.00392967,0.00155404,0.000587472,0.000184539,4.87335e-05,1.00137e-05,2.47959e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,7.62951e-06,3.48096e-05,0.000145342,0.000548276,0.00156786,0.00390965,0.00882726,0.0173131,0.0310298,0.0487786,0.0736547,0.102835,0.136714,0.166029,0.19626,0.216144,0.234859,0.245855,0.256316
96,0.231017,0.21048,0.184918,0.153463,0.119589,0.0847494,0.0568643,0.0357911,0.0200899,0.0110668,0.00534657,0.0024299,0.000890936,0.000309186,8.31617e-05,2.0695e-05,4.19623e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,4.19623e-06,2.08858e-05,7.38155e-05,0.00031405,0.000983158,0.00258516,0.00614605,0.0131276,0.0240669,0.0402747,0.0625334,0.0907385,0.12245,0.153751,0.184918,0.209618,0.228951,0.24556,0.259565
88,0.224681,0.20088,0.169254,0.136896,0.102143,0.0697775,0.044828,0.0267726,0.0147045,0.00735991,0.00336872,0.00140087,0.000453861,0.000143912,3.0518e-05,8.20172e-06,1.33516e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,7.72488e-06,3.748e-05,0.000159743,0.000561055,0.00163567,0.00418631,0.00941465,0.0183477,0.0320471,0.0518867,0.0787983,0.109693,0.142666,0.172533,0.201077,0.225299,0.24615,0.263574
80,0.218101,0.188232,0.154622,0.11994,0.0869441,0.0574949,0.0348709,0.0202059,0.0103472,0.00479257,0.00203002,0.000737392,0.000238327,6.28481e-05,1.25887e-05,2.95644e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.0518e-06,1.50683e-05,8.29709e-05,0.000336461,0.00103218,0.00278668,0.00671641,0.0135659,0.0257299,0.0424142,0.0679035,0.0965795,0.129128,0.161448,0.19131,0.218567,0.244388,0.268586
72,0.209404,0.176397,0.137217,0.102991,0.0724432,0.0453592,0.0262695,0.014402,0.00697715,0.003091,0.00117247,0.000401312,0.000103189,2.93736e-05,3.81476e-06,1.04906e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.81201e-06,6.10361e-06,4.10086e-05,0.000182155,0.000595769,0.00177701,0.00458171,0.0098802,0.0194581,0.03508,0.0564023,0.0847845,0.116494,0.148511,0.18261,0.213999,0.24468,0.274711
64,0.200781,0.161639,0.12278,0.0873148,0.0591727,0.0353738,0.0197271,0.0102954,0.00450875,0.00183452,0.000660143,0.000197509,4.51095e-05,9.823e-06,1.81201e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.33791e-06,1.97414e-05,9.1268e-05,0.000344568,0.00109131,0.00309834,0.00712164,0.0146682,0.027694,0.0469933,0.0722133,0.103172,0.136123,0.172315,0.20781,0.244388,0.281508
56,0.193023,0.14976,0.108674,0.0740542,0.0479281,0.0274711,0.0145169,0.00694191,0.00295672,0.00106928,0.000361448,8.96468e-05,2.13626e-05,2.95644e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,1.02045e-05,4.43465e-05,0.000199416,0.000684653,0.00203098,0.00502947,0.010935,0.0216179,0.0383623,0.0620785,0.0914272,0.125029,0.163185,0.204184,0.244096,0.288446
48,0.182447,0.137125,0.0952322,0.0624286,0.0387579,0.0213809,0.0104976,0.00458324,0.0018471,0.000605211,0.00018349,4.55863e-05,1.06813e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.00549e-06,2.35561e-05,0.000112345,0.000404078,0.00128147,0.00349718,0.00796162,0.0165492,0.0309267,0.0524246,0.0797806,0.113555,0.152606,0.198543,0.24615,0.297022
