SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:50
Date and Time Ended,2019-Sep-27 19:57:54
Scan Name,Scan Tx3-Rx3 Link 9 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3416
Horizontal Opening,40
Horizontal Percentage,61.54
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.499505,0.501032,0.501953,0.498289,0.497684,0.498593,0.498896,0.499505,0.499809,0.499505,0.501032,0.498289,0.50042,0.501953,0.498289,0.497382,0.498289,0.501953,0.497986,0.497986,0.50042,0.499809,0.499809,0.49708,0.498289,0.4992,0.498896,0.499505,0.498593,0.498289,0.498593,0.501032,0.4992,0.499505,0.498896,0.500726,0.498593,0.49708,0.50042,0.497684,0.501646,0.498289,0.500114,0.499809,0.497684,0.497986,0.499505,0.497382,0.496778,0.499809,0.498896,0.501339,0.4992,0.497382,0.501646,0.502878,0.498896,0.49708,0.496778,0.497684,0.4992,0.500114,0.500726,0.498896,0.500114
112,0.481309,0.475443,0.476549,0.472972,0.475443,0.475719,0.475167,0.474891,0.476549,0.479057,0.482727,0.476272,0.484153,0.485588,0.483296,0.484726,0.487902,0.490825,0.487032,0.491709,0.4923,0.4923,0.49438,0.493784,0.494678,0.495277,0.495876,0.496477,0.495277,0.498289,0.497986,0.498593,0.498593,0.498896,0.498896,0.495576,0.496177,0.494678,0.495277,0.494977,0.493486,0.494082,0.493486,0.493189,0.493784,0.493189,0.493189,0.489359,0.487902,0.488775,0.487902,0.489652,0.491709,0.493486,0.488193,0.491414,0.492893,0.49708,0.491709,0.493486,0.493784,0.499505,0.495576,0.497382,0.497986
104,0.299192,0.29767,0.298755,0.298647,0.294566,0.296915,0.298974,0.298538,0.30073,0.305439,0.300289,0.299192,0.29832,0.306238,0.304531,0.306927,0.312786,0.316045,0.316289,0.332328,0.321376,0.334635,0.329653,0.331119,0.328595,0.320873,0.331789,0.328463,0.321628,0.327544,0.329388,0.34076,0.323151,0.330451,0.344052,0.334499,0.333003,0.329123,0.342327,0.331387,0.332058,0.32585,0.335458,0.325333,0.327152,0.319745,0.322515,0.320998,0.31483,0.316289,0.317146,0.323278,0.317761,0.327152,0.324688,0.322515,0.323023,0.327152,0.328463,0.333681,0.336976,0.330584,0.340619,0.341186,0.336008
96,0.250363,0.249828,0.249828,0.249676,0.250593,0.248691,0.249981,0.250134,0.249372,0.250134,0.249981,0.249905,0.249676,0.249905,0.2496,0.249296,0.249676,0.247713,0.244899,0.239739,0.22642,0.214897,0.198254,0.176549,0.147734,0.127104,0.108848,0.0970946,0.084802,0.0758507,0.0724816,0.076481,0.0727262,0.084071,0.0963637,0.111137,0.119051,0.131554,0.151421,0.161131,0.180916,0.191399,0.212665,0.227995,0.239319,0.245928,0.248088,0.248766,0.249676,0.25021,0.249828,0.249981,0.250593,0.250134,0.250363,0.249372,0.249372,0.250516,0.250439,0.249905,0.250363,0.250134,0.249828,0.250286,0.250134
88,0.248766,0.250286,0.249828,0.249828,0.250439,0.249981,0.250516,0.25021,0.249372,0.25021,0.250134,0.250134,0.249296,0.248314,0.244899,0.238761,0.231213,0.217061,0.193661,0.167386,0.136851,0.109269,0.0863575,0.062381,0.0438819,0.0320508,0.0238545,0.0177632,0.014415,0.0121662,0.0112593,0.0112198,0.011202,0.0124212,0.0151946,0.0180689,0.0225089,0.0282712,0.0380363,0.0490473,0.0650614,0.0824962,0.106471,0.127144,0.150586,0.17257,0.197347,0.220034,0.23412,0.243951,0.248615,0.249981,0.250134,0.2496,0.250134,0.250363,0.248389,0.249372,0.250593,0.249448,0.249828,0.250516,0.250746,0.249828,0.249524
80,0.25021,0.249448,0.249448,0.249828,0.250516,0.2496,0.250593,0.250286,0.249448,0.249448,0.248465,0.245486,0.240513,0.231083,0.21333,0.18932,0.16387,0.132191,0.0978368,0.0710422,0.0451467,0.030553,0.0191113,0.0120062,0.00642634,0.0039477,0.00270161,0.00172427,0.0012108,0.000963607,0.000825322,0.000790417,0.000807965,0.00092298,0.00133669,0.00174907,0.00246433,0.0035729,0.00578031,0.00857633,0.0135302,0.0190686,0.0306881,0.0426505,0.0626386,0.083693,0.106944,0.132576,0.159998,0.190287,0.217985,0.236077,0.244024,0.247414,0.250134,0.249828,0.2496,0.250134,0.24922,0.249069,0.249981,0.249448,0.250057,0.248766,0.25021
72,0.249372,0.250286,0.249905,0.250057,0.24922,0.250134,0.248993,0.24922,0.247938,0.245192,0.2389,0.225423,0.205929,0.178511,0.146676,0.112064,0.0822808,0.0540504,0.0335884,0.0203641,0.0102424,0.00582666,0.00294747,0.0014828,0.000661097,0.000327115,0.000185206,7.91562e-05,4.94011e-05,2.78477e-05,2.57496e-05,1.9646e-05,2.17441e-05,2.21256e-05,4.97826e-05,6.50416e-05,0.000108339,0.000189593,0.00039826,0.000829519,0.00160582,0.0030087,0.00594034,0.010359,0.0187526,0.0294778,0.0442517,0.0642802,0.0877638,0.116114,0.150974,0.182528,0.209243,0.228951,0.243878,0.247863,0.249448,0.250593,0.250286,0.2496,0.249981,0.250439,0.249448,0.25021,0.249828
64,0.250363,0.249752,0.25021,0.250057,0.249145,0.248615,0.247414,0.244534,0.235805,0.223516,0.202569,0.176435,0.143315,0.10793,0.0754247,0.0472073,0.0286439,0.0156996,0.00798505,0.00358148,0.00148966,0.000684939,0.000261501,9.823e-05,2.82292e-05,1.12535e-05,4.95918e-06,2.28885e-06,1.14443e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.14443e-06,1.14443e-06,2.86107e-06,1.25887e-05,2.74662e-05,8.90745e-05,0.000222019,0.000624475,0.00155718,0.00359922,0.00744621,0.0137011,0.0246699,0.0387561,0.0592241,0.086312,0.115281,0.147389,0.179883,0.21261,0.229593,0.242866,0.248088,0.249145,0.249676,0.25021,0.25021,0.249069,0.2509,0.249372
56,0.25021,0.249752,0.250134,0.249676,0.248163,0.243878,0.237998,0.224496,0.203272,0.178433,0.147841,0.110195,0.0792788,0.0499139,0.02994,0.0148052,0.00683299,0.003126,0.0012501,0.000401122,0.000128367,4.08179e-05,1.2398e-05,2.47959e-06,5.72213e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.71664e-06,7.43877e-06,3.14717e-05,0.000118639,0.000395781,0.00110323,0.002953,0.00648795,0.0130133,0.0239999,0.0419859,0.0632968,0.0899712,0.120469,0.156423,0.186391,0.213108,0.234321,0.244315,0.247414,0.249676,0.250669,0.249524,0.250516,0.250823
48,0.250363,0.250516,0.248013,0.244534,0.240161,0.227805,0.209457,0.187115,0.151617,0.120753,0.083327,0.0547988,0.0324585,0.0172883,0.00779717,0.00309777,0.00110094,0.000365454,9.76577e-05,2.28885e-05,3.0518e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,3.43328e-06,2.00275e-05,7.89654e-05,0.000328641,0.00105497,0.00278897,0.00674907,0.0149136,0.0280524,0.0460166,0.0690948,0.0990433,0.128299,0.161959,0.192705,0.219975,0.236759,0.24556,0.249524,0.248691,0.25021,0.250057
