SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:54:34
Date and Time Ended,2019-Sep-27 19:54:39
Scan Name,Scan Tx0-Rx0 Link 0 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3560
Horizontal Opening,29
Horizontal Percentage,44.62
Vertical Opening,153
Vertical Percentage,64.52
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.244826,0.239529,0.228568,0.21124,0.186094,0.157961,0.124497,0.091796,0.0644421,0.0415073,0.0258991,0.0150232,0.00879995,0.00488899,0.00284562,0.00161202,0.000887503,0.000533303,0.000294404,0.000167182,0.000109007,6.18944e-05,4.09133e-05,2.55589e-05,1.68803e-05,1.01091e-05,8.39246e-06,7.15267e-06,3.81476e-06,3.24254e-06,3.0518e-06,3.81476e-06,4.00549e-06,4.67308e-06,5.43603e-06,7.72488e-06,1.19211e-05,1.80247e-05,2.80385e-05,4.66354e-05,8.07774e-05,0.000161078,0.000322061,0.000610266,0.00122454,0.00218004,0.00430962,0.00734842,0.0126492,0.022839,0.0346966,0.053409,0.0750447,0.10281,0.132942,0.166705,0.194581,0.216259,0.232064,0.240654,0.246002,0.248691,0.25021,0.249752,0.251285
112,0.241506,0.231017,0.216487,0.193478,0.165426,0.134073,0.102629,0.0706074,0.0476493,0.0298103,0.0172628,0.00966798,0.00539702,0.00289492,0.00162881,0.000919738,0.00048991,0.000271801,0.000148585,8.16358e-05,4.93057e-05,3.15671e-05,1.69757e-05,1.01091e-05,7.24804e-06,3.62402e-06,3.14717e-06,2.67033e-06,1.04906e-06,1.5259e-06,1.62127e-06,1.04906e-06,1.2398e-06,1.2398e-06,1.04906e-06,2.28885e-06,2.86107e-06,6.58045e-06,1.13489e-05,1.7071e-05,3.68124e-05,7.33387e-05,0.000151923,0.000323777,0.000668345,0.00128777,0.00257868,0.00464599,0.00832897,0.0148066,0.0251671,0.039624,0.0575353,0.0826961,0.111545,0.144886,0.177621,0.203778,0.222605,0.236213,0.243371,0.247638,0.2496,0.250823,0.252368
104,0.235128,0.222848,0.201671,0.176701,0.144886,0.111061,0.0806287,0.0544311,0.0349423,0.0209682,0.0115652,0.00633732,0.00337558,0.00175498,0.000961414,0.000521,0.0002636,0.000140764,7.41016e-05,3.81476e-05,2.00275e-05,1.22072e-05,6.96193e-06,4.95918e-06,2.67033e-06,1.90738e-06,6.67582e-07,6.67582e-07,4.76844e-07,6.67582e-07,5.72213e-07,3.81476e-07,5.72213e-07,8.5832e-07,1.14443e-06,6.67582e-07,1.2398e-06,2.57496e-06,2.57496e-06,7.82025e-06,1.6022e-05,3.0518e-05,7.80117e-05,0.000162985,0.000352102,0.000724517,0.00147555,0.00289197,0.00543164,0.00994208,0.017117,0.0287051,0.0441706,0.0662666,0.0936,0.125719,0.161131,0.19042,0.214559,0.228951,0.239809,0.246298,0.248993,0.251748,0.255676
96,0.227048,0.20994,0.186433,0.156036,0.122267,0.0912032,0.0637897,0.0406545,0.0252275,0.0144172,0.00776982,0.00407731,0.00212463,0.00106994,0.000550278,0.000286965,0.000136473,7.3434e-05,3.50004e-05,1.6022e-05,1.09674e-05,5.14992e-06,2.47959e-06,1.5259e-06,1.2398e-06,5.72213e-07,3.81476e-07,4.76844e-07,2.86107e-07,9.53689e-08,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,3.81476e-07,2.86107e-07,5.72213e-07,6.67582e-07,9.53689e-07,2.38422e-06,4.86381e-06,1.37331e-05,3.32837e-05,7.51507e-05,0.00017977,0.000406558,0.000846494,0.00177625,0.00335431,0.00657443,0.0116787,0.0202398,0.0333084,0.0517621,0.0758929,0.107027,0.140948,0.171954,0.200978,0.219857,0.233786,0.242938,0.248239,0.254248,0.25973
88,0.216602,0.194212,0.166299,0.134205,0.103068,0.0724816,0.0484841,0.0302149,0.0178488,0.00983702,0.00513666,0.00255341,0.00128996,0.000622568,0.000318627,0.000150397,7.1622e-05,3.50004e-05,1.74525e-05,8.67857e-06,4.48234e-06,2.47959e-06,1.33516e-06,3.81476e-07,6.67582e-07,1.90738e-07,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,7.62951e-07,2.28885e-06,7.72488e-06,1.39239e-05,3.82429e-05,8.91699e-05,0.000209907,0.000481041,0.00104372,0.00207103,0.0041557,0.00778577,0.0141929,0.0240683,0.0390424,0.0596641,0.0881985,0.122012,0.155208,0.184918,0.209833,0.226295,0.239809,0.247041,0.25504,0.265453
80,0.205002,0.179018,0.145919,0.112898,0.082646,0.0555683,0.0362601,0.0213252,0.0121121,0.00652489,0.00326419,0.00157816,0.000749409,0.000347143,0.000171283,7.6772e-05,3.48096e-05,1.54498e-05,7.72488e-06,3.81476e-06,1.43053e-06,8.5832e-07,9.53689e-08,2.86107e-07,3.81476e-07,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.86107e-07,1.14443e-06,3.14717e-06,6.48508e-06,1.64988e-05,4.22484e-05,0.000109007,0.000255875,0.000572118,0.00122387,0.0025495,0.00499247,0.00928363,0.0168059,0.0281102,0.0461202,0.0708272,0.10136,0.134469,0.167523,0.195231,0.2188,0.235534,0.248842,0.258909,0.27361
72,0.190243,0.159935,0.129087,0.0940946,0.0659677,0.0435692,0.026405,0.015422,0.00824497,0.00436942,0.00209154,0.000956359,0.000418574,0.000187018,8.92653e-05,3.76707e-05,1.90738e-05,6.67582e-06,2.38422e-06,1.43053e-06,6.67582e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,4.76844e-07,5.72213e-07,2.38422e-06,6.96193e-06,2.03136e-05,5.23575e-05,0.000129225,0.000320439,0.00069686,0.00155127,0.00319104,0.00623283,0.0116128,0.0203363,0.0347408,0.0559478,0.0835394,0.116263,0.149487,0.180996,0.206866,0.229464,0.248389,0.262897,0.283456
64,0.175716,0.141093,0.107873,0.0764453,0.0523376,0.0323764,0.0189864,0.0105685,0.00542659,0.00275235,0.00129721,0.000582609,0.000239853,9.823e-05,4.53956e-05,1.77386e-05,7.91562e-06,3.52865e-06,1.33516e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,7.62951e-07,3.81476e-06,9.63226e-06,2.45098e-05,6.4374e-05,0.000169184,0.000401884,0.000915541,0.00198358,0.00385834,0.00753955,0.0142701,0.0252882,0.0427685,0.0660742,0.0971062,0.131957,0.16286,0.195604,0.221522,0.247041,0.269825,0.297022
56,0.15888,0.122743,0.0891584,0.0607255,0.039724,0.0235534,0.0134267,0.00713404,0.00362325,0.00173476,0.000772869,0.000345235,0.00012789,5.07362e-05,2.28885e-05,8.20172e-06,3.33791e-06,1.14443e-06,3.81476e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,8.5832e-07,2.7657e-06,9.53689e-06,3.02319e-05,8.80255e-05,0.000214389,0.000519474,0.00116865,0.00246767,0.00491455,0.00958495,0.0183724,0.0320998,0.0520847,0.0800926,0.112712,0.145659,0.180438,0.215689,0.245707,0.277879,0.311005
48,0.142567,0.104595,0.0728296,0.0473519,0.0298451,0.016887,0.00932697,0.00478313,0.002434,0.00108883,0.000455005,0.000184157,7.52461e-05,2.49866e-05,8.01099e-06,4.10086e-06,1.2398e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,8.5832e-07,4.76844e-06,1.28748e-05,3.99596e-05,0.00010605,0.000275616,0.000656901,0.0014889,0.00310588,0.00648789,0.0126841,0.0232856,0.0402866,0.0641192,0.0922301,0.129169,0.166909,0.205826,0.243371,0.283652,0.32663
