SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:56:47
Date and Time Ended,2019-Sep-27 19:56:51
Scan Name,Scan Tx2-Rx2 Link 6 
Link Settings,
Reset RX After Applying Settings,false
Open Area,2984
Horizontal Opening,26
Horizontal Percentage,38.46
Vertical Opening,169
Vertical Percentage,70.97
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.226671,0.21124,0.195697,0.17739,0.154622,0.130195,0.105375,0.0809474,0.0598559,0.0413815,0.0272826,0.0174585,0.0105178,0.00582933,0.00309081,0.00160401,0.000820554,0.000407607,0.00020428,9.66087e-05,5.59815e-05,3.29023e-05,1.86923e-05,7.53414e-06,5.5314e-06,3.24254e-06,2.47959e-06,1.90738e-06,1.5259e-06,1.5259e-06,2.67033e-06,1.2398e-06,3.14717e-06,4.00549e-06,7.62951e-06,1.28748e-05,2.17441e-05,3.98642e-05,7.61997e-05,0.000149634,0.000286584,0.000548848,0.00104839,0.00191062,0.00325828,0.00542706,0.00881738,0.0137526,0.0199802,0.027724,0.0374914,0.0480631,0.0606356,0.0758929,0.0912032,0.108473,0.127599,0.148673,0.167866,0.187371,0.207075,0.224435,0.240796,0.254406,0.268762
112,0.22309,0.205207,0.187286,0.166705,0.143115,0.11676,0.0936857,0.0708395,0.0504861,0.0339574,0.0213452,0.0129409,0.00758563,0.00402333,0.00201905,0.0010049,0.000500687,0.000229744,0.000108339,5.67445e-05,2.67987e-05,1.50683e-05,6.67582e-06,5.72213e-06,2.57496e-06,1.14443e-06,1.62127e-06,8.5832e-07,2.86107e-07,3.81476e-07,4.76844e-07,1.2398e-06,8.5832e-07,1.43053e-06,1.71664e-06,5.43603e-06,8.96468e-06,1.82155e-05,4.12947e-05,8.37339e-05,0.000164225,0.000336366,0.000675689,0.00126364,0.00225462,0.003927,0.00660348,0.0104574,0.0160135,0.0229323,0.0311786,0.0419408,0.0528235,0.0672899,0.0821158,0.0983891,0.11753,0.138236,0.160625,0.179253,0.199316,0.220686,0.23897,0.254881,0.271614
104,0.217753,0.198735,0.178162,0.155858,0.13107,0.104408,0.0818696,0.0601106,0.0415958,0.0269718,0.0164469,0.00966524,0.00542248,0.00282483,0.0013304,0.000636206,0.000312333,0.00013323,6.80934e-05,2.84199e-05,1.3447e-05,6.67582e-06,3.33791e-06,2.09812e-06,9.53689e-07,6.67582e-07,9.53689e-07,2.86107e-07,2.86107e-07,1.90738e-07,2.86107e-07,1.90738e-07,4.76844e-07,3.81476e-07,1.04906e-06,2.19348e-06,4.19623e-06,8.96468e-06,2.1458e-05,4.33928e-05,9.03143e-05,0.000193694,0.000378901,0.000802529,0.00150969,0.00278372,0.00481565,0.008109,0.0125681,0.018558,0.0262442,0.035432,0.045898,0.0595253,0.0732857,0.0903981,0.108044,0.127838,0.150089,0.170593,0.193296,0.216144,0.237171,0.257606,0.274711
96,0.213775,0.191937,0.170806,0.14504,0.119975,0.0942678,0.0715573,0.0506234,0.0338339,0.0210588,0.0124463,0.00709905,0.00376183,0.0019379,0.000861086,0.000378901,0.000182345,7.87747e-05,3.32837e-05,1.68803e-05,6.38972e-06,4.57771e-06,1.71664e-06,5.72213e-07,9.53689e-08,1.90738e-07,9.53689e-08,1.90738e-07,1.90738e-07,9.53689e-08,1.90738e-07,2.86107e-07,9.53689e-08,9.53689e-08,3.81476e-07,7.62951e-07,1.04906e-06,4.86381e-06,1.10628e-05,2.19348e-05,5.0927e-05,0.00011368,0.000237659,0.000511368,0.000974765,0.00184625,0.00339914,0.00601272,0.00992955,0.0150045,0.0214548,0.0296635,0.0392707,0.0521377,0.0647886,0.0805811,0.0993195,0.11893,0.140512,0.163772,0.186603,0.21124,0.233786,0.257768,0.28016
88,0.208445,0.186603,0.162473,0.135179,0.108215,0.0821817,0.0610423,0.0426527,0.0279643,0.0166508,0.00926578,0.00512303,0.00263933,0.00126316,0.000540646,0.000232223,0.000105192,4.45373e-05,1.73571e-05,8.01099e-06,3.43328e-06,1.90738e-06,1.33516e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,9.53689e-07,2.47959e-06,5.05455e-06,1.1635e-05,2.81338e-05,6.10361e-05,0.00013695,0.000313668,0.000622663,0.00127871,0.00239366,0.00438954,0.00761313,0.0120494,0.0174771,0.0249554,0.0338004,0.0449313,0.0583467,0.0728426,0.0908392,0.109781,0.132683,0.155562,0.180597,0.207599,0.233121,0.258582,0.284243
80,0.204184,0.179646,0.152096,0.124876,0.0983182,0.0728426,0.0522241,0.035041,0.0221378,0.0130026,0.0069425,0.00364862,0.00175803,0.000808633,0.000340085,0.000134852,5.78889e-05,2.25071e-05,1.06813e-05,4.10086e-06,1.81201e-06,1.04906e-06,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,4.76844e-07,2.7657e-06,5.43603e-06,1.48775e-05,3.21393e-05,8.69764e-05,0.000190356,0.000397116,0.000809968,0.00167935,0.00321794,0.00568513,0.00928531,0.0142225,0.0205444,0.0284717,0.0393916,0.0511289,0.0652116,0.0823304,0.103381,0.12499,0.148028,0.174295,0.20287,0.231802,0.259073,0.287636
72,0.199413,0.171954,0.144223,0.115444,0.0874453,0.0632577,0.0436853,0.0288324,0.0176222,0.00978064,0.0050514,0.00253023,0.00117409,0.000494297,0.000199512,7.64858e-05,3.21393e-05,1.11582e-05,4.2916e-06,2.57496e-06,4.76844e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,6.67582e-07,1.04906e-06,2.28885e-06,5.62676e-06,1.83108e-05,4.35836e-05,9.95651e-05,0.000238518,0.0005107,0.00110552,0.00221675,0.00412556,0.00700735,0.0112061,0.0167509,0.0237611,0.0333926,0.0448575,0.0583301,0.0751686,0.0942245,0.117801,0.141434,0.169464,0.198159,0.228696,0.259073,0.291111
64,0.196825,0.166569,0.135987,0.10686,0.0793633,0.0540718,0.0368174,0.0232724,0.0134122,0.00717402,0.00362984,0.00171111,0.00076667,0.000310521,0.000113489,4.58724e-05,1.67849e-05,7.24804e-06,1.90738e-06,6.67582e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.81201e-06,2.19348e-06,8.96468e-06,2.18395e-05,5.56001e-05,0.000135138,0.000311093,0.000717651,0.00151598,0.0029799,0.00520991,0.00877996,0.013166,0.0198572,0.0281973,0.0389274,0.0523242,0.0681861,0.0864487,0.110076,0.135897,0.161448,0.195045,0.22592,0.258909,0.293195
56,0.195045,0.160625,0.128158,0.0992714,0.0704132,0.0481083,0.0308941,0.0187243,0.0104459,0.00536479,0.00257515,0.00116932,0.000487144,0.000189593,6.67582e-05,2.20302e-05,9.06004e-06,3.52865e-06,1.43053e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,6.67582e-07,4.95918e-06,1.11582e-05,2.84199e-05,7.4197e-05,0.000196746,0.000458438,0.00104639,0.00217317,0.00388828,0.00664267,0.0104919,0.0164153,0.0239529,0.0339349,0.0456983,0.0624952,0.0810114,0.103017,0.129169,0.15845,0.190332,0.224435,0.259237,0.298103
48,0.190155,0.156932,0.122012,0.0909198,0.062995,0.0410867,0.0256397,0.0147103,0.00800911,0.00398671,0.00179007,0.000788701,0.00031424,0.000122644,3.76707e-05,1.24933e-05,5.5314e-06,9.53689e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,1.62127e-06,6.00824e-06,1.83108e-05,4.61585e-05,0.000111677,0.000289158,0.000687324,0.00148156,0.00281147,0.00514391,0.0083173,0.0131461,0.0203768,0.0294122,0.0411693,0.0569671,0.0758788,0.0979421,0.123149,0.153867,0.186944,0.223699,0.260722,0.298103
