SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:56:09
Date and Time Ended,2019-Sep-27 19:56:13
Scan Name,Scan Tx1-Rx1 Link 9 
Link Settings,
Reset RX After Applying Settings,false
Open Area,7216
Horizontal Opening,38
Horizontal Percentage,58.46
Vertical Opening,241
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.236759,0.223577,0.204899,0.18188,0.154856,0.12234,0.0933015,0.0652219,0.0445744,0.0279091,0.0160311,0.00901831,0.00465553,0.00233186,0.00103723,0.000426108,0.000172808,6.05592e-05,1.91691e-05,6.67582e-06,2.00275e-06,3.81476e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,1.71664e-06,9.63226e-06,2.55589e-05,7.95377e-05,0.000238041,0.000716793,0.00175078,0.00429694,0.0095619,0.0190128,0.0358695,0.0588412,0.0864669,0.116164,0.149269,0.178239,0.204592,0.223212,0.23635,0.24468,0.249448,0.250363,0.253148
112,0.228568,0.213775,0.189802,0.164826,0.136304,0.102296,0.0751272,0.0514307,0.0324097,0.0190722,0.0108395,0.00560178,0.00281834,0.00128834,0.0005519,0.000207332,7.46738e-05,2.47005e-05,6.48508e-06,1.5259e-06,5.72213e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-07,4.2916e-06,1.21118e-05,3.60494e-05,0.000117494,0.000369268,0.000956645,0.00253843,0.0060977,0.0130133,0.0262325,0.0466986,0.0719975,0.101184,0.132127,0.163315,0.19131,0.213664,0.232856,0.241506,0.248842,0.252213,0.256477
104,0.220093,0.199997,0.176473,0.146808,0.117027,0.085528,0.0609243,0.0384631,0.0235928,0.0130694,0.00702695,0.00336442,0.00160801,0.000730621,0.00028048,9.99466e-05,3.51911e-05,8.96468e-06,2.28885e-06,2.86107e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,1.33516e-06,4.38697e-06,1.64988e-05,5.54093e-05,0.000180915,0.000510128,0.00144846,0.00377861,0.00882251,0.0186247,0.0352036,0.0573741,0.0851192,0.115967,0.147761,0.179332,0.205413,0.22617,0.239529,0.24615,0.253305,0.259565
96,0.211131,0.186348,0.160248,0.127639,0.0997306,0.0691531,0.0470365,0.0296078,0.0171773,0.009053,0.00450141,0.0020594,0.000936046,0.000385576,0.000138666,4.59678e-05,1.48775e-05,3.33791e-06,5.72213e-07,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.33516e-06,6.10361e-06,2.36515e-05,9.26032e-05,0.000272946,0.00080024,0.0022508,0.00572471,0.0133614,0.0265418,0.0458466,0.0709745,0.101687,0.133201,0.165292,0.192388,0.218101,0.233387,0.24556,0.255358,0.264938
88,0.198832,0.172897,0.141826,0.111001,0.0835735,0.0545688,0.0360019,0.0212677,0.0117753,0.00586767,0.00284962,0.00125629,0.000520047,0.000195125,7.18128e-05,1.97414e-05,5.62676e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.00275e-06,1.06813e-05,4.30114e-05,0.000128462,0.000444038,0.00130217,0.00355097,0.00903921,0.0193095,0.0354105,0.0593184,0.0857608,0.116527,0.149925,0.180996,0.209404,0.229593,0.243661,0.257931,0.272336
80,0.186264,0.154331,0.123744,0.0937071,0.0674228,0.0441325,0.0270198,0.0154232,0.00811318,0.00382048,0.00177329,0.000737392,0.000275807,0.000105478,3.33791e-05,8.39246e-06,2.19348e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,7.62951e-07,4.00549e-06,1.97414e-05,6.55184e-05,0.000237182,0.000748455,0.00216325,0.00588283,0.0134659,0.0265332,0.0464234,0.0709868,0.101184,0.134337,0.168349,0.198735,0.221642,0.24265,0.25973,0.280736
72,0.171882,0.138704,0.108215,0.081414,0.0551641,0.0337809,0.0203101,0.0109199,0.00543774,0.00246691,0.00101759,0.000420291,0.000138094,4.70169e-05,1.421e-05,4.48234e-06,4.76844e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,1.5259e-06,8.96468e-06,3.01366e-05,0.000115682,0.000405127,0.00124733,0.00379826,0.00929437,0.0196967,0.0365154,0.0585218,0.088009,0.120115,0.154622,0.186264,0.215689,0.240937,0.263404,0.291733
64,0.155503,0.121903,0.0906984,0.0657454,0.0430653,0.0254248,0.0145535,0.0074663,0.00346466,0.00141098,0.000574216,0.000218109,6.60906e-05,2.00275e-05,4.57771e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.24254e-06,1.37331e-05,5.61723e-05,0.000197986,0.000707446,0.00217088,0.00602827,0.0135211,0.0269115,0.0476216,0.0713329,0.105321,0.139507,0.175791,0.207916,0.238413,0.268939,0.302954
56,0.139745,0.105593,0.0773694,0.052844,0.0330931,0.0190358,0.0100236,0.0048908,0.00221475,0.000827897,0.000312428,0.000113203,3.21393e-05,7.43877e-06,1.5259e-06,2.86107e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,5.5314e-06,2.64172e-05,0.000107385,0.000366979,0.00129654,0.00379559,0.00916994,0.0199695,0.0359893,0.059725,0.0903184,0.125181,0.163445,0.200978,0.237171,0.274343,0.311478
48,0.126379,0.0921471,0.0629273,0.0419065,0.0252773,0.0139717,0.00702574,0.0031939,0.00132115,0.000483997,0.000166896,5.48371e-05,1.51637e-05,3.24254e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.81201e-06,1.07767e-05,5.05455e-05,0.000194171,0.00073024,0.00234426,0.00597744,0.0134399,0.0265935,0.0477493,0.0755429,0.112371,0.151197,0.192841,0.235128,0.279015,0.323278
