SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:59:26
Date and Time Ended,2019-Sep-27 19:59:30
Scan Name,Scan Tx5-Rx5 Link 8 
Link Settings,
Reset RX After Applying Settings,false
Open Area,2312
Horizontal Opening,40
Horizontal Percentage,61.54
Vertical Opening,81
Vertical Percentage,35.48
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.49708,0.498896,0.4992,0.496477,0.499505,0.498896,0.50042,0.497382,0.498896,0.500114,0.4992,0.499809,0.496778,0.498896,0.500726,0.498896,0.497382,0.4992,0.498896,0.4992,0.500726,0.50042,0.498289,0.499505,0.498289,0.499809,0.501032,0.497684,0.501032,0.50042,0.498896,0.497684,0.498593,0.498289,0.501339,0.50042,0.496477,0.498593,0.499505,0.4992,0.497986,0.498593,0.501646,0.498289,0.499505,0.4992,0.500726,0.501646,0.501953,0.499809,0.498593,0.498896,0.501032,0.4992,0.501339,0.499809,0.500114,0.501032,0.498896,0.498289,0.498289,0.501646,0.500726,0.498289,0.500114
112,0.50042,0.499809,0.501646,0.502261,0.499809,0.499809,0.500114,0.4992,0.499809,0.498593,0.499809,0.497382,0.500114,0.500114,0.501953,0.497684,0.501339,0.500726,0.50042,0.498896,0.50042,0.49708,0.499505,0.499809,0.497684,0.498289,0.4992,0.498593,0.50042,0.497986,0.497986,0.499505,0.501339,0.499505,0.499505,0.4992,0.499505,0.498289,0.498593,0.500114,0.497986,0.498289,0.502569,0.498896,0.500726,0.500726,0.501339,0.50042,0.501339,0.502569,0.501339,0.497986,0.498593,0.498593,0.501953,0.4992,0.498593,0.498289,0.501032,0.499809,0.50042,0.4992,0.50042,0.497684,0.500114
104,0.439478,0.435275,0.432974,0.433662,0.426438,0.429119,0.440423,0.431833,0.439243,0.444245,0.45035,0.45309,0.460476,0.465977,0.465183,0.468643,0.472699,0.474341,0.477939,0.481026,0.48444,0.482727,0.482443,0.485013,0.486165,0.484726,0.491709,0.493486,0.493486,0.495277,0.495876,0.496778,0.497986,0.49708,0.496778,0.495277,0.493189,0.496477,0.490238,0.490825,0.489359,0.487612,0.490531,0.485876,0.486742,0.483011,0.481309,0.476549,0.47766,0.483582,0.47766,0.476826,0.471611,0.473519,0.473519,0.475443,0.472154,0.477382,0.478497,0.478218,0.479618,0.479899,0.482159,0.485876,0.485301
96,0.258337,0.26006,0.260142,0.261304,0.259647,0.258909,0.26214,0.262982,0.264339,0.26315,0.26597,0.265367,0.267883,0.271254,0.273062,0.274435,0.276286,0.275357,0.281314,0.284737,0.28683,0.290183,0.287939,0.290183,0.291215,0.29163,0.302618,0.30073,0.30329,0.306697,0.308429,0.317269,0.317884,0.317392,0.313505,0.307618,0.308545,0.311953,0.304304,0.296807,0.289568,0.288751,0.285431,0.278446,0.285531,0.281605,0.284935,0.275265,0.279968,0.276007,0.277315,0.2761,0.274987,0.281025,0.276379,0.275728,0.278068,0.276286,0.279682,0.281314,0.28064,0.28663,0.287939,0.289159,0.294778
88,0.250363,0.250593,0.249676,0.25021,0.250746,0.250363,0.249372,0.2496,0.249828,0.249676,0.250516,0.249905,0.249981,0.249752,0.249145,0.24854,0.247339,0.244169,0.23897,0.233453,0.222424,0.208445,0.192659,0.174741,0.15842,0.142294,0.131238,0.123427,0.113069,0.111484,0.110896,0.110701,0.116644,0.126165,0.135358,0.143491,0.156632,0.170664,0.18601,0.20531,0.215292,0.225796,0.235263,0.242722,0.247414,0.248088,0.248918,0.249981,0.250363,0.250363,0.250057,0.250134,0.250057,0.249524,0.249524,0.250057,0.250439,0.249981,0.250593,0.2496,0.249448,0.250669,0.250363,0.250286,0.249524
80,0.249448,0.25021,0.249828,0.250746,0.249676,0.249524,0.249905,0.249981,0.248842,0.25021,0.248918,0.250286,0.248389,0.245855,0.240867,0.23372,0.21845,0.201522,0.181477,0.162408,0.139081,0.112976,0.0939112,0.0769768,0.0629563,0.0544745,0.046363,0.0416444,0.0374691,0.0364245,0.0345926,0.035813,0.0372392,0.0415073,0.0430585,0.0479253,0.0529191,0.0615977,0.0732923,0.0877262,0.103852,0.122376,0.144147,0.163315,0.192932,0.211841,0.227995,0.237446,0.244753,0.247788,0.249828,0.250516,0.249524,0.250516,0.249372,0.249524,0.249676,0.248842,0.250286,0.249372,0.250134,0.249828,0.249524,0.249752,0.250439
72,0.249752,0.249828,0.250363,0.250134,0.250669,0.250439,0.249145,0.249448,0.249145,0.24922,0.246446,0.24172,0.232988,0.218625,0.202468,0.175415,0.149514,0.12367,0.095188,0.0757245,0.0568722,0.0406747,0.0301161,0.0224146,0.0167232,0.013627,0.010836,0.00917391,0.00848955,0.00810101,0.00788167,0.0080539,0.00849527,0.00970798,0.0106001,0.0120378,0.0142581,0.0175935,0.021452,0.0271245,0.034093,0.0435993,0.0576811,0.0743702,0.0953875,0.123576,0.150062,0.176018,0.201671,0.219798,0.233853,0.240937,0.247041,0.249372,0.249828,0.25021,0.249752,0.250286,0.250134,0.2496,0.249828,0.249372,0.250516,0.249905,0.249372
64,0.2496,0.249752,0.249448,0.248842,0.250439,0.250593,0.248918,0.247713,0.244315,0.237859,0.227426,0.20994,0.185295,0.159561,0.131259,0.102616,0.0760761,0.0528201,0.035724,0.0255405,0.0162521,0.0103824,0.00676852,0.00461128,0.00327764,0.00246948,0.00184367,0.00151751,0.00129034,0.00114137,0.001149,0.00114977,0.00122244,0.00145094,0.00169547,0.0019686,0.00250496,0.00321508,0.00448005,0.0062665,0.00874132,0.0125396,0.0175509,0.0255254,0.0372392,0.0524885,0.0708272,0.0934612,0.119817,0.151114,0.178979,0.20302,0.219857,0.235941,0.242578,0.247638,0.249752,0.249828,0.250057,0.249372,0.249981,0.249524,0.249524,0.250593,0.24922
56,0.250593,0.25021,0.249069,0.2496,0.249296,0.248163,0.244024,0.236077,0.224866,0.206137,0.186052,0.1579,0.123632,0.09248,0.0673176,0.0448256,0.0275802,0.0170956,0.00974804,0.00615091,0.00339265,0.00183757,0.00110819,0.000650225,0.000389677,0.000296025,0.000201038,0.000148394,0.000120737,0.000110246,0.000104334,0.000105669,0.000109674,0.000133135,0.000167849,0.000210765,0.000300984,0.000427825,0.000644884,0.00101663,0.00161841,0.00259976,0.00403983,0.00662909,0.0112768,0.0186799,0.0280697,0.0410394,0.0589513,0.0820665,0.107944,0.13847,0.164429,0.193524,0.215406,0.230368,0.240161,0.24615,0.248691,0.249372,0.250439,0.249752,0.250286,0.250057,0.25021
48,0.2496,0.249676,0.248766,0.247713,0.243371,0.236077,0.222726,0.205002,0.18012,0.151673,0.12302,0.0926054,0.0623146,0.0401267,0.0240952,0.0137563,0.00726692,0.00368391,0.00170443,0.000863661,0.000383192,0.000196651,8.33524e-05,4.25345e-05,2.05997e-05,1.18257e-05,6.67582e-06,5.34066e-06,3.0518e-06,2.67033e-06,4.00549e-06,3.0518e-06,2.86107e-06,4.95918e-06,7.24804e-06,8.77394e-06,1.46868e-05,2.44144e-05,4.84474e-05,8.1445e-05,0.000159075,0.000271992,0.000530251,0.00108434,0.00220359,0.00437209,0.00786183,0.0134207,0.0222569,0.0341328,0.0512826,0.0721306,0.0978368,0.128058,0.15888,0.187629,0.20919,0.22642,0.239529,0.246002,0.248842,0.25021,0.249372,0.249676,0.250134
