SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:33
Date and Time Ended,2019-Sep-27 19:57:37
Scan Name,Scan Tx3-Rx3 Link 5 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3736
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.4992,0.497986,0.498289,0.501646,0.498289,0.501646,0.498593,0.499809,0.497986,0.499505,0.500114,0.497986,0.499809,0.499809,0.497986,0.501032,0.496778,0.500726,0.499505,0.500726,0.500726,0.4992,0.499809,0.497684,0.498593,0.50042,0.497382,0.497684,0.499505,0.501339,0.497986,0.501339,0.498896,0.496778,0.4992,0.499809,0.500726,0.498896,0.501953,0.498896,0.499809,0.499505,0.504737,0.500114,0.497382,0.498593,0.499505,0.501953,0.498593,0.498593,0.496477,0.497684,0.500114,0.497382,0.50042,0.501032,0.50042,0.4992,0.497382,0.500114,0.4992,0.499505,0.497382,0.50042,0.498896
112,0.501339,0.499809,0.497684,0.497382,0.500726,0.501339,0.50042,0.501032,0.496778,0.499505,0.4992,0.500114,0.499809,0.497986,0.497382,0.498593,0.497684,0.498896,0.4992,0.498289,0.499809,0.499505,0.50042,0.498593,0.502569,0.4992,0.498593,0.497986,0.498593,0.499505,0.500114,0.501339,0.500114,0.498593,0.49708,0.496477,0.501953,0.497382,0.496778,0.497684,0.499505,0.498593,0.497986,0.496778,0.497382,0.497986,0.501032,0.498896,0.498593,0.498593,0.501339,0.500726,0.50042,0.498289,0.499809,0.497382,0.498289,0.4992,0.500114,0.499505,0.498289,0.499505,0.498896,0.499809,0.498896
104,0.377332,0.379957,0.381728,0.374743,0.38244,0.378552,0.376811,0.393084,0.390089,0.394219,0.400189,0.41562,0.409389,0.422697,0.418166,0.430472,0.422479,0.430246,0.439243,0.434813,0.441611,0.441135,0.444727,0.450846,0.449856,0.447155,0.446667,0.451841,0.439243,0.433662,0.441135,0.431833,0.423134,0.42467,0.415409,0.416889,0.415199,0.415409,0.409594,0.408165,0.406142,0.399799,0.399994,0.391956,0.385319,0.389533,0.393084,0.391768,0.396509,0.389904,0.396509,0.394789,0.39403,0.397278,0.396509,0.401562,0.408776,0.404737,0.401169,0.405739,0.419236,0.42489,0.42867,0.425773,0.432517
96,0.252446,0.252213,0.25307,0.25198,0.252992,0.251903,0.252368,0.254406,0.252992,0.254643,0.255916,0.256236,0.25696,0.255916,0.25704,0.256799,0.257283,0.255119,0.252758,0.244096,0.232724,0.206866,0.190509,0.176397,0.154622,0.144401,0.134161,0.123744,0.11188,0.112789,0.122468,0.122651,0.133245,0.136577,0.138822,0.155237,0.171342,0.185085,0.195324,0.203071,0.223516,0.23154,0.239249,0.246298,0.248918,0.254722,0.260225,0.258664,0.257849,0.259237,0.260556,0.259237,0.259319,0.259237,0.259977,0.259073,0.259647,0.26006,0.260225,0.263404,0.262308,0.264425,0.268234,0.26597,0.269914
88,0.24922,0.249981,0.250593,0.249296,0.249828,0.249981,0.249752,0.249448,0.248993,0.250286,0.250746,0.249905,0.249828,0.248842,0.24468,0.237239,0.220508,0.191578,0.166637,0.129108,0.102861,0.0738206,0.057126,0.0428557,0.0315533,0.0224996,0.0169467,0.0149228,0.0111595,0.00966125,0.00980182,0.00946479,0.00987793,0.0109451,0.0121033,0.015631,0.0211038,0.0281556,0.0359766,0.0473191,0.0632822,0.0835309,0.10497,0.132726,0.155621,0.186391,0.212225,0.228823,0.239669,0.246818,0.248842,0.248918,0.250286,0.249524,0.250286,0.250363,0.250363,0.250057,0.25021,0.249676,0.249296,0.249981,0.248918,0.249828,0.249905
80,0.250134,0.249752,0.2496,0.249905,0.25021,0.249448,0.250516,0.249905,0.248691,0.249828,0.249372,0.247414,0.238136,0.225734,0.199025,0.169184,0.128138,0.0884365,0.0626338,0.0388738,0.025959,0.0160505,0.0097179,0.00607614,0.0038714,0.0025639,0.00185187,0.00157053,0.00103418,0.000927176,0.000851453,0.000799954,0.000743305,0.000847066,0.000861944,0.00101034,0.0013798,0.00175746,0.00252461,0.00372492,0.00565423,0.0100175,0.0158961,0.0260697,0.0429952,0.0642399,0.0977901,0.133136,0.166502,0.197776,0.226295,0.23883,0.244826,0.249524,0.248691,0.249372,0.250516,0.249145,0.249676,0.249524,0.249524,0.249448,0.249676,0.249905,0.250057
72,0.248314,0.249828,0.249981,0.249905,0.2496,0.249676,0.247713,0.250669,0.248918,0.247339,0.239529,0.221462,0.187115,0.14897,0.109605,0.0732595,0.044555,0.025219,0.0135052,0.00698558,0.00384127,0.0020098,0.000980201,0.000534638,0.000305562,0.000189593,0.000118067,7.87747e-05,5.14992e-05,3.98642e-05,3.64309e-05,3.8529e-05,2.93736e-05,2.99458e-05,3.87198e-05,4.69215e-05,5.68399e-05,9.36522e-05,0.000155642,0.000198558,0.000350385,0.0006981,0.00121252,0.00260605,0.00496529,0.0103681,0.0202794,0.0364229,0.0631407,0.0971522,0.136213,0.178472,0.207968,0.229786,0.242148,0.247788,0.249981,0.249752,0.250286,0.248993,0.249905,0.25021,0.249752,0.25021,0.249752
64,0.249145,0.249372,0.250363,0.250286,0.249296,0.249372,0.24854,0.247414,0.24002,0.224373,0.194905,0.151561,0.10222,0.0638295,0.0365513,0.0191006,0.00914893,0.00389258,0.00175555,0.000699626,0.000306706,0.000114443,5.28344e-05,2.21256e-05,8.77394e-06,5.72213e-06,2.09812e-06,1.71664e-06,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-07,3.81476e-07,7.62951e-07,2.28885e-06,2.09812e-06,5.5314e-06,1.29702e-05,3.14717e-05,6.44694e-05,0.000152399,0.00035687,0.000944724,0.00232815,0.00548314,0.0126279,0.0255684,0.0492685,0.0807479,0.119103,0.164067,0.202669,0.228568,0.243082,0.247414,0.249905,0.249981,0.250134,0.249828,0.249676,0.250669,0.249524
56,0.249676,0.248993,0.250669,0.250593,0.248993,0.247938,0.24172,0.228059,0.200144,0.16072,0.114332,0.0714138,0.034479,0.0170044,0.00765736,0.00297704,0.00114633,0.000357061,0.000115015,3.0518e-05,1.25887e-05,2.28885e-06,7.62951e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,1.71664e-06,4.95918e-06,1.9646e-05,5.91287e-05,0.00016804,0.000509651,0.00157568,0.00415713,0.0100154,0.0215791,0.042615,0.079703,0.121758,0.167181,0.205413,0.228122,0.242794,0.247339,0.248691,0.25021,0.249524,0.250134,0.248842
48,0.249524,0.2496,0.24922,0.248766,0.245928,0.234859,0.211512,0.175077,0.127619,0.0815193,0.0451169,0.0212643,0.00763752,0.00309339,0.000986496,0.00029469,8.2208e-05,1.64034e-05,2.28885e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-06,8.01099e-06,3.50958e-05,0.00012932,0.000448806,0.00141165,0.00379358,0.0104742,0.0255828,0.0487496,0.0856532,0.131639,0.176056,0.211076,0.233987,0.24615,0.248465,0.249296,0.249752,0.250363
