SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:41
Date and Time Ended,2019-Sep-27 19:57:46
Scan Name,Scan Tx3-Rx3 Link 7 
Link Settings,
Reset RX After Applying Settings,false
Open Area,2912
Horizontal Opening,39
Horizontal Percentage,60.00
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.500726,0.498289,0.498289,0.498896,0.498593,0.499809,0.4992,0.500726,0.495277,0.501032,0.501953,0.500114,0.4992,0.4992,0.498896,0.499505,0.499809,0.4992,0.4992,0.498896,0.499809,0.497986,0.4992,0.502878,0.501339,0.497986,0.498896,0.497684,0.496477,0.497986,0.502569,0.500114,0.499809,0.499505,0.498896,0.497382,0.497986,0.499505,0.500726,0.500726,0.498289,0.50042,0.50042,0.500114,0.4992,0.500726,0.4992,0.500114,0.497684,0.499505,0.500114,0.499809,0.4992,0.498289,0.49708,0.4992,0.50042,0.499505,0.501032,0.50042,0.498289,0.500114,0.50042,0.498289,0.50042
112,0.497986,0.499505,0.498289,0.500114,0.500114,0.499505,0.500114,0.497986,0.501032,0.502261,0.50042,0.50042,0.498593,0.498289,0.498593,0.499809,0.498896,0.498593,0.501339,0.498593,0.4992,0.501953,0.500114,0.499505,0.501032,0.497382,0.503186,0.498896,0.4992,0.500114,0.499809,0.499809,0.501646,0.501032,0.49708,0.501339,0.499505,0.498896,0.498593,0.499809,0.498896,0.50042,0.498896,0.499809,0.501032,0.499505,0.499505,0.498593,0.498593,0.499505,0.500114,0.499809,0.497986,0.501953,0.496177,0.497986,0.499505,0.499505,0.49708,0.498896,0.500114,0.499809,0.500726,0.501339,0.498593
104,0.419022,0.416042,0.422916,0.42161,0.419451,0.42511,0.427551,0.430698,0.436434,0.445453,0.450103,0.451841,0.457647,0.459959,0.462556,0.471611,0.471339,0.471611,0.478497,0.481026,0.481309,0.482159,0.483867,0.481309,0.485301,0.484153,0.481592,0.484153,0.48018,0.478777,0.479057,0.474891,0.467573,0.469718,0.470797,0.469448,0.464655,0.459443,0.455864,0.455104,0.450598,0.448133,0.447399,0.440423,0.447643,0.445453,0.442087,0.441135,0.439478,0.4376,0.440897,0.437367,0.447155,0.444486,0.447643,0.453341,0.449609,0.454599,0.451841,0.45209,0.464392,0.460995,0.466242,0.472972,0.474341
96,0.263913,0.261471,0.260971,0.262308,0.263659,0.263066,0.264681,0.26256,0.266663,0.271434,0.271524,0.271794,0.274987,0.271524,0.274251,0.275265,0.279873,0.274159,0.274251,0.266056,0.256156,0.248691,0.221282,0.209725,0.197776,0.178901,0.178317,0.157688,0.162958,0.162087,0.169604,0.169569,0.173667,0.182691,0.195931,0.209564,0.218683,0.2273,0.24615,0.253461,0.262224,0.271614,0.271164,0.276379,0.27892,0.27892,0.278351,0.276566,0.278162,0.275821,0.27854,0.277409,0.279395,0.277785,0.277033,0.280448,0.282284,0.281798,0.282187,0.282284,0.288446,0.286429,0.29215,0.290389,0.289978
88,0.250286,0.249981,0.249981,0.250057,0.250593,0.249145,0.249752,0.249448,0.250057,0.249524,0.2496,0.248389,0.247339,0.243299,0.238136,0.227173,0.213887,0.192705,0.169674,0.14458,0.11618,0.0970142,0.0731548,0.0569355,0.0460347,0.0343,0.0274168,0.0222811,0.018651,0.0178757,0.0166103,0.0162821,0.0177899,0.0204042,0.0245869,0.0298418,0.0396011,0.0498593,0.0661702,0.0861577,0.104622,0.129148,0.148808,0.180002,0.200241,0.219798,0.234657,0.243444,0.247638,0.2496,0.249981,0.25021,0.249372,0.250593,0.249296,0.249981,0.2509,0.250134,0.249981,0.249296,0.249828,0.249524,0.25021,0.250593,0.250134
80,0.249905,0.249524,0.249828,0.249905,0.250057,0.250286,0.250593,0.249676,0.248615,0.247115,0.243371,0.235466,0.224928,0.201721,0.178667,0.15332,0.126692,0.0979187,0.0782265,0.0573139,0.0385083,0.0275579,0.0189486,0.0126652,0.00883841,0.00601949,0.00439441,0.0031302,0.00251946,0.00212882,0.00186294,0.00173114,0.00169394,0.0018904,0.00205406,0.00251144,0.00330758,0.00465381,0.00706168,0.0104269,0.016177,0.0260805,0.0385554,0.0569711,0.0797962,0.10959,0.142393,0.175678,0.200978,0.224067,0.236965,0.243516,0.247863,0.2496,0.249372,0.249448,0.250439,0.2496,0.250057,0.249828,0.249676,0.250057,0.250286,0.250286,0.249752
72,0.250746,0.250363,0.25021,0.249448,0.250286,0.249752,0.248918,0.246372,0.24115,0.231278,0.216487,0.191802,0.163772,0.13249,0.104422,0.078715,0.0574586,0.0396298,0.0270323,0.0169348,0.0106653,0.00644541,0.00371214,0.00233787,0.00143454,0.000888838,0.000586519,0.000385481,0.000271229,0.00024033,0.000182345,0.00016041,0.000175479,0.000180438,0.000213054,0.000259213,0.000368696,0.000541695,0.000874723,0.00140612,0.00220722,0.00380121,0.00642042,0.011334,0.0198509,0.0328082,0.0530837,0.0803913,0.110821,0.146624,0.18184,0.206189,0.227236,0.239109,0.246669,0.248615,0.2496,0.248993,0.250286,0.249069,0.250134,0.250286,0.25021,0.250593,0.2496
64,0.249676,0.249524,0.249752,0.249905,0.248239,0.245633,0.240654,0.230757,0.211022,0.187887,0.161162,0.125623,0.0968307,0.0665303,0.0468241,0.0305952,0.0195026,0.0121557,0.00727512,0.00395628,0.00214714,0.00111505,0.000561723,0.000293164,0.000140955,7.7821e-05,4.04364e-05,2.53681e-05,1.10628e-05,1.18257e-05,7.24804e-06,6.86656e-06,6.86656e-06,8.77394e-06,7.62951e-06,1.50683e-05,2.13626e-05,4.08179e-05,7.26711e-05,0.000134661,0.000249485,0.000505646,0.000963226,0.00183986,0.00358282,0.00713645,0.0135153,0.0246187,0.0410332,0.066417,0.0985667,0.133288,0.169079,0.200241,0.223455,0.238136,0.24556,0.248615,0.249905,0.249981,0.250746,0.25021,0.25021,0.250134,0.249905
56,0.249524,0.248918,0.2496,0.247788,0.242435,0.233387,0.217811,0.194535,0.16387,0.131491,0.0968307,0.0698072,0.0457647,0.0282937,0.0173351,0.0100994,0.00560578,0.00298276,0.00152686,0.000704585,0.000298505,0.000127985,4.654e-05,2.02182e-05,8.20172e-06,4.00549e-06,1.33516e-06,9.53689e-07,3.81476e-07,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.33516e-06,2.09812e-06,6.86656e-06,2.11719e-05,4.95918e-05,0.000106622,0.000266651,0.000577745,0.00131914,0.00287995,0.0062644,0.0121319,0.0228421,0.0401346,0.0660688,0.0977434,0.133942,0.17341,0.202819,0.222484,0.238691,0.246224,0.247638,0.24922,0.249752,0.2496,0.250057,0.249981
48,0.249828,0.247339,0.245339,0.238344,0.223212,0.203071,0.175867,0.14163,0.105294,0.0724112,0.0480096,0.0300542,0.0175607,0.00935512,0.0047591,0.00237659,0.00109674,0.000485618,0.00018349,7.09545e-05,1.90738e-05,7.24804e-06,7.62951e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,2.09812e-06,4.38697e-06,2.327e-05,6.21805e-05,0.000188067,0.000487335,0.00124037,0.00280709,0.00624285,0.0124802,0.0250432,0.0432152,0.0701479,0.105593,0.142269,0.178084,0.208233,0.227805,0.24009,0.246446,0.248163,0.249981,0.249905,0.250439
