SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:56:38
Date and Time Ended,2019-Sep-27 19:56:42
Scan Name,Scan Tx2-Rx2 Link 4 
Link Settings,
Reset RX After Applying Settings,false
Open Area,1960
Horizontal Opening,20
Horizontal Percentage,30.77
Vertical Opening,129
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.204695,0.189715,0.173336,0.155798,0.137448,0.117194,0.0994884,0.0820172,0.0645843,0.0503558,0.0379218,0.0277202,0.018997,0.012264,0.0077444,0.00446117,0.00253214,0.00144446,0.000775731,0.000424964,0.000228218,0.000130655,7.07637e-05,4.18669e-05,2.67033e-05,1.74525e-05,1.18257e-05,1.02045e-05,1.20165e-05,1.18257e-05,1.62127e-05,1.85016e-05,2.43191e-05,3.72892e-05,5.97009e-05,0.000109197,0.000172332,0.000300412,0.000538834,0.000891604,0.0014848,0.00237745,0.00371118,0.00570697,0.00841746,0.0119207,0.0167127,0.0229374,0.0304146,0.0396317,0.050042,0.0637004,0.0793786,0.096762,0.114893,0.133898,0.151645,0.170309,0.18806,0.204184,0.220924,0.234455,0.248993,0.260556,0.274895
112,0.19749,0.181477,0.16476,0.145971,0.127006,0.107674,0.0885991,0.0708885,0.0556892,0.0421827,0.0310063,0.0212809,0.0144907,0.00906903,0.00540265,0.00301804,0.00164654,0.000874914,0.000451953,0.000245956,0.000127317,6.55184e-05,3.58587e-05,2.11719e-05,1.32563e-05,6.67582e-06,5.62676e-06,4.86381e-06,4.2916e-06,5.43603e-06,6.29435e-06,7.15267e-06,1.18257e-05,1.8883e-05,3.19486e-05,5.66491e-05,0.00010214,0.000183108,0.000327497,0.000553235,0.00097858,0.00165208,0.00267786,0.00425946,0.00645701,0.00938424,0.0135398,0.0189215,0.0250424,0.03348,0.0436109,0.0561395,0.0704496,0.0876511,0.105511,0.124686,0.14402,0.161321,0.181236,0.198639,0.215803,0.231933,0.247938,0.262392,0.276566
104,0.190686,0.17341,0.155503,0.135448,0.115281,0.096762,0.0784813,0.0618348,0.0465077,0.0347762,0.0246669,0.0165814,0.0109077,0.00641554,0.00371538,0.00197223,0.00100795,0.000525387,0.000256065,0.000125219,7.01915e-05,3.20439e-05,1.85969e-05,1.01091e-05,6.10361e-06,4.86381e-06,3.33791e-06,2.47959e-06,2.67033e-06,2.19348e-06,2.28885e-06,3.81476e-06,6.38972e-06,1.06813e-05,1.74525e-05,3.07088e-05,5.02594e-05,0.000100328,0.000192168,0.000348478,0.000630961,0.00109827,0.00187886,0.00313621,0.00483148,0.00723383,0.0106782,0.0154174,0.0209779,0.0284322,0.0377506,0.0495876,0.0620033,0.0788742,0.096534,0.114604,0.132683,0.153694,0.17319,0.192117,0.211131,0.230497,0.246446,0.262897,0.281121
96,0.18542,0.164826,0.14644,0.125488,0.105024,0.0859949,0.0684825,0.0528849,0.0391207,0.0282732,0.0193835,0.0127766,0.0080949,0.00455196,0.00253843,0.00128319,0.000636778,0.000312905,0.000152495,7.17174e-05,3.58587e-05,2.02182e-05,8.67857e-06,5.05455e-06,2.28885e-06,1.2398e-06,1.2398e-06,1.62127e-06,1.04906e-06,9.53689e-07,1.2398e-06,2.28885e-06,3.24254e-06,3.43328e-06,8.10636e-06,1.421e-05,2.45098e-05,5.20714e-05,0.000105859,0.000201324,0.000401503,0.000739395,0.00130083,0.00223297,0.00362097,0.00563802,0.00849533,0.0124315,0.0173837,0.0237832,0.0320245,0.0432015,0.0553804,0.0709376,0.0877074,0.105784,0.125719,0.146179,0.165426,0.187029,0.205929,0.22642,0.245855,0.26597,0.283064
88,0.17941,0.157536,0.136668,0.115737,0.0950113,0.0766886,0.0598821,0.0446083,0.0322743,0.0227527,0.0153532,0.00956816,0.00585231,0.0032764,0.00167878,0.00081426,0.000389296,0.000183299,8.64042e-05,4.14855e-05,1.66896e-05,9.34615e-06,5.14992e-06,2.28885e-06,1.43053e-06,1.04906e-06,7.62951e-07,4.76844e-07,3.81476e-07,9.53689e-08,6.67582e-07,7.62951e-07,1.33516e-06,2.09812e-06,3.43328e-06,7.82025e-06,1.6022e-05,3.03273e-05,6.04639e-05,0.000117494,0.000250343,0.000466926,0.000883783,0.00160687,0.00265373,0.00431535,0.00668059,0.00989094,0.014306,0.0198447,0.0277446,0.0370472,0.0490649,0.0628115,0.0797962,0.0988879,0.11706,0.137309,0.158819,0.179962,0.203071,0.223822,0.245119,0.267359,0.287838
80,0.17319,0.149487,0.128118,0.106971,0.0858327,0.0678472,0.0511417,0.0377541,0.0266125,0.0181864,0.0117325,0.00709438,0.00414015,0.00217689,0.00111381,0.000506886,0.000225452,0.000100233,4.78752e-05,2.12673e-05,9.25078e-06,5.24529e-06,1.71664e-06,8.5832e-07,5.72213e-07,2.86107e-07,9.53689e-08,1.90738e-07,1.90738e-07,1.90738e-07,9.53689e-08,1.90738e-07,4.76844e-07,1.2398e-06,1.5259e-06,2.67033e-06,6.10361e-06,1.64988e-05,3.13764e-05,7.13359e-05,0.000151255,0.000294499,0.000584039,0.00108034,0.00186933,0.00323596,0.00519837,0.00787771,0.0117852,0.0166002,0.0235534,0.0319048,0.0431242,0.0563713,0.0722515,0.0907586,0.109781,0.129618,0.151142,0.172606,0.19692,0.220449,0.243951,0.269825,0.291318
72,0.168211,0.143415,0.119764,0.0982475,0.0774572,0.0598471,0.0443283,0.0319745,0.0215202,0.0143486,0.00899988,0.00526246,0.00291733,0.00149643,0.000728332,0.00031424,0.000142576,5.80797e-05,2.34607e-05,9.53689e-06,4.38697e-06,1.33516e-06,1.2398e-06,3.81476e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,5.72213e-07,8.5832e-07,3.81476e-06,5.91287e-06,1.7071e-05,4.22484e-05,8.87884e-05,0.000177195,0.000381189,0.000770867,0.00135662,0.00238813,0.00400969,0.00625955,0.00946053,0.0136513,0.0197053,0.0273994,0.0377436,0.0504737,0.0652427,0.0830988,0.102041,0.122559,0.14402,0.168626,0.19275,0.218683,0.242077,0.269292,0.293826
64,0.161194,0.136622,0.111454,0.0895678,0.0684939,0.0516121,0.0368505,0.0259319,0.0173947,0.0109678,0.00664795,0.00377155,0.0020037,0.000957218,0.00044089,0.000179007,7.49599e-05,3.02319e-05,1.19211e-05,4.76844e-06,1.33516e-06,7.62951e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,4.76844e-07,7.62951e-07,2.00275e-06,3.81476e-06,7.72488e-06,1.85016e-05,5.14038e-05,0.000102998,0.000231842,0.000494202,0.000927272,0.00174649,0.00289902,0.00483663,0.00756085,0.0111315,0.0164469,0.023463,0.0328411,0.0442613,0.0585552,0.076246,0.0946819,0.115574,0.137864,0.162151,0.187629,0.214447,0.240937,0.268939,0.296807
56,0.157294,0.130652,0.10409,0.0820665,0.061723,0.0449955,0.0319521,0.0215134,0.0140561,0.00854335,0.00501555,0.00276722,0.00140917,0.000627718,0.000273899,0.000109483,4.1104e-05,1.421e-05,6.38972e-06,2.67033e-06,7.62951e-07,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,1.14443e-06,3.24254e-06,9.06004e-06,3.23301e-05,6.20851e-05,0.000152304,0.000322728,0.000646124,0.00125706,0.00221408,0.00380541,0.00608186,0.00926159,0.0139541,0.0205197,0.0289937,0.0405458,0.053972,0.0704617,0.0894896,0.110671,0.132726,0.157536,0.183592,0.211895,0.242077,0.26947,0.300509
48,0.152891,0.124952,0.0981298,0.0757105,0.0561318,0.0398554,0.02697,0.0176823,0.0110953,0.00656253,0.0036965,0.00193379,0.000959602,0.000401026,0.000165942,6.46601e-05,2.49866e-05,8.77394e-06,3.24254e-06,1.04906e-06,4.76844e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,7.62951e-07,2.19348e-06,5.34066e-06,1.44007e-05,3.93874e-05,8.9456e-05,0.000209239,0.00045243,0.000883402,0.00167115,0.00288291,0.00478695,0.00756937,0.0117463,0.0178503,0.0256316,0.036059,0.0493963,0.065598,0.0835054,0.104729,0.127599,0.153636,0.179253,0.20887,0.238552,0.270716,0.304304
