SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:58:31
Date and Time Ended,2019-Sep-27 19:58:35
Scan Name,Scan Tx4-Rx4 Link 7 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3624
Horizontal Opening,42
Horizontal Percentage,64.62
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.500114,0.50042,0.50042,0.4992,0.4992,0.496778,0.498593,0.499809,0.50042,0.500726,0.498289,0.498896,0.502569,0.501953,0.497986,0.4992,0.498593,0.501646,0.498593,0.497382,0.498896,0.497986,0.50042,0.497986,0.499809,0.500726,0.500114,0.498896,0.4992,0.499505,0.499505,0.4992,0.499809,0.501032,0.498896,0.500114,0.50042,0.497684,0.49708,0.500114,0.498593,0.49708,0.502569,0.49708,0.496477,0.501339,0.4992,0.500726,0.503496,0.499505,0.497382,0.501032,0.50042,0.499505,0.499505,0.499505,0.498593,0.497986,0.499809,0.498896,0.498289,0.498593,0.499505,0.498289,0.497382
112,0.500114,0.50042,0.496778,0.500114,0.50042,0.501339,0.498289,0.501032,0.497986,0.498593,0.501032,0.498289,0.497382,0.501646,0.498289,0.500726,0.500114,0.499809,0.500726,0.499505,0.500114,0.500726,0.501646,0.502569,0.499809,0.498289,0.498593,0.501953,0.498289,0.499809,0.501646,0.4992,0.499809,0.499505,0.501032,0.4992,0.501339,0.497986,0.499505,0.502878,0.499809,0.498593,0.498593,0.498896,0.500726,0.499505,0.502569,0.500726,0.496778,0.499809,0.501339,0.501339,0.500726,0.501339,0.498289,0.501646,0.497684,0.4992,0.498593,0.498593,0.4992,0.497684,0.500726,0.500114,0.498593
104,0.398244,0.405538,0.393462,0.394599,0.405739,0.399604,0.407151,0.408165,0.414359,0.415831,0.429119,0.428221,0.428445,0.43597,0.449856,0.453341,0.43995,0.447399,0.455864,0.457391,0.462035,0.468911,0.463079,0.468375,0.473519,0.476549,0.476826,0.477104,0.478497,0.48444,0.481026,0.475443,0.475995,0.472972,0.472154,0.469718,0.464392,0.460995,0.45309,0.457902,0.447643,0.446667,0.440187,0.441373,0.43995,0.438068,0.429344,0.425995,0.431833,0.431833,0.433433,0.432517,0.429794,0.432061,0.42666,0.439478,0.439007,0.444486,0.447399,0.447888,0.451841,0.457391,0.462295,0.463604,0.459443
96,0.254406,0.253461,0.254722,0.254327,0.254485,0.254012,0.25504,0.255437,0.253697,0.255996,0.256638,0.256316,0.259647,0.258664,0.259647,0.261221,0.262813,0.261972,0.263829,0.261889,0.261054,0.258991,0.251207,0.244461,0.231671,0.217927,0.20919,0.201324,0.182651,0.184585,0.187243,0.186561,0.200978,0.193524,0.21758,0.21921,0.217869,0.227615,0.235805,0.248918,0.251285,0.258337,0.261805,0.266229,0.266402,0.268586,0.265109,0.265367,0.265281,0.264084,0.266143,0.265711,0.267184,0.266316,0.268322,0.26841,0.268322,0.269825,0.268586,0.273976,0.270627,0.273427,0.274067,0.278351,0.273884
88,0.249524,0.250286,0.249981,0.249981,0.249372,0.249981,0.248766,0.249981,0.250134,0.249448,0.249828,0.249296,0.250439,0.249448,0.248842,0.248239,0.245266,0.238067,0.226859,0.214447,0.187371,0.165693,0.137125,0.106971,0.0812042,0.062937,0.0475967,0.0367844,0.0262316,0.0241164,0.0213681,0.0200644,0.0227508,0.0246728,0.0298908,0.0347895,0.0422828,0.0550418,0.0672899,0.0846618,0.104209,0.129189,0.156602,0.178162,0.202519,0.219034,0.230303,0.239949,0.247115,0.248842,0.249752,0.249372,0.249524,0.249905,0.250363,0.2496,0.250516,0.250286,0.250134,0.249069,0.25021,0.249448,0.249828,0.249448,0.25021
80,0.250439,0.250134,0.249828,0.249981,0.249676,0.250593,0.250669,0.249905,0.250134,0.249524,0.249981,0.249905,0.247788,0.243082,0.237102,0.224928,0.204032,0.178007,0.146075,0.116927,0.0835394,0.0600665,0.0354228,0.0237075,0.013915,0.00857023,0.00544308,0.00344949,0.00264668,0.00197566,0.00172179,0.00154555,0.00157721,0.00173037,0.002121,0.00245403,0.00311055,0.00446841,0.00676223,0.0108549,0.0166546,0.0262426,0.0405378,0.0574304,0.0846793,0.110269,0.137934,0.173263,0.202468,0.225485,0.238621,0.24556,0.248163,0.249828,0.249981,0.250134,0.2496,0.25021,0.249828,0.249676,0.249905,0.249828,0.250057,0.248993,0.249069
72,0.249676,0.250057,0.250057,0.248918,0.2496,0.25021,0.250057,0.249981,0.249448,0.248842,0.246669,0.24115,0.228887,0.21195,0.188103,0.158083,0.120824,0.0893432,0.0595729,0.0382619,0.0213291,0.0118389,0.00536011,0.00275807,0.0012293,0.000618944,0.000328641,0.000166323,0.000128367,8.46876e-05,6.96193e-05,5.37881e-05,6.16083e-05,6.1799e-05,8.9456e-05,9.61318e-05,0.000133135,0.000221256,0.000364881,0.000747883,0.00144465,0.00268502,0.00533684,0.00927768,0.0181449,0.0299203,0.048267,0.0748116,0.110821,0.145841,0.18496,0.210968,0.231409,0.242507,0.248691,0.248842,0.249296,0.250057,0.250057,0.250286,0.249448,0.249069,0.249828,0.249752,0.25021
64,0.250669,0.248691,0.250057,0.250134,0.250057,0.250286,0.249069,0.247863,0.244972,0.238413,0.223761,0.204643,0.174741,0.138423,0.104395,0.0746208,0.0455256,0.0260846,0.0131853,0.00674449,0.00274243,0.00107214,0.000345617,0.000132944,4.2153e-05,1.64034e-05,5.5314e-06,1.71664e-06,7.62951e-07,1.14443e-06,3.81476e-07,1.90738e-07,1.90738e-07,3.81476e-07,5.72213e-07,1.90738e-07,2.47959e-06,3.0518e-06,4.76844e-06,1.50683e-05,4.04364e-05,9.72763e-05,0.000317197,0.000690089,0.00179007,0.00419184,0.00896525,0.0183922,0.0353876,0.0598778,0.0947695,0.1297,0.167866,0.201671,0.227048,0.240796,0.246669,0.249676,0.250746,0.248766,0.250363,0.250363,0.249752,0.250363,0.250134
56,0.249828,0.249752,0.2496,0.249828,0.249448,0.247414,0.243661,0.236213,0.224067,0.202219,0.169429,0.137632,0.0999253,0.067707,0.0406565,0.0235304,0.0117082,0.00457218,0.00192741,0.000668917,0.000175669,4.50141e-05,1.22072e-05,4.38697e-06,1.71664e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.5259e-06,4.19623e-06,2.327e-05,9.15541e-05,0.000311856,0.000947204,0.00266423,0.00729896,0.0165915,0.0331507,0.0567934,0.0897937,0.129209,0.170238,0.204951,0.226859,0.240725,0.24719,0.248691,0.249905,0.2496,0.250134,0.248918,0.248993
48,0.250286,0.250516,0.249372,0.249145,0.24556,0.237652,0.223699,0.204899,0.17534,0.143919,0.101813,0.0714387,0.0436179,0.0238004,0.0115549,0.00531949,0.00185454,0.000505074,0.000139429,3.08995e-05,5.72213e-06,9.53689e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-07,1.33516e-06,1.02998e-05,5.22621e-05,0.000229267,0.000917639,0.00287137,0.00811837,0.0173579,0.0351688,0.0624333,0.0980945,0.141385,0.178162,0.207968,0.23213,0.243444,0.248239,0.2496,0.249905,0.249905,0.249524
