SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:58:11
Date and Time Ended,2019-Sep-27 19:58:15
Scan Name,Scan Tx4-Rx4 Link 2 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3040
Horizontal Opening,41
Horizontal Percentage,63.08
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.50042,0.498593,0.500114,0.500114,0.501646,0.502261,0.501032,0.500114,0.498593,0.4992,0.499809,0.498593,0.497986,0.499505,0.49708,0.501646,0.4992,0.500114,0.498289,0.498593,0.501032,0.4992,0.498289,0.500114,0.499809,0.499505,0.497684,0.500726,0.500114,0.498289,0.498593,0.499809,0.499809,0.498593,0.4992,0.502261,0.498593,0.498593,0.498593,0.500726,0.498593,0.498896,0.4992,0.500114,0.498593,0.500114,0.495876,0.497684,0.501953,0.500726,0.50042,0.501339,0.497986,0.499505,0.499809,0.495876,0.498289,0.50042,0.4992,0.497684,0.505048,0.501032,0.497382,0.498896,0.498289
112,0.4992,0.499809,0.497986,0.499809,0.498896,0.498896,0.499505,0.500114,0.500726,0.501953,0.499809,0.50042,0.498289,0.500114,0.500114,0.498289,0.498593,0.497986,0.498289,0.500114,0.497986,0.497986,0.501646,0.498593,0.503186,0.500114,0.500114,0.497986,0.498896,0.501646,0.499505,0.497986,0.501032,0.499505,0.498593,0.499809,0.4992,0.500114,0.500114,0.498593,0.499505,0.499809,0.499505,0.499505,0.498593,0.500114,0.496477,0.497986,0.4992,0.50042,0.499505,0.500114,0.497986,0.499809,0.501953,0.496177,0.499809,0.501339,0.501032,0.4992,0.498593,0.50042,0.499505,0.501339,0.497986
104,0.410004,0.413105,0.402945,0.407353,0.411032,0.402351,0.406545,0.417314,0.419451,0.417953,0.420743,0.414569,0.43002,0.433203,0.440423,0.444004,0.440187,0.448624,0.45035,0.453592,0.459186,0.463079,0.464392,0.471882,0.471882,0.470797,0.482727,0.480462,0.482159,0.482727,0.487612,0.485301,0.482443,0.486453,0.488775,0.485013,0.483296,0.481875,0.478497,0.481592,0.470797,0.467306,0.463866,0.468375,0.456118,0.451094,0.45561,0.447399,0.444245,0.445938,0.442565,0.444004,0.440897,0.441611,0.443044,0.451094,0.450598,0.447888,0.458672,0.462556,0.455357,0.464392,0.458159,0.471882,0.470527
96,0.250516,0.251439,0.2509,0.25113,0.251362,0.250746,0.250286,0.252291,0.25354,0.252602,0.251825,0.252914,0.253461,0.253776,0.255199,0.253226,0.252213,0.255676,0.254802,0.253226,0.251207,0.251748,0.236077,0.235263,0.232262,0.215236,0.21845,0.201721,0.202318,0.188579,0.206396,0.188883,0.209136,0.21195,0.21643,0.210588,0.227805,0.243733,0.243227,0.249069,0.250134,0.251593,0.255836,0.254327,0.254802,0.253697,0.25354,0.254564,0.252213,0.253461,0.252135,0.25354,0.25409,0.25354,0.252992,0.253697,0.255358,0.254643,0.254248,0.255836,0.256638,0.259073,0.259155,0.261638,0.26039
88,0.249296,0.2496,0.250286,0.249905,0.249145,0.248993,0.249524,0.25021,0.250439,0.249676,0.249524,0.249828,0.249524,0.248239,0.247713,0.244388,0.237033,0.228504,0.212831,0.198063,0.17504,0.156483,0.130673,0.112479,0.0916933,0.0724368,0.0673951,0.0566598,0.0507394,0.0416635,0.0428177,0.0374451,0.0399955,0.039902,0.0434882,0.0466216,0.0535732,0.0655717,0.0790493,0.094192,0.110358,0.12846,0.159468,0.186731,0.209564,0.225734,0.238691,0.243878,0.248013,0.249905,0.2496,0.250439,0.24922,0.250823,0.250363,0.249828,0.249981,0.249524,0.249448,0.249981,0.249145,0.249448,0.249752,0.249905,0.2496
80,0.249981,0.249905,0.250057,0.249981,0.250669,0.249752,0.250134,0.249905,0.25113,0.249981,0.248163,0.247041,0.24222,0.23412,0.220984,0.199607,0.176397,0.150117,0.120753,0.0981651,0.0720482,0.0556892,0.0375809,0.0286159,0.0202009,0.0149372,0.0119049,0.00960174,0.0074485,0.00635615,0.00596113,0.00534485,0.00545224,0.00519303,0.00584001,0.0061593,0.00705291,0.00966945,0.0120922,0.0151811,0.0214576,0.0293837,0.042646,0.0616069,0.0835735,0.110522,0.144912,0.17941,0.205207,0.228632,0.240442,0.245855,0.249448,0.250057,0.249752,0.250439,0.25021,0.249145,0.250593,0.250286,0.250439,0.249676,0.249524,0.249676,0.250057
72,0.249752,0.250439,0.249296,0.249372,0.249676,0.25021,0.250057,0.249905,0.24854,0.244972,0.237721,0.224558,0.206761,0.179607,0.152862,0.11775,0.0893334,0.0648143,0.0445622,0.0300829,0.0182163,0.0120785,0.00680667,0.00435302,0.00274071,0.00170939,0.00129625,0.000957885,0.000664912,0.000481804,0.000446517,0.000431067,0.000380903,0.000413519,0.00042134,0.000438506,0.000580415,0.000778592,0.00109674,0.00155013,0.00255398,0.00396639,0.00670348,0.0121117,0.0189237,0.0314082,0.0508244,0.0754247,0.106416,0.146049,0.179214,0.209618,0.2294,0.24172,0.247414,0.248691,0.250286,0.250057,0.250134,0.249905,0.250286,0.249524,0.250363,0.249828,0.250593
64,0.249069,0.250134,0.250516,0.250286,0.249905,0.248766,0.247713,0.243371,0.236691,0.221163,0.201969,0.170664,0.140224,0.10562,0.076624,0.0490355,0.0327675,0.0190159,0.0115721,0.00614462,0.0032063,0.0016062,0.000814069,0.000427253,0.00023022,0.000146677,8.41154e-05,6.00824e-05,3.98642e-05,2.63218e-05,1.85016e-05,1.58312e-05,1.75479e-05,1.73571e-05,1.18257e-05,1.5259e-05,1.98367e-05,3.24254e-05,5.22621e-05,7.45785e-05,0.000166133,0.000321965,0.000697337,0.00153296,0.00302796,0.00587854,0.0116655,0.0225958,0.0387598,0.0634095,0.0941054,0.133007,0.168004,0.203172,0.223273,0.238761,0.246595,0.249524,0.24922,0.2496,0.249448,0.249296,0.250593,0.250593,0.250516
56,0.249448,0.249752,0.24922,0.249524,0.246892,0.244388,0.236281,0.224067,0.203121,0.175415,0.142567,0.107731,0.0754386,0.049168,0.030084,0.0158092,0.00824407,0.00406062,0.00189631,0.000820935,0.000353056,0.000162318,6.38972e-05,3.18532e-05,1.43053e-05,4.76844e-06,2.67033e-06,1.5259e-06,1.90738e-06,7.62951e-07,3.81476e-07,3.81476e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-07,3.81476e-07,1.90738e-07,3.81476e-07,2.09812e-06,4.19623e-06,1.12535e-05,4.04364e-05,0.0001009,0.000300984,0.000769245,0.00206779,0.00456035,0.0101097,0.0208583,0.0365431,0.0634095,0.0956883,0.133245,0.169709,0.206396,0.225423,0.240442,0.246224,0.249372,0.249905,0.249069,0.250439,0.249828,0.2496
48,0.25021,0.249676,0.248465,0.245339,0.237514,0.225423,0.207652,0.182163,0.151898,0.115087,0.081495,0.0520714,0.0311111,0.0169963,0.00895647,0.00349908,0.0013529,0.000582513,0.000177958,7.45785e-05,2.13626e-05,7.24804e-06,3.81476e-06,9.53689e-07,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,9.53689e-07,3.81476e-06,1.44961e-05,5.11177e-05,0.000202945,0.000616846,0.00179694,0.00456798,0.0107462,0.0229118,0.041128,0.0695287,0.105538,0.145349,0.179607,0.20919,0.230109,0.242005,0.247638,0.249448,0.2496,0.250363,0.249296
