SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:55:16
Date and Time Ended,2019-Sep-27 19:55:22
Scan Name,Scan Tx0-Rx0 Link 9 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3512
Horizontal Opening,43
Horizontal Percentage,66.15
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.440389,0.43906,0.428763,0.422711,0.403266,0.390276,0.37568,0.372385,0.357806,0.343458,0.334282,0.336142,0.33799,0.323401,0.347882,0.344742,0.363347,0.360968,0.391176,0.409152,0.408202,0.407592,0.419711,0.423357,0.433012,0.436212,0.432762,0.435135,0.441562,0.440244,0.451094,0.45329,0.456727,0.451214,0.447285,0.434227,0.409006,0.393713,0.392573,0.382931,0.336936,0.374308,0.368918,0.359659,0.353572,0.359236,0.349363,0.343168,0.33795,0.336492,0.336896,0.334329,0.322767,0.326445,0.317946,0.323113,0.315643,0.318855,0.320255,0.323017,0.32934,0.340717,0.35051,0.35746,0.366611
112,0.376612,0.36544,0.361878,0.345221,0.334584,0.325906,0.307946,0.291055,0.276467,0.273187,0.266008,0.263219,0.261399,0.260309,0.261642,0.260975,0.25941,0.262205,0.264322,0.266705,0.265123,0.270619,0.265413,0.271493,0.269074,0.273301,0.282985,0.288707,0.292645,0.297462,0.311746,0.317034,0.32972,0.328633,0.362916,0.355986,0.367535,0.360303,0.335575,0.343435,0.327747,0.326113,0.305117,0.295731,0.292491,0.290141,0.282186,0.273447,0.277292,0.272254,0.274459,0.272978,0.26974,0.27167,0.268972,0.26834,0.26896,0.270362,0.270594,0.268105,0.276369,0.286264,0.29677,0.310207,0.321313
104,0.326171,0.308979,0.297275,0.292786,0.277057,0.271233,0.263984,0.258184,0.254276,0.252493,0.250447,0.249984,0.249045,0.248616,0.247986,0.245739,0.242791,0.241169,0.235668,0.233552,0.225091,0.216836,0.20925,0.191523,0.177551,0.175705,0.15011,0.1436,0.139863,0.153084,0.175768,0.194975,0.226497,0.243521,0.253495,0.261016,0.267845,0.272831,0.264348,0.268837,0.263489,0.257214,0.255221,0.254428,0.254427,0.253892,0.25307,0.2505,0.252514,0.25102,0.252223,0.251992,0.251378,0.251759,0.251364,0.252496,0.252066,0.250602,0.252376,0.25294,0.25342,0.256092,0.260514,0.265898,0.270555
96,0.271588,0.265488,0.261639,0.257983,0.254411,0.252342,0.250636,0.24976,0.248288,0.248143,0.246314,0.244831,0.242365,0.238414,0.230628,0.2237,0.218218,0.209726,0.199122,0.191131,0.170169,0.150754,0.140997,0.120401,0.0972519,0.0944746,0.0768839,0.0709927,0.0546927,0.0557134,0.0599427,0.0685001,0.0918002,0.120652,0.147857,0.172175,0.187151,0.188841,0.198822,0.205997,0.20929,0.214585,0.22016,0.225967,0.230116,0.236955,0.240248,0.241675,0.246077,0.247178,0.248811,0.2496,0.248465,0.249108,0.250057,0.248772,0.250095,0.249411,0.249562,0.249752,0.250019,0.249568,0.24999,0.251728,0.252541
88,0.252742,0.25265,0.250866,0.249921,0.249775,0.249227,0.247359,0.246598,0.244973,0.240231,0.234994,0.228951,0.219621,0.211022,0.202169,0.187973,0.173925,0.156812,0.137771,0.118346,0.0981299,0.0858688,0.0611609,0.058455,0.0475996,0.0346176,0.0183535,0.0191725,0.0163231,0.00987331,0.0120437,0.0117056,0.0140833,0.0213531,0.0365714,0.0542946,0.0784856,0.0978851,0.113284,0.122038,0.139139,0.148498,0.157996,0.170796,0.180483,0.193741,0.203699,0.213576,0.224248,0.233894,0.236569,0.241646,0.246748,0.247442,0.248848,0.248957,0.249677,0.249905,0.250823,0.248993,0.249869,0.250287,0.24983,0.250061,0.250096
80,0.249368,0.249485,0.249615,0.249451,0.248691,0.244826,0.242938,0.238136,0.228568,0.22033,0.210156,0.194581,0.183428,0.170878,0.150531,0.132641,0.112464,0.0974296,0.0743096,0.0596555,0.040566,0.031534,0.020443,0.0145728,0.0110852,0.0064064,0.00293145,0.00183347,0.00155575,0.00109722,0.00126841,0.000982204,0.000951209,0.00104572,0.00215591,0.00448634,0.0108148,0.0187431,0.0274525,0.0403949,0.052303,0.0650062,0.0792867,0.0924044,0.113908,0.127653,0.142404,0.15923,0.178509,0.192221,0.202565,0.216067,0.226765,0.232118,0.239402,0.244228,0.246343,0.24885,0.249829,0.249639,0.249372,0.24941,0.249716,0.249372,0.249185
72,0.2496,0.248389,0.246743,0.244388,0.241648,0.236077,0.227048,0.215917,0.201572,0.187457,0.170168,0.154447,0.136123,0.115249,0.0953876,0.0740409,0.0563869,0.0397202,0.0275414,0.0188623,0.0114326,0.00672655,0.00400139,0.0019522,0.00131371,0.000511559,0.000257782,0.00012808,8.27802e-05,4.5491e-05,3.84337e-05,2.66079e-05,2.42237e-05,2.30793e-05,3.21393e-05,8.80255e-05,0.000339895,0.000912871,0.00217184,0.0044585,0.00787787,0.0129483,0.0221648,0.0325017,0.0469773,0.064891,0.0776696,0.0978155,0.116982,0.137453,0.153514,0.170227,0.186006,0.199507,0.212393,0.223899,0.233838,0.24032,0.244326,0.247556,0.248547,0.249524,0.250058,0.249791,0.249145
64,0.245266,0.24265,0.238275,0.231409,0.224435,0.214897,0.198447,0.182366,0.161512,0.145349,0.124232,0.10686,0.0870181,0.0653991,0.0471611,0.0305303,0.0198775,0.0109962,0.0064037,0.00322757,0.00179751,0.000780022,0.0003851,0.000147345,5.06409e-05,2.00275e-05,6.67582e-06,9.53689e-07,1.2398e-06,6.67582e-07,3.81476e-07,6.67582e-07,2.86107e-07,1.90738e-07,2.86107e-07,1.90738e-07,2.86107e-06,8.77394e-06,4.20577e-05,0.000150206,0.000416476,0.00099794,0.00256962,0.00507954,0.0101075,0.0182826,0.0286923,0.0432531,0.0623084,0.0809264,0.101467,0.117527,0.134342,0.152325,0.169051,0.184742,0.203516,0.217418,0.228201,0.238225,0.242961,0.246741,0.249034,0.249905,0.249566
56,0.234456,0.227679,0.219739,0.208445,0.195138,0.177544,0.16286,0.142467,0.12367,0.102245,0.0806764,0.0602877,0.0408044,0.0263609,0.0162133,0.00807759,0.00418336,0.00169881,0.00074588,0.000325875,0.000121214,3.52865e-05,1.27794e-05,4.48234e-06,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,9.53689e-07,3.52865e-06,1.64034e-05,7.36248e-05,0.000268177,0.000748741,0.00211748,0.00451486,0.0100603,0.0195757,0.0315097,0.0516238,0.066464,0.0859594,0.106619,0.12417,0.1439,0.162713,0.178787,0.195823,0.214322,0.22403,0.234552,0.242449,0.246087,0.248019
48,0.211458,0.202569,0.188233,0.174592,0.159004,0.144989,0.123075,0.103459,0.0797963,0.0588836,0.039422,0.0258208,0.0132844,0.00728241,0.00336595,0.00118639,0.000464256,0.000128843,4.04364e-05,1.02998e-05,1.90738e-06,5.72213e-07,2.86107e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,2.19348e-06,1.12535e-05,6.49462e-05,0.00022097,0.000848592,0.00251364,0.00651484,0.0141398,0.0241655,0.0379205,0.0580615,0.0782574,0.0956193,0.119158,0.137284,0.156321,0.174769,0.192645,0.210983,0.224371,0.235084,0.242589
