SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:59:22
Date and Time Ended,2019-Sep-27 19:59:26
Scan Name,Scan Tx5-Rx5 Link 7 
Link Settings,
Reset RX After Applying Settings,false
Open Area,4632
Horizontal Opening,47
Horizontal Percentage,72.31
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.500114,0.500114,0.497986,0.503496,0.497684,0.499505,0.497986,0.501646,0.497684,0.498593,0.499505,0.500114,0.500114,0.497382,0.500726,0.498896,0.50042,0.4992,0.499809,0.501646,0.498896,0.500726,0.497684,0.50042,0.499505,0.498896,0.501032,0.496778,0.499809,0.499809,0.4992,0.500114,0.496778,0.499809,0.501032,0.4992,0.503186,0.50042,0.50042,0.50042,0.501953,0.497684,0.502878,0.500726,0.500114,0.503805,0.4992,0.498289,0.498896,0.501032,0.498593,0.498896,0.498896,0.497382,0.499809,0.4992,0.500114,0.4992,0.50042,0.500726,0.497986,0.499809,0.501339,0.4992,0.499505
112,0.418594,0.418166,0.412689,0.415831,0.416465,0.41838,0.416677,0.422044,0.419881,0.425552,0.436434,0.44066,0.45309,0.458159,0.461514,0.468911,0.46918,0.477104,0.48018,0.483011,0.481026,0.488193,0.490825,0.493784,0.4923,0.491709,0.49438,0.492596,0.493486,0.49112,0.49112,0.488484,0.488484,0.485301,0.483296,0.479337,0.476549,0.475443,0.46918,0.466774,0.464392,0.462818,0.454095,0.454599,0.451841,0.445938,0.439714,0.440423,0.434122,0.435506,0.439478,0.436667,0.439243,0.438303,0.437367,0.437367,0.433203,0.439478,0.439243,0.44887,0.44887,0.454095,0.458929,0.458929,0.462295
104,0.25704,0.258582,0.258909,0.256879,0.256316,0.256718,0.258745,0.257606,0.257525,0.257606,0.258337,0.261304,0.261221,0.267272,0.265884,0.266143,0.265367,0.270806,0.270002,0.272972,0.26947,0.270985,0.265711,0.258991,0.242435,0.237102,0.228377,0.211185,0.209457,0.201522,0.208021,0.20449,0.20887,0.224251,0.223334,0.23392,0.237239,0.244461,0.253148,0.257931,0.264595,0.267272,0.269027,0.266402,0.274343,0.270091,0.270537,0.268851,0.271254,0.270448,0.271614,0.272517,0.270537,0.269825,0.271075,0.26841,0.271254,0.269914,0.275821,0.277315,0.276846,0.281605,0.282673,0.284243,0.282771
96,0.250593,0.249448,0.250134,0.250134,0.249828,0.250057,0.249828,0.249981,0.250286,0.2496,0.250286,0.250516,0.250286,0.250439,0.250134,0.249372,0.246595,0.240442,0.229336,0.214728,0.193341,0.170274,0.137148,0.115297,0.085332,0.0666494,0.051196,0.0364992,0.0292996,0.0235345,0.0215871,0.0179575,0.0173818,0.0188458,0.0203981,0.0237611,0.0276883,0.0356913,0.0473738,0.0644218,0.0888875,0.113666,0.13565,0.166943,0.200241,0.219798,0.235399,0.243588,0.248314,0.2496,0.249752,0.250057,0.250516,0.249524,0.249828,0.249981,0.249752,0.2509,0.250746,0.249752,0.250286,0.250516,0.249828,0.248993,0.250363
88,0.249828,0.25021,0.249905,0.2496,0.250057,0.249828,0.249828,0.25021,0.249524,0.249905,0.249296,0.249296,0.248766,0.246002,0.239319,0.227805,0.204286,0.179528,0.149106,0.115868,0.0830482,0.0568249,0.0336408,0.0219075,0.0113201,0.00652895,0.00408083,0.0021643,0.00151675,0.000976196,0.000781071,0.000563821,0.000486191,0.000544366,0.00052224,0.00060235,0.000704013,0.00085317,0.00145609,0.00213188,0.00392958,0.00654459,0.0117252,0.0211403,0.0417314,0.06973,0.111957,0.15103,0.193387,0.220746,0.237583,0.246298,0.248314,0.250134,0.249145,0.250286,0.25021,0.249828,0.249981,0.250134,0.249752,0.2496,0.249676,0.250057,0.249905
80,0.249828,0.24922,0.249752,0.250134,0.250057,0.250134,0.249981,0.249828,0.249905,0.2496,0.248314,0.244607,0.234994,0.21845,0.189671,0.157688,0.116827,0.0857698,0.0528986,0.0322909,0.0174488,0.00864023,0.00344186,0.00164416,0.000614557,0.000247005,0.000112154,4.654e-05,2.11719e-05,9.15541e-06,6.29435e-06,4.57771e-06,2.47959e-06,4.38697e-06,2.28885e-06,3.24254e-06,2.67033e-06,4.76844e-06,8.5832e-06,1.83108e-05,5.30251e-05,0.000131037,0.000301747,0.000850881,0.00238899,0.00605135,0.0148954,0.0308755,0.0638195,0.10141,0.149269,0.191892,0.221282,0.239458,0.247638,0.249069,0.250286,0.250057,0.249905,0.2496,0.248766,0.249828,0.250286,0.249981,0.250516
72,0.249524,0.250057,0.250439,0.2496,0.250286,0.249448,0.250593,0.249752,0.247863,0.242794,0.234523,0.217869,0.188666,0.152862,0.111348,0.0750034,0.0438796,0.0231037,0.0106624,0.00467041,0.00170729,0.000579271,0.000170138,5.91287e-05,1.12535e-05,3.0518e-06,1.14443e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.14443e-06,2.67033e-06,7.82025e-06,5.05455e-05,0.000205043,0.000774586,0.00237106,0.00781071,0.0197895,0.0440684,0.0774279,0.127579,0.176321,0.216487,0.237583,0.247265,0.249372,0.249372,0.251439,0.250057,0.249524,0.250746,0.250669,0.249828
64,0.250516,0.250746,0.249752,0.249905,0.249828,0.249524,0.248239,0.244972,0.236623,0.218392,0.191982,0.158942,0.119241,0.0767964,0.0423922,0.0210523,0.00902895,0.00355497,0.00107099,0.000311093,8.46876e-05,2.11719e-05,3.43328e-06,7.62951e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,2.47959e-06,1.75479e-05,9.00282e-05,0.000458343,0.00180037,0.00612154,0.0164393,0.0378535,0.0798351,0.129557,0.179765,0.217695,0.239458,0.247265,0.248766,0.250286,0.250439,0.249752,0.249752,0.250134
56,0.249905,0.250746,0.250669,0.249296,0.248842,0.246966,0.239879,0.223761,0.200241,0.165962,0.12499,0.0887623,0.0515472,0.0264784,0.0106617,0.00331464,0.000975814,0.000276951,5.03548e-05,1.02998e-05,3.62402e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.14443e-06,1.31609e-05,7.26711e-05,0.000403983,0.00168612,0.00592546,0.0178562,0.0449831,0.0873241,0.13901,0.190332,0.22303,0.240231,0.247563,0.248842,0.249981,0.249752,0.249448
48,0.248615,0.2496,0.247489,0.249069,0.243878,0.231736,0.209833,0.176245,0.13819,0.0973716,0.0609923,0.0323189,0.0146695,0.00546349,0.00141356,0.000306325,6.02731e-05,7.82025e-06,1.14443e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.18257e-05,8.03006e-05,0.000426299,0.00221561,0.00753338,0.0240139,0.0536574,0.10175,0.153578,0.199704,0.228823,0.244096,0.248993,0.250669,0.249981
