SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:55:56
Date and Time Ended,2019-Sep-27 19:56:00
Scan Name,Scan Tx1-Rx1 Link 6 
Link Settings,
Reset RX After Applying Settings,false
Open Area,4800
Horizontal Opening,29
Horizontal Percentage,44.62
Vertical Opening,201
Vertical Percentage,83.87
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.210913,0.197871,0.181397,0.16312,0.142765,0.123744,0.103094,0.0820336,0.0594562,0.0415958,0.0259944,0.0142023,0.00711261,0.00323167,0.00140631,0.000616178,0.000243572,9.90883e-05,4.23438e-05,1.47822e-05,6.29435e-06,3.0518e-06,6.67582e-07,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.5832e-07,1.43053e-06,3.33791e-06,9.53689e-06,2.20302e-05,5.4551e-05,0.000114729,0.000257496,0.000543126,0.00108711,0.00235018,0.00451266,0.00806319,0.0138372,0.0201067,0.0287575,0.0396125,0.0516512,0.0648194,0.0796565,0.0960135,0.114188,0.13234,0.151983,0.171163,0.192298,0.212445,0.230497,0.242507,0.252368,0.261721,0.270002,0.282673
112,0.202669,0.186433,0.168488,0.150531,0.13107,0.111819,0.0893529,0.0691764,0.0483753,0.0309618,0.0187354,0.00898804,0.00424392,0.00174172,0.000725376,0.000262074,0.000101949,3.77661e-05,1.28748e-05,3.81476e-06,1.33516e-06,6.67582e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.00275e-06,2.95644e-06,7.62951e-06,2.05043e-05,5.88426e-05,0.000127985,0.000286107,0.000615892,0.00139048,0.00293622,0.00558061,0.0100511,0.0159047,0.0236896,0.0330878,0.0443571,0.0567462,0.0712957,0.08676,0.105321,0.121469,0.141288,0.160499,0.18188,0.205002,0.223334,0.238552,0.253933,0.265625,0.278068,0.29215
104,0.195324,0.177698,0.159251,0.140609,0.120967,0.10017,0.0777218,0.0570306,0.03744,0.0231697,0.013131,0.00591497,0.00250572,0.000955024,0.000370699,0.000123217,4.32975e-05,1.53544e-05,5.43603e-06,1.5259e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.14443e-06,3.52865e-06,8.39246e-06,2.84199e-05,6.15129e-05,0.00015116,0.000363642,0.000869955,0.00187772,0.00384594,0.00732189,0.0120667,0.0190349,0.0279815,0.0382691,0.0502199,0.0626769,0.0786168,0.0956995,0.112991,0.130861,0.151589,0.170451,0.193753,0.217176,0.236896,0.253776,0.268939,0.283849,0.29963
96,0.184585,0.167455,0.149651,0.12925,0.109021,0.0869441,0.0658723,0.0453141,0.0288629,0.0171874,0.00893081,0.00369097,0.00137121,0.000484188,0.000172141,5.12131e-05,1.72618e-05,4.38697e-06,1.71664e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,2.86107e-07,7.62951e-07,3.43328e-06,1.32563e-05,2.91829e-05,7.45785e-05,0.000192359,0.000504978,0.0011676,0.00254282,0.00512303,0.00889532,0.01487,0.0224866,0.0324997,0.0434536,0.0553505,0.0701479,0.0868704,0.103879,0.120895,0.140706,0.162602,0.185841,0.20994,0.233653,0.253305,0.274343,0.291733,0.309361
88,0.176701,0.157779,0.138751,0.118861,0.0965113,0.0750859,0.0533673,0.0355427,0.0216785,0.0115803,0.00580406,0.0022055,0.000798905,0.000246338,7.69627e-05,2.33654e-05,6.10361e-06,1.33516e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.04906e-06,4.48234e-06,1.2398e-05,3.46189e-05,9.36522e-05,0.000282101,0.000731479,0.00166018,0.00340009,0.00655959,0.0112817,0.0180932,0.0271884,0.0376499,0.0488251,0.0627153,0.0783462,0.0946819,0.113116,0.132255,0.152492,0.177775,0.206448,0.231148,0.253305,0.276193,0.298103,0.318008
80,0.169324,0.147975,0.128078,0.106804,0.0853676,0.0634439,0.0431788,0.027192,0.0154856,0.00805668,0.00354276,0.00126993,0.00041743,0.000113775,3.07088e-05,8.29709e-06,1.33516e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,3.81476e-07,1.43053e-06,5.43603e-06,1.62127e-05,4.75891e-05,0.000144484,0.000415618,0.00100423,0.00227951,0.00457876,0.00822197,0.0141557,0.0223236,0.0311905,0.0427729,0.0560934,0.0709745,0.087259,0.102552,0.122927,0.145919,0.170168,0.197585,0.227173,0.253618,0.280736,0.305895,0.32637
72,0.160941,0.137263,0.118107,0.0961488,0.0741346,0.0523309,0.0346204,0.0206012,0.0110812,0.00537394,0.00214828,0.000698386,0.000212387,5.4551e-05,1.28748e-05,2.95644e-06,6.67582e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,5.72213e-07,1.81201e-06,6.86656e-06,2.4033e-05,7.13359e-05,0.000235752,0.00065404,0.00151246,0.00311017,0.00598497,0.0106804,0.0175227,0.0261237,0.0368439,0.0495456,0.063562,0.0788438,0.0948573,0.114476,0.137401,0.163969,0.192298,0.222848,0.252368,0.285034,0.310298,0.334362
64,0.153062,0.129906,0.106582,0.0848899,0.0630241,0.0435924,0.0269914,0.0151589,0.0075458,0.003297,0.0012767,0.000389773,0.000104143,2.27932e-05,4.86381e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,3.24254e-06,1.19211e-05,3.90059e-05,0.000120642,0.000368887,0.000906672,0.00203508,0.00415923,0.00792573,0.013748,0.0216808,0.0312572,0.0427819,0.0557726,0.0714948,0.0882935,0.108877,0.13061,0.156632,0.187801,0.219034,0.251285,0.283849,0.315801,0.344486
56,0.147761,0.12054,0.0971983,0.0740676,0.0530906,0.0341527,0.020033,0.0108744,0.00497921,0.00206207,0.000705825,0.000202277,4.55863e-05,8.10636e-06,2.38422e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.2398e-06,4.38697e-06,1.62127e-05,6.52323e-05,0.000206474,0.000551709,0.00132401,0.00285153,0.00567645,0.0106178,0.0173336,0.0260655,0.0369503,0.0496477,0.0649221,0.0823304,0.10194,0.126652,0.151477,0.184087,0.214672,0.250057,0.286029,0.320496,0.349185
48,0.141239,0.112125,0.0874266,0.0652843,0.0431469,0.0264033,0.0149247,0.00735859,0.00322023,0.00117752,0.000391585,9.33661e-05,2.20302e-05,2.7657e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.09812e-06,7.53414e-06,2.91829e-05,0.000108911,0.000316339,0.000776303,0.00187057,0.00409037,0.00791027,0.0135246,0.0214807,0.0315096,0.0441706,0.05848,0.0750997,0.0962844,0.120575,0.148135,0.180279,0.211131,0.246743,0.287636,0.322261,0.352794
40,0.136851,0.105484,0.0790569,0.0546708,0.0354412,0.0203182,0.0107649,0.00501507,0.00202869,0.000686942,0.000208858,4.87335e-05,7.43877e-06,6.67582e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,4.57771e-06,1.69757e-05,5.74121e-05,0.000181392,0.000485714,0.00120155,0.00279784,0.00574302,0.0105503,0.0174563,0.0266767,0.0385174,0.0533951,0.0709622,0.0908795,0.116627,0.14504,0.175641,0.210372,0.247339,0.28563,0.325591,0.360241
