SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:55:51
Date and Time Ended,2019-Sep-27 19:55:56
Scan Name,Scan Tx1-Rx1 Link 5 
Link Settings,
Reset RX After Applying Settings,false
Open Area,5944
Horizontal Opening,32
Horizontal Percentage,49.23
Vertical Opening,241
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.227173,0.212776,0.192932,0.168696,0.142467,0.115151,0.0882745,0.063641,0.0422567,0.0275209,0.0164482,0.00934484,0.00511683,0.00261673,0.00128891,0.00057641,0.000228981,8.80255e-05,3.11856e-05,9.44152e-06,2.86107e-06,7.62951e-07,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.04906e-06,3.81476e-06,1.62127e-05,6.57092e-05,0.000240902,0.000701629,0.00196889,0.00461843,0.0105879,0.0201255,0.0336477,0.051808,0.0747707,0.101636,0.129414,0.159189,0.182447,0.20449,0.220093,0.232592,0.240796,0.248993,0.256156,0.264425,0.273976,0.28683
112,0.219504,0.202368,0.180677,0.153867,0.127006,0.0987449,0.0740944,0.0519394,0.0341755,0.0212986,0.0122651,0.00671818,0.00345054,0.00166218,0.000783646,0.000320249,0.000116159,4.01503e-05,1.38285e-05,3.62402e-06,1.14443e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,1.62127e-06,6.10361e-06,3.41421e-05,0.000127985,0.000410182,0.00118086,0.00303244,0.00730791,0.0145009,0.0257671,0.0415409,0.0621067,0.0869441,0.114636,0.144528,0.172243,0.195604,0.212665,0.227173,0.239529,0.249905,0.258745,0.267883,0.280736,0.296807
104,0.21048,0.190509,0.168211,0.141434,0.112371,0.0871291,0.0619377,0.0425022,0.0267324,0.0162061,0.00883431,0.00470359,0.00223554,0.00102855,0.00044852,0.000181392,6.14176e-05,2.12673e-05,4.19623e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,7.62951e-07,3.24254e-06,1.22072e-05,5.69352e-05,0.000231365,0.000717365,0.00193399,0.00498589,0.0104984,0.0195678,0.0327885,0.0514307,0.0743769,0.102118,0.130694,0.157961,0.183922,0.204286,0.222848,0.237583,0.249145,0.26039,0.275635,0.291733,0.310298
96,0.203981,0.181316,0.155208,0.12748,0.0986735,0.0746889,0.0523242,0.0342384,0.0208434,0.0122684,0.00640701,0.0032126,0.00143311,0.000625715,0.000250153,9.18402e-05,2.80385e-05,8.10636e-06,2.09812e-06,5.72213e-07,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.14443e-06,5.05455e-06,2.96597e-05,0.000125505,0.000438888,0.00119984,0.00334773,0.00736732,0.0148269,0.0249798,0.0415283,0.0625907,0.0887719,0.117295,0.145556,0.171882,0.196166,0.21501,0.234321,0.250516,0.266316,0.282673,0.30073,0.320747
88,0.192659,0.168974,0.140416,0.111972,0.0858327,0.0617044,0.0428266,0.0273866,0.0160104,0.00895718,0.00457656,0.0020758,0.000869001,0.000348383,0.000128557,4.33928e-05,1.22072e-05,2.67033e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,2.57496e-06,1.58312e-05,6.32296e-05,0.000245193,0.000727379,0.00208371,0.00496624,0.0104857,0.018857,0.0323713,0.0506923,0.0740676,0.102322,0.130735,0.159686,0.185504,0.20919,0.230238,0.25113,0.270537,0.290698,0.311478,0.336008
80,0.184835,0.155562,0.126966,0.0983418,0.073615,0.0519459,0.0343446,0.0214661,0.0121711,0.00653124,0.00312905,0.00138132,0.000545033,0.000204852,6.53277e-05,1.93599e-05,4.10086e-06,2.00275e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,8.5832e-07,7.3434e-06,2.96597e-05,0.000135901,0.000411994,0.00133869,0.00338416,0.00763882,0.0141949,0.0255948,0.041774,0.0619377,0.0886183,0.117194,0.14644,0.175415,0.200486,0.227552,0.25268,0.27508,0.29832,0.322515,0.34859
72,0.17319,0.143768,0.114893,0.0871476,0.0628019,0.0427729,0.0278578,0.0170139,0.00912114,0.00468538,0.00210632,0.000887312,0.000330549,0.000116541,3.52865e-05,1.02998e-05,2.19348e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,3.71939e-06,1.40192e-05,6.93332e-05,0.000236992,0.000821317,0.00223249,0.00525845,0.010463,0.0197585,0.0336892,0.0521643,0.0767029,0.10359,0.134646,0.165292,0.193753,0.224435,0.253461,0.282089,0.308661,0.335183,0.361832
64,0.163185,0.133723,0.10312,0.0758086,0.0532562,0.0353891,0.0222195,0.0131188,0.00678304,0.00327354,0.00138943,0.000583658,0.00017977,6.13222e-05,1.66896e-05,4.57771e-06,7.62951e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,7.91562e-06,3.91966e-05,0.000136664,0.000502976,0.0014519,0.00360847,0.00747638,0.0148178,0.0263608,0.0433066,0.0651908,0.091468,0.121289,0.154389,0.186518,0.219269,0.253148,0.28865,0.31875,0.345357,0.374743
56,0.155858,0.123001,0.0935359,0.0669818,0.0454599,0.0295693,0.0177436,0.0100945,0.00496471,0.00240349,0.000933852,0.000352007,0.000106241,3.46189e-05,7.72488e-06,1.90738e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,4.2916e-06,1.77386e-05,7.58183e-05,0.000304894,0.000941196,0.00248627,0.00531624,0.0110465,0.0205002,0.0351552,0.0559401,0.0806922,0.111272,0.142368,0.178317,0.215576,0.255358,0.291318,0.32637,0.356789,0.384234
48,0.146703,0.113776,0.0830482,0.0580408,0.0382191,0.0236404,0.0137245,0.00759182,0.00360685,0.00156205,0.000578603,0.00020819,5.66491e-05,1.3447e-05,3.33791e-06,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.81201e-06,9.823e-06,3.8529e-05,0.000173571,0.000575742,0.00161841,0.00365959,0.00792328,0.0157397,0.0279262,0.0462556,0.0691531,0.0993436,0.131745,0.17102,0.212335,0.256638,0.294884,0.332733,0.368671,0.397664
