SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:13
Date and Time Ended,2019-Sep-27 19:57:16
Scan Name,Scan Tx3-Rx3 Link 0 
Link Settings,
Reset RX After Applying Settings,false
Open Area,1448
Horizontal Opening,29
Horizontal Percentage,44.62
Vertical Opening,65
Vertical Percentage,29.03
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.498289,0.498289,0.500114,0.501339,0.497986,0.497684,0.499505,0.502569,0.500114,0.498896,0.498896,0.4992,0.498289,0.499809,0.498593,0.49708,0.499809,0.499505,0.499809,0.4992,0.499505,0.502261,0.501953,0.499505,0.500114,0.4992,0.500114,0.497684,0.500114,0.499505,0.500114,0.502569,0.501032,0.499809,0.4992,0.498593,0.497684,0.497684,0.4992,0.500114,0.4992,0.4992,0.501032,0.500726,0.499505,0.499809,0.497684,0.498289,0.501032,0.501339,0.498289,0.499505,0.4992,0.498896,0.499809,0.501032,0.498896,0.500726,0.498896,0.499809,0.499809,0.497382,0.498593,0.499809,0.497986
112,0.50042,0.496477,0.496778,0.498896,0.499809,0.498593,0.497986,0.4992,0.498896,0.500114,0.501339,0.499809,0.501032,0.500726,0.499505,0.499809,0.50042,0.500114,0.501032,0.498289,0.498896,0.501032,0.498593,0.499809,0.497986,0.497684,0.501339,0.498593,0.501032,0.501339,0.4992,0.501339,0.498593,0.500726,0.50042,0.4992,0.499809,0.499505,0.499505,0.500114,0.497684,0.499809,0.500726,0.498896,0.498289,0.4992,0.500114,0.499505,0.501339,0.498593,0.498593,0.499809,0.502569,0.499809,0.497986,0.499809,0.499505,0.50042,0.499809,0.501953,0.497986,0.498593,0.50042,0.498896,0.4992
104,0.476549,0.476826,0.476272,0.48018,0.473519,0.474616,0.473519,0.476826,0.478497,0.483011,0.483011,0.485013,0.484726,0.489359,0.488775,0.490531,0.491709,0.492005,0.494678,0.496477,0.496778,0.494678,0.495576,0.495576,0.499505,0.494678,0.498896,0.495876,0.4992,0.499809,0.499505,0.497382,0.496778,0.501032,0.497684,0.496778,0.501339,0.497684,0.498593,0.499809,0.497382,0.497382,0.497986,0.498593,0.4992,0.498593,0.49708,0.495277,0.494977,0.496177,0.492596,0.4923,0.493784,0.492893,0.491709,0.489067,0.49112,0.489652,0.492893,0.49438,0.495876,0.495876,0.493486,0.4923,0.494082
96,0.294778,0.30073,0.294143,0.300619,0.29499,0.295096,0.296378,0.297995,0.302283,0.312309,0.307618,0.308894,0.311715,0.313985,0.316533,0.319371,0.317146,0.322261,0.322769,0.323151,0.324559,0.315072,0.322515,0.322769,0.320747,0.316045,0.318626,0.322008,0.331119,0.331655,0.339912,0.334499,0.338228,0.343763,0.33587,0.35023,0.336837,0.331387,0.328332,0.321881,0.319371,0.314467,0.312548,0.320621,0.312667,0.314588,0.314709,0.309595,0.305895,0.315801,0.310181,0.307503,0.311241,0.313505,0.313025,0.314347,0.318131,0.319371,0.322642,0.32624,0.328727,0.336284,0.331521,0.338647,0.337809
88,0.250134,0.24922,0.249296,0.249828,0.250439,0.25021,0.250286,0.249752,0.2496,0.249524,0.246818,0.24556,0.24222,0.238136,0.232856,0.226985,0.219798,0.213219,0.204286,0.195884,0.187328,0.176587,0.166198,0.158297,0.146913,0.136736,0.127798,0.12234,0.115737,0.108459,0.107392,0.108272,0.111896,0.115168,0.118826,0.135852,0.145427,0.155237,0.173962,0.189539,0.19888,0.20935,0.21968,0.229079,0.234859,0.24115,0.244315,0.247788,0.248766,0.248918,0.250134,0.249828,0.250057,0.250439,0.250746,0.249981,0.248993,0.249981,0.250823,0.250439,0.249676,0.249524,0.250516,0.250363,0.250439
80,0.250286,0.2496,0.250439,0.250134,0.249448,0.248615,0.249524,0.246818,0.244024,0.239249,0.23392,0.226796,0.219504,0.21021,0.20029,0.187157,0.174891,0.161512,0.150062,0.134757,0.123075,0.109576,0.0973022,0.0877262,0.0753484,0.0670147,0.0599479,0.0532044,0.0476383,0.0422741,0.0382548,0.0367102,0.0363905,0.0372206,0.0393216,0.0451318,0.0492093,0.0556287,0.066758,0.0782713,0.0956883,0.110671,0.13234,0.150614,0.167215,0.190155,0.205002,0.215746,0.227805,0.235466,0.241648,0.245046,0.24719,0.249448,0.248766,0.249676,0.250746,0.250363,0.24922,0.25021,0.250439,0.249448,0.250134,0.250669,0.250363
72,0.250057,0.249752,0.249676,0.249524,0.247563,0.24556,0.241435,0.235128,0.228059,0.219327,0.208763,0.195417,0.184087,0.16985,0.154856,0.139531,0.1238,0.108631,0.0939543,0.0815924,0.0703588,0.0601194,0.0501707,0.042595,0.0348161,0.0286119,0.024353,0.0204613,0.017501,0.0151586,0.0131312,0.0125162,0.011673,0.0119011,0.0123829,0.0140747,0.0149689,0.0173774,0.0219316,0.0273802,0.0348057,0.0435784,0.0570108,0.0717641,0.0896463,0.112371,0.136828,0.152407,0.176587,0.193982,0.206866,0.220093,0.229079,0.235602,0.242938,0.24615,0.248314,0.248615,0.2496,0.249752,0.249676,0.249828,0.249981,0.249828,0.250286
64,0.250134,0.24922,0.249524,0.246372,0.240654,0.234657,0.225609,0.21603,0.203373,0.189276,0.17363,0.157657,0.14284,0.125527,0.110195,0.0948353,0.0791256,0.0657032,0.055508,0.0450128,0.0363728,0.028663,0.0231128,0.0178158,0.01326,0.00997063,0.00812295,0.00626078,0.00500553,0.00406615,0.00342527,0.00300565,0.00274548,0.00274891,0.0028275,0.00322652,0.00363813,0.00434291,0.00576219,0.00782712,0.0108062,0.015007,0.0214161,0.0297184,0.0411404,0.0567226,0.0726101,0.0898725,0.116395,0.134227,0.156483,0.174184,0.191399,0.204899,0.219151,0.2294,0.237998,0.242866,0.24615,0.247041,0.249524,0.249296,0.24922,0.250439,0.250134
56,0.249296,0.247414,0.241934,0.236009,0.226671,0.21501,0.201225,0.187414,0.170132,0.153607,0.134668,0.117699,0.101661,0.0863029,0.0725009,0.058505,0.0461202,0.0367728,0.0285401,0.0215655,0.0157454,0.0113731,0.00790589,0.00554932,0.00368372,0.00241951,0.00174086,0.00122072,0.000854505,0.000590524,0.000450713,0.000378614,0.00033875,0.000373465,0.000380522,0.000482757,0.000584421,0.000740826,0.00108701,0.00156043,0.00244259,0.00372053,0.00611658,0.0100244,0.0160116,0.0246061,0.0357677,0.0466056,0.0650355,0.0809074,0.101234,0.123875,0.141288,0.163445,0.181477,0.19768,0.214447,0.22617,0.235263,0.241008,0.244534,0.246818,0.249372,0.250057,0.250363
48,0.245855,0.239599,0.230757,0.221642,0.205671,0.191937,0.174555,0.156872,0.136554,0.119276,0.0992834,0.0838129,0.0686029,0.0557878,0.0437694,0.0337447,0.0247384,0.0181674,0.0124966,0.00828183,0.00538911,0.00330777,0.00202316,0.00114843,0.000646601,0.000356298,0.000232128,0.000136759,7.83932e-05,5.5314e-05,3.28069e-05,2.61311e-05,2.47959e-05,2.91829e-05,3.37606e-05,4.2153e-05,5.91287e-05,9.17449e-05,0.000152209,0.000263409,0.000429923,0.000740826,0.00139181,0.00262264,0.00504654,0.00879129,0.0149999,0.0235007,0.0355566,0.0491267,0.0626194,0.0793479,0.0972329,0.119033,0.14073,0.160972,0.182366,0.199607,0.215179,0.224804,0.233453,0.239599,0.244024,0.248842,0.252836
40,0.241934,0.229207,0.215292,0.200732,0.181961,0.163087,0.14504,0.123427,0.105756,0.0869441,0.0705527,0.055358,0.0437764,0.0339771,0.024652,0.0176086,0.0113861,0.00709812,0.00429408,0.00246891,0.00131266,0.00068761,0.000343137,0.000170329,6.48508e-05,2.86107e-05,1.27794e-05,6.86656e-06,2.47959e-06,9.53689e-07,3.81476e-07,7.62951e-07,1.71664e-06,1.71664e-06,1.14443e-06,1.5259e-06,5.5314e-06,8.5832e-06,1.25887e-05,3.08995e-05,5.83658e-05,0.000115587,0.000222019,0.000557717,0.00119898,0.00252747,0.00524891,0.00954757,0.0172352,0.0262451,0.0367943,0.0502692,0.0641494,0.0802338,0.101889,0.12086,0.147336,0.168384,0.186944,0.202069,0.214616,0.225052,0.236281,0.246002,0.255996
