SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:55:34
Date and Time Ended,2019-Sep-27 19:55:38
Scan Name,Scan Tx1-Rx1 Link 1 
Link Settings,
Reset RX After Applying Settings,false
Open Area,6176
Horizontal Opening,34
Horizontal Percentage,52.31
Vertical Opening,241
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.24556,0.241221,0.229079,0.212665,0.192027,0.16576,0.132598,0.100415,0.0717327,0.0469502,0.0301371,0.0180017,0.0100482,0.00505417,0.00244821,0.00100233,0.000401408,0.000151446,4.86381e-05,1.48775e-05,3.62402e-06,1.43053e-06,3.81476e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.04906e-06,1.5259e-06,4.48234e-06,1.28748e-05,2.89921e-05,6.28481e-05,0.000172904,0.000367838,0.000765145,0.00158246,0.00308404,0.00609598,0.0111481,0.019657,0.0319123,0.0504612,0.06973,0.0983418,0.128763,0.16006,0.190509,0.215917,0.232592,0.24265,0.246595,0.250669,0.251593
112,0.241506,0.23392,0.221163,0.20088,0.173999,0.144376,0.113304,0.0820336,0.0559937,0.0351945,0.0218078,0.0121878,0.00643439,0.00300574,0.00132382,0.000511177,0.000195125,7.02869e-05,1.90738e-05,6.10361e-06,1.5259e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,9.53689e-08,1.33516e-06,1.43053e-06,4.00549e-06,1.2398e-05,3.37606e-05,8.12543e-05,0.000187781,0.000429446,0.000938525,0.00189183,0.00387675,0.00760705,0.0140257,0.0240598,0.0383551,0.0568407,0.0824962,0.112125,0.14402,0.17716,0.204695,0.22642,0.239109,0.246298,0.250363,0.253618
104,0.23897,0.227426,0.210913,0.1872,0.158267,0.125797,0.096036,0.0677126,0.0424978,0.0258207,0.015235,0.00802244,0.00403143,0.00172684,0.0007187,0.000274472,9.55596e-05,2.5845e-05,8.77394e-06,1.81201e-06,6.67582e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.14443e-06,5.14992e-06,1.32563e-05,3.95781e-05,9.59411e-05,0.000237278,0.000533303,0.00109579,0.0025082,0.00510882,0.00984245,0.0172744,0.0295096,0.0443523,0.0668724,0.096375,0.126418,0.161067,0.193661,0.217061,0.233653,0.243806,0.25021,0.255676
96,0.235534,0.219151,0.197299,0.171665,0.141581,0.109283,0.0803598,0.0541576,0.0333274,0.0189504,0.0107173,0.00519799,0.00250076,0.00103723,0.000405795,0.000133993,4.19623e-05,1.15396e-05,2.7657e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,4.76844e-07,1.71664e-06,6.10361e-06,1.6022e-05,4.86381e-05,0.000131514,0.000305943,0.000687037,0.00160153,0.00343767,0.00680524,0.0125681,0.022157,0.0349215,0.0541075,0.0804071,0.111182,0.14665,0.180041,0.208551,0.228823,0.240796,0.250516,0.259073
88,0.229851,0.20994,0.184918,0.154098,0.123446,0.0916112,0.0646659,0.041348,0.0239249,0.0134139,0.00702827,0.0032392,0.00146277,0.000564202,0.000195125,6.34203e-05,1.58312e-05,5.05455e-06,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,5.72213e-07,1.90738e-06,7.82025e-06,2.62264e-05,6.42786e-05,0.000159934,0.000397498,0.000944533,0.0020716,0.00439221,0.00870143,0.0158181,0.0260904,0.0426127,0.0658193,0.0949893,0.1297,0.166434,0.196166,0.220805,0.237583,0.251285,0.263235
80,0.222484,0.199607,0.170026,0.138657,0.108244,0.0757665,0.0518867,0.0324456,0.017905,0.00914333,0.00456989,0.00199693,0.000881209,0.00029202,9.26032e-05,3.16625e-05,8.86931e-06,2.09812e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,6.67582e-07,3.0518e-06,1.14443e-05,3.43328e-05,8.65949e-05,0.000218013,0.000561437,0.00133469,0.00296397,0.005869,0.0111877,0.0192687,0.0328332,0.0536117,0.0805336,0.11365,0.150144,0.184087,0.211458,0.233786,0.251439,0.267708
72,0.216602,0.186518,0.155562,0.122048,0.0913864,0.0622105,0.0415916,0.0241335,0.0128742,0.00628761,0.00292659,0.00121376,0.000479801,0.000159075,4.82567e-05,1.20165e-05,4.19623e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,4.76844e-07,1.5259e-06,5.72213e-06,1.7071e-05,4.66354e-05,0.000119783,0.000338941,0.000821317,0.00191501,0.00397698,0.00789578,0.0140378,0.0252368,0.0425331,0.0657454,0.0966707,0.134779,0.169184,0.203172,0.227679,0.251439,0.273427
64,0.206866,0.173925,0.140561,0.104755,0.076062,0.0493071,0.031281,0.0173491,0.00890363,0.00407044,0.00182803,0.000699245,0.000264649,8.3257e-05,2.19348e-05,4.57771e-06,1.04906e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,2.38422e-06,7.0573e-06,2.07904e-05,6.05592e-05,0.000179484,0.000478084,0.00118133,0.00260672,0.00541752,0.0100553,0.0191417,0.0329044,0.0541433,0.0819679,0.119659,0.156513,0.192569,0.223212,0.253305,0.280736
56,0.198928,0.160625,0.124762,0.0899415,0.0635916,0.0399721,0.0239697,0.0128577,0.00596389,0.00263857,0.0010955,0.000402171,0.000143721,4.22484e-05,9.15541e-06,2.09812e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,8.5832e-07,2.38422e-06,9.34615e-06,3.3093e-05,0.000101759,0.000278286,0.000721561,0.00166028,0.00357805,0.00702707,0.0136791,0.0248993,0.0433478,0.067735,0.103511,0.141826,0.181316,0.216373,0.25268,0.28444
48,0.190953,0.150697,0.110462,0.0770782,0.0519459,0.0309244,0.0175265,0.00903303,0.00395886,0.00168011,0.000648604,0.000212673,6.981e-05,1.86923e-05,4.57771e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,6.67582e-07,1.71664e-06,4.38697e-06,1.76432e-05,5.40742e-05,0.000161555,0.00043183,0.00102836,0.00238193,0.00483358,0.00980687,0.0186612,0.0336505,0.0563325,0.0879901,0.127322,0.169745,0.210156,0.252524,0.291733
