SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:59:17
Date and Time Ended,2019-Sep-27 19:59:22
Scan Name,Scan Tx5-Rx5 Link 6 
Link Settings,
Reset RX After Applying Settings,false
Open Area,2544
Horizontal Opening,39
Horizontal Percentage,60.00
Vertical Opening,81
Vertical Percentage,35.48
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.497684,0.497382,0.4992,0.498896,0.499809,0.498593,0.497382,0.500726,0.502569,0.502878,0.499809,0.4992,0.498289,0.498593,0.501339,0.497684,0.50042,0.498289,0.4992,0.498896,0.497382,0.501032,0.498593,0.498289,0.4992,0.501339,0.499809,0.500114,0.500114,0.497684,0.499505,0.501032,0.499809,0.497382,0.497986,0.50042,0.49708,0.498593,0.497684,0.500114,0.498593,0.498289,0.498896,0.498896,0.498289,0.4992,0.498593,0.497986,0.4992,0.4992,0.502878,0.498896,0.501032,0.50042,0.498289,0.501339,0.500726,0.499505,0.498896,0.498289,0.501032,0.495876,0.500114,0.497382,0.498289
112,0.444245,0.439714,0.446424,0.443523,0.445211,0.443523,0.445695,0.447888,0.463604,0.464392,0.456626,0.473793,0.468643,0.476272,0.477939,0.470527,0.474341,0.481592,0.481875,0.482727,0.485588,0.485013,0.486453,0.489359,0.492596,0.497986,0.494977,0.493486,0.492893,0.493486,0.498289,0.496778,0.494977,0.497986,0.492005,0.493784,0.495576,0.492893,0.494082,0.496177,0.488484,0.489945,0.487032,0.490825,0.482443,0.484153,0.481875,0.482159,0.479337,0.473245,0.477104,0.473793,0.477104,0.476549,0.476549,0.476549,0.483582,0.478218,0.482443,0.482727,0.483011,0.487032,0.487612,0.487902,0.488193
104,0.260307,0.260225,0.25973,0.258745,0.259483,0.259237,0.261304,0.260971,0.262813,0.26315,0.263913,0.265539,0.267796,0.270537,0.27508,0.269204,0.276286,0.275728,0.282576,0.27892,0.288751,0.287939,0.287434,0.290801,0.291215,0.307503,0.301615,0.304304,0.311834,0.310298,0.320245,0.318998,0.324046,0.32663,0.330051,0.325721,0.324688,0.312906,0.310769,0.31219,0.29309,0.299192,0.292776,0.291733,0.283064,0.282478,0.280064,0.275542,0.27694,0.273793,0.277691,0.27361,0.278257,0.276193,0.27361,0.277127,0.283456,0.275728,0.280544,0.283358,0.281701,0.284243,0.286931,0.283947,0.286931
96,0.249981,0.24922,0.249372,0.25021,0.249981,0.250286,0.25021,0.249905,0.250593,0.249828,0.24922,0.250746,0.249828,0.249676,0.2496,0.249069,0.246372,0.244753,0.240725,0.234994,0.226859,0.217061,0.210696,0.200192,0.186306,0.176207,0.162537,0.146913,0.139531,0.126809,0.123614,0.120151,0.120593,0.124648,0.127978,0.142023,0.156632,0.162925,0.183551,0.19835,0.209457,0.224251,0.230887,0.239879,0.245046,0.247414,0.247638,0.249069,0.249524,0.250286,0.249372,0.250363,0.249828,0.250057,0.250134,0.249905,0.249905,0.250057,0.249981,0.250516,0.249676,0.250746,0.248088,0.249981,0.250439
88,0.250057,0.250516,0.248465,0.250286,0.249372,0.250363,0.249524,0.249828,0.249828,0.249981,0.248993,0.247863,0.246595,0.243661,0.238067,0.230174,0.220212,0.207337,0.187543,0.170913,0.148673,0.129087,0.118363,0.10091,0.0862393,0.0765524,0.063964,0.055822,0.051113,0.0450945,0.0440021,0.0429209,0.0434421,0.0442016,0.0485416,0.052708,0.0606132,0.0661702,0.0783087,0.0922716,0.107491,0.126927,0.144554,0.168626,0.189364,0.20887,0.223883,0.236965,0.244169,0.246669,0.248088,0.249828,0.249981,0.25021,0.250057,0.250134,0.248842,0.249752,0.250286,0.25021,0.249828,0.249905,0.249145,0.249752,0.249828
80,0.2496,0.2496,0.25021,0.249676,0.249981,0.250669,0.250057,0.249981,0.249069,0.247115,0.243444,0.236965,0.22642,0.214503,0.198543,0.17341,0.150172,0.123316,0.100415,0.0823552,0.0618909,0.0512441,0.0410641,0.0335485,0.026337,0.0214105,0.0176477,0.0151463,0.0130685,0.012048,0.0113615,0.0111864,0.0119146,0.0125444,0.0144997,0.0166671,0.0189767,0.0231658,0.027156,0.0343705,0.0417229,0.0537066,0.068101,0.0834203,0.103354,0.129067,0.155709,0.180517,0.205671,0.222908,0.236554,0.24556,0.248465,0.249069,0.249676,0.249828,0.250669,0.250439,0.250057,0.249752,0.250134,0.25021,0.249676,0.248918,0.249372
72,0.2496,0.249524,0.249372,0.249752,0.250057,0.248842,0.247265,0.244972,0.239039,0.231999,0.216716,0.196731,0.173263,0.148269,0.119607,0.0894896,0.067926,0.0484956,0.0325268,0.0247676,0.0160903,0.0123642,0.00931125,0.00736896,0.00532311,0.00427081,0.00322633,0.00258927,0.00225719,0.00207294,0.00192073,0.00188926,0.00202029,0.00215133,0.00257458,0.00313134,0.00385119,0.00509918,0.00676204,0.00950885,0.0126118,0.0172471,0.023899,0.0334978,0.043753,0.0607751,0.0811318,0.106443,0.132426,0.161639,0.191042,0.214223,0.229786,0.240867,0.247265,0.249448,0.250057,0.249448,0.249145,0.249448,0.249145,0.249905,0.249145,0.250669,0.250669
64,0.250363,0.248918,0.249981,0.249372,0.247489,0.244169,0.238413,0.227236,0.211676,0.190332,0.163055,0.13305,0.102655,0.0748048,0.052428,0.0326513,0.0217268,0.0131893,0.00795396,0.00540551,0.00313382,0.0021828,0.00159113,0.00117323,0.000789845,0.000597391,0.000395209,0.000308232,0.000283436,0.000247959,0.000220493,0.000205997,0.000230602,0.000234607,0.000294308,0.000402457,0.000549134,0.000794614,0.00119535,0.00182727,0.00277409,0.00439269,0.00650759,0.0107055,0.0155745,0.0237963,0.0349498,0.0508496,0.0706379,0.094019,0.125124,0.155503,0.186688,0.212445,0.232592,0.242363,0.247489,0.249828,0.249828,0.249372,0.249372,0.250134,0.248918,0.250057,0.25021
56,0.250057,0.249296,0.248314,0.245486,0.238344,0.226859,0.209887,0.186901,0.15842,0.128259,0.0949562,0.0659624,0.0431038,0.0268138,0.0161856,0.00858682,0.00488174,0.00257,0.00135691,0.000810636,0.000385481,0.000265888,0.000181582,0.000114061,7.26711e-05,5.28344e-05,2.67033e-05,2.93736e-05,2.13626e-05,1.58312e-05,1.37331e-05,1.04906e-05,1.29702e-05,1.6022e-05,1.94553e-05,3.20439e-05,4.23438e-05,7.40063e-05,0.000125124,0.000203899,0.000414092,0.000689326,0.00133974,0.00238041,0.00407187,0.00710231,0.011911,0.0198044,0.0306055,0.045097,0.0686087,0.0958787,0.126927,0.159406,0.196213,0.22033,0.236896,0.244242,0.248088,0.249296,0.250134,0.250363,0.249981,0.250134,0.250669
48,0.248842,0.245855,0.241221,0.230109,0.214784,0.189935,0.159592,0.123372,0.0913558,0.0637748,0.0394428,0.0223504,0.012174,0.00641184,0.0031651,0.00143835,0.000630007,0.000318532,0.000128176,6.16083e-05,3.01366e-05,1.81201e-05,1.25887e-05,4.95918e-06,3.0518e-06,2.28885e-06,1.5259e-06,1.33516e-06,1.14443e-06,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,2.28885e-06,2.28885e-06,5.14992e-06,1.18257e-05,2.53681e-05,6.00824e-05,0.000140764,0.000296216,0.000660716,0.0013859,0.00277981,0.0055621,0.0100612,0.0176067,0.0294799,0.046918,0.0691531,0.09967,0.13791,0.176207,0.204388,0.225237,0.239319,0.246446,0.248389,0.249905,0.249752,0.250669,0.251207
