SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:56:22
Date and Time Ended,2019-Sep-27 19:56:26
Scan Name,Scan Tx2-Rx2 Link 0 
Link Settings,
Reset RX After Applying Settings,false
Open Area,736
Horizontal Opening,25
Horizontal Percentage,38.46
Vertical Opening,33
Vertical Percentage,16.13
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.498289,0.4992,0.498896,0.500726,0.501646,0.498593,0.500726,0.498896,0.501339,0.49708,0.499809,0.499505,0.499505,0.496778,0.502261,0.498289,0.501032,0.497986,0.499505,0.500114,0.498896,0.499505,0.502878,0.500114,0.497986,0.4992,0.501339,0.498593,0.500726,0.501032,0.499505,0.502261,0.498593,0.498593,0.500114,0.49708,0.496477,0.500114,0.498593,0.497986,0.498289,0.498593,0.503186,0.497382,0.50042,0.498896,0.4992,0.500114,0.50042,0.502261,0.501646,0.497382,0.500726,0.501032,0.497684,0.500114,0.497986,0.499809,0.4992,0.498896,0.498593,0.499505,0.500114,0.50042,0.501032
112,0.485013,0.484726,0.484153,0.483296,0.483011,0.477382,0.483296,0.483582,0.487322,0.485301,0.484153,0.479899,0.486165,0.49112,0.489067,0.491709,0.49112,0.487902,0.493486,0.4923,0.493784,0.493189,0.491709,0.494977,0.493189,0.496477,0.496477,0.49708,0.497382,0.501339,0.497684,0.496778,0.498289,0.497986,0.499809,0.497382,0.500114,0.500726,0.498289,0.499809,0.4992,0.499809,0.497684,0.497382,0.497382,0.49708,0.498593,0.495576,0.49708,0.501339,0.498896,0.497382,0.496477,0.496177,0.496477,0.499505,0.497382,0.495277,0.493486,0.493189,0.497684,0.498896,0.496177,0.496477,0.497986
104,0.309595,0.298538,0.298429,0.301393,0.295949,0.297562,0.303515,0.301615,0.305895,0.301393,0.304644,0.304644,0.312667,0.317884,0.324431,0.324945,0.32125,0.32624,0.34076,0.33341,0.342756,0.342041,0.346233,0.361672,0.364569,0.362312,0.373376,0.379605,0.384595,0.391207,0.396893,0.397278,0.401759,0.404937,0.408776,0.405538,0.404138,0.399994,0.39403,0.390461,0.389163,0.384054,0.373547,0.370841,0.364083,0.35945,0.357412,0.354014,0.35038,0.351885,0.351281,0.347113,0.340053,0.331924,0.339349,0.341044,0.33767,0.341898,0.336837,0.332328,0.334362,0.344631,0.342184,0.344776,0.35008
96,0.249905,0.2509,0.250439,0.250057,0.250057,0.25021,0.249905,0.250286,0.250823,0.249448,0.250439,0.250134,0.249448,0.251053,0.250977,0.251516,0.250439,0.250439,0.251671,0.251439,0.251671,0.251671,0.252446,0.251516,0.251285,0.249296,0.252368,0.248842,0.248615,0.250516,0.25307,0.2496,0.250516,0.252992,0.261221,0.260142,0.263066,0.261471,0.259565,0.263235,0.260971,0.259483,0.260225,0.257363,0.255676,0.257687,0.256076,0.255597,0.25496,0.254327,0.253383,0.252758,0.25198,0.252524,0.251362,0.252135,0.252758,0.251825,0.250823,0.251362,0.251671,0.250593,0.251903,0.25198,0.250286
88,0.248993,0.250363,0.249676,0.25021,0.250286,0.249676,0.249676,0.249524,0.249524,0.250057,0.249676,0.249448,0.250134,0.250134,0.247863,0.247863,0.247265,0.246298,0.245266,0.24222,0.238413,0.235128,0.227869,0.220508,0.210534,0.202019,0.191533,0.182325,0.172171,0.161544,0.158973,0.149351,0.147256,0.146336,0.151169,0.153234,0.159344,0.164959,0.171594,0.185968,0.195277,0.205362,0.216946,0.224251,0.233055,0.239458,0.242291,0.246076,0.247938,0.249145,0.249828,0.249448,0.248918,0.249981,0.249752,0.250516,0.248842,0.249448,0.249981,0.250134,0.250363,0.249372,0.249676,0.250134,0.249676
80,0.249372,0.249448,0.250823,0.248918,0.25021,0.250286,0.249752,0.250134,0.249069,0.249981,0.249372,0.248766,0.247414,0.24615,0.244388,0.240372,0.234254,0.229079,0.222122,0.21124,0.199851,0.187414,0.172315,0.161384,0.147045,0.134183,0.123913,0.113555,0.105213,0.101649,0.0980711,0.0971407,0.0959236,0.0971753,0.102232,0.104382,0.108617,0.115054,0.120133,0.128823,0.138845,0.148916,0.161004,0.173483,0.186731,0.202368,0.212225,0.222243,0.231344,0.23897,0.243951,0.245633,0.248465,0.249145,0.249676,0.249524,0.249372,0.250286,0.249828,0.249752,0.250134,0.249981,0.248993,0.250363,0.25021
72,0.250516,0.249752,0.249905,0.25021,0.25021,0.24922,0.249752,0.249524,0.24854,0.247638,0.243878,0.240231,0.236418,0.231671,0.224005,0.211185,0.198784,0.183798,0.170664,0.153694,0.133679,0.118328,0.102181,0.0896855,0.0760549,0.067534,0.0606581,0.0552311,0.0530116,0.0509477,0.0510779,0.0508055,0.0529841,0.0555532,0.0606401,0.0644319,0.0697715,0.0745461,0.0799519,0.088009,0.0958787,0.105497,0.1143,0.125527,0.137864,0.150947,0.166198,0.181961,0.195791,0.21021,0.221223,0.230044,0.237928,0.243444,0.245266,0.248013,0.248389,0.249676,0.250134,0.250363,0.2496,0.250823,0.250439,0.2496,0.249296
64,0.250134,0.2496,0.249828,0.249448,0.248842,0.247713,0.245486,0.243444,0.240442,0.235805,0.227679,0.219093,0.207284,0.194766,0.181598,0.159189,0.141532,0.120895,0.103958,0.0855548,0.0703588,0.0549311,0.0448428,0.0356432,0.0291702,0.0249107,0.0211676,0.0199943,0.018261,0.017598,0.0181409,0.018167,0.0194887,0.0221936,0.0248389,0.028377,0.0324174,0.0372443,0.0420225,0.0495067,0.0574063,0.0654931,0.0733119,0.0827462,0.0930578,0.105633,0.11952,0.133614,0.149024,0.164396,0.182488,0.197299,0.212445,0.223151,0.231605,0.237652,0.243951,0.247115,0.248691,0.248993,0.249676,0.250057,0.250134,0.249752,0.250057
56,0.248993,0.248766,0.247863,0.246892,0.245119,0.241506,0.237308,0.231802,0.222484,0.20935,0.195463,0.180996,0.163152,0.145117,0.126927,0.104997,0.0832338,0.0646353,0.0509603,0.0378552,0.0269416,0.0195277,0.0145243,0.0107681,0.00831369,0.00701972,0.00558022,0.00485008,0.0043843,0.00435817,0.00453307,0.00481708,0.00523919,0.00629091,0.00757324,0.00955692,0.0114736,0.014462,0.0177413,0.0223157,0.0277775,0.0336976,0.0415325,0.0489242,0.0596554,0.0699562,0.0802732,0.0931848,0.107745,0.123595,0.142146,0.156244,0.172934,0.188622,0.205568,0.218043,0.228759,0.238067,0.241791,0.246298,0.246446,0.249905,0.250439,0.249372,0.25021
48,0.248163,0.247041,0.243588,0.240584,0.234523,0.22711,0.21643,0.205723,0.189935,0.172062,0.150614,0.13128,0.111773,0.0909198,0.0724432,0.0537878,0.0387158,0.0255525,0.0176173,0.0115904,0.00751411,0.00481804,0.00317025,0.00215362,0.00152056,0.00117151,0.000934043,0.000758183,0.000682078,0.00071088,0.000729572,0.000794614,0.000968566,0.00120794,0.00160105,0.00213455,0.00288186,0.0040938,0.00547398,0.00758202,0.010238,0.0141895,0.0192014,0.0244468,0.0315108,0.0409164,0.0486974,0.0602477,0.072849,0.0844784,0.100391,0.115427,0.133701,0.147655,0.167866,0.18542,0.202418,0.216487,0.227173,0.235061,0.242077,0.245781,0.248766,0.250286,0.25268
