SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:57:08
Date and Time Ended,2019-Sep-27 19:57:13
Scan Name,Scan Tx2-Rx2 Link 11
Link Settings,
Reset RX After Applying Settings,false
Open Area,6992
Horizontal Opening,35
Horizontal Percentage,53.85
Vertical Opening,241
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.23459,0.221642,0.197395,0.170309,0.14222,0.099416,0.06899,0.041095,0.0237267,0.0122703,0.00579662,0.00244688,0.000911536,0.000327401,0.00010214,2.31746e-05,5.24529e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.81201e-06,6.67582e-06,3.10903e-05,9.37476e-05,0.000243954,0.00065032,0.00157168,0.00340658,0.00696706,0.0129377,0.0237776,0.037399,0.0610878,0.088009,0.115054,0.150697,0.178239,0.205723,0.227426,0.239529,0.244242,0.249448,0.253618,0.266836
112,0.225671,0.208551,0.183839,0.154914,0.116428,0.0849427,0.0513597,0.030126,0.016572,0.00827847,0.00357652,0.00136711,0.000465305,0.000161364,4.32021e-05,9.06004e-06,2.57496e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.86107e-07,4.2916e-06,1.14443e-05,4.56817e-05,0.000142863,0.000375658,0.000981155,0.00225595,0.0047425,0.00956995,0.0177922,0.0288324,0.0509445,0.0782115,0.10562,0.124838,0.170593,0.19357,0.214897,0.23567,0.244972,0.254248,0.260722,0.266316
104,0.221163,0.197205,0.171092,0.131238,0.0974527,0.065399,0.0395857,0.0223285,0.0112963,0.00530776,0.00214971,0.000761234,0.000245098,6.51369e-05,1.69757e-05,3.81476e-06,1.04906e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.81201e-06,6.58045e-06,2.02182e-05,7.61997e-05,0.000224403,0.000608072,0.00148775,0.00329175,0.00692361,0.0134921,0.0227489,0.0405378,0.0593958,0.0864304,0.113776,0.15042,0.182366,0.211895,0.225175,0.238413,0.251748,0.266663,0.278257
96,0.209725,0.182123,0.15272,0.112681,0.0817226,0.0516642,0.029217,0.0156089,0.00752556,0.00315194,0.00124056,0.000392252,0.000121023,3.00412e-05,6.86656e-06,1.14443e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.86107e-07,3.62402e-06,1.27794e-05,4.10086e-05,0.000141909,0.000361067,0.000946822,0.00220493,0.00478056,0.00953852,0.0179277,0.0308151,0.0495097,0.0819024,0.111728,0.129865,0.166164,0.200192,0.223455,0.244826,0.257121,0.261221,0.291526
88,0.200486,0.166569,0.130569,0.0993918,0.0663202,0.0403263,0.0217997,0.0108749,0.0049546,0.00200332,0.000707256,0.000218204,5.66491e-05,1.29702e-05,3.91012e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.28885e-06,5.05455e-06,2.20302e-05,7.76303e-05,0.000220684,0.000591859,0.00144961,0.0033341,0.00694086,0.0136956,0.0250639,0.0405498,0.0625429,0.0883126,0.132985,0.16351,0.189364,0.219739,0.234859,0.256799,0.279015,0.290286
80,0.186688,0.158144,0.115934,0.0821158,0.0544455,0.0304984,0.0158132,0.00741467,0.00316529,0.00119535,0.000382238,0.000111486,2.74662e-05,8.10636e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.0518e-06,1.33516e-05,4.17716e-05,0.00012932,0.000364023,0.000915827,0.00230936,0.00504988,0.00992257,0.0188284,0.0353952,0.0552013,0.0761185,0.120717,0.139223,0.178084,0.208551,0.231933,0.250363,0.28583,0.324046
72,0.176094,0.137957,0.101059,0.0673896,0.0432243,0.0221486,0.0112954,0.00498836,0.00196927,0.00069667,0.000208095,5.39788e-05,1.43053e-05,3.71939e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.81201e-06,5.8175e-06,2.47005e-05,7.49599e-05,0.000225834,0.000587282,0.00154393,0.00354887,0.00732778,0.0148066,0.0266489,0.0436947,0.0701239,0.100023,0.125758,0.16006,0.199704,0.231802,0.274527,0.276007,0.303403
64,0.161067,0.121903,0.0874266,0.0577462,0.0340845,0.0165399,0.00776672,0.00330873,0.00120098,0.000406367,0.000114729,2.77523e-05,5.91287e-06,9.53689e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,3.71939e-06,1.24933e-05,4.43465e-05,0.000140955,0.000384241,0.00104133,0.002465,0.00533131,0.011143,0.0208849,0.0353464,0.0584633,0.0872404,0.128038,0.163969,0.19412,0.230368,0.260722,0.322008,0.34076
56,0.141434,0.103198,0.0751824,0.0437133,0.024922,0.0121185,0.00534209,0.0020613,0.000732242,0.000221828,6.14176e-05,1.22072e-05,1.71664e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,6.00824e-06,2.2221e-05,7.59136e-05,0.000245003,0.000654898,0.00164435,0.00374056,0.00826994,0.0158733,0.0289425,0.0465871,0.0772818,0.107533,0.153636,0.18601,0.218101,0.283652,0.297886,0.35068
48,0.137586,0.0937285,0.0579833,0.0349066,0.0183864,0.00825411,0.00350156,0.00127203,0.000413043,0.000115301,2.69894e-05,5.43603e-06,3.81476e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.38422e-06,1.15396e-05,4.7303e-05,0.000138285,0.000409705,0.0010626,0.00254978,0.0058752,0.0117859,0.022976,0.0384703,0.0626099,0.0950995,0.128238,0.179332,0.235128,0.270181,0.292567,0.35555
