SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:58:19
Date and Time Ended,2019-Sep-27 19:58:23
Scan Name,Scan Tx4-Rx4 Link 4 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3040
Horizontal Opening,37
Horizontal Percentage,56.92
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.499809,0.50042,0.500726,0.498289,0.4992,0.501339,0.50042,0.500114,0.498896,0.50042,0.498896,0.501646,0.497986,0.499809,0.501032,0.50042,0.497684,0.499505,0.4992,0.500726,0.499505,0.499809,0.499809,0.499809,0.498896,0.50042,0.499809,0.49708,0.497986,0.498896,0.498896,0.497986,0.500726,0.498593,0.499505,0.501953,0.50042,0.497382,0.4992,0.501032,0.499809,0.499809,0.503186,0.499809,0.496778,0.498896,0.500114,0.496778,0.500114,0.499809,0.50042,0.498593,0.501032,0.501032,0.49708,0.4992,0.499809,0.497382,0.4992,0.501646,0.499505,0.499505,0.498896,0.499809,0.502261
112,0.495277,0.493189,0.493189,0.487032,0.491414,0.491414,0.489945,0.489359,0.49438,0.494977,0.495876,0.494082,0.49438,0.495876,0.497684,0.497382,0.4992,0.497986,0.499809,0.497986,0.497684,0.497986,0.49708,0.500726,0.499809,0.498896,0.499505,0.498896,0.4992,0.497986,0.4992,0.497986,0.4992,0.498593,0.4992,0.500726,0.4992,0.498289,0.497986,0.498289,0.4992,0.499809,0.497986,0.500726,0.49708,0.501953,0.498896,0.496477,0.498593,0.498896,0.4992,0.499505,0.497382,0.495876,0.495576,0.496177,0.501646,0.4992,0.4992,0.497986,0.497684,0.50042,0.500114,0.500726,0.497986
104,0.312071,0.306812,0.308661,0.302395,0.30273,0.306927,0.310651,0.305439,0.30601,0.309946,0.309595,0.310063,0.314467,0.315679,0.321881,0.318998,0.330451,0.325203,0.336976,0.336146,0.333681,0.342327,0.346673,0.349036,0.353098,0.356789,0.365546,0.368671,0.38155,0.388425,0.398438,0.397664,0.399604,0.406343,0.407556,0.403143,0.385681,0.378903,0.368174,0.368505,0.354627,0.349036,0.348294,0.343619,0.340477,0.346819,0.336284,0.330451,0.32676,0.330985,0.324688,0.329388,0.330184,0.322642,0.331387,0.331253,0.334226,0.328727,0.33767,0.346673,0.341755,0.35038,0.353403,0.344052,0.35788
96,0.249828,0.250516,0.250286,0.249752,0.250057,0.250593,0.250363,0.250134,0.249905,0.250823,0.250134,0.249828,0.250286,0.24922,0.25021,0.250286,0.25021,0.250286,0.249448,0.24719,0.244388,0.239809,0.234187,0.225485,0.212997,0.203727,0.188579,0.177891,0.170878,0.162958,0.159127,0.15252,0.157204,0.165325,0.173925,0.18192,0.189627,0.202119,0.210264,0.222122,0.228122,0.236691,0.242866,0.247265,0.248691,0.250286,0.25021,0.249448,0.250134,0.249296,0.250286,0.249905,0.249372,0.249448,0.250823,0.250057,0.250057,0.249752,0.250439,0.25021,0.25021,0.25113,0.250439,0.25113,0.250977
88,0.249676,0.250134,0.249448,0.249524,0.250593,0.250286,0.250134,0.250057,0.249905,0.249676,0.249752,0.249448,0.250134,0.248766,0.246966,0.244899,0.240161,0.23332,0.223822,0.21228,0.195045,0.175565,0.159437,0.138306,0.11454,0.0920539,0.0775232,0.0637649,0.0573259,0.0515309,0.045898,0.0447423,0.0454523,0.048971,0.0553468,0.0619564,0.0688104,0.0809474,0.0956883,0.115297,0.131872,0.153578,0.171163,0.193845,0.212942,0.227236,0.236759,0.244024,0.247115,0.248389,0.24922,0.25021,0.249828,0.249752,0.249828,0.249296,0.250439,0.249981,0.249676,0.248842,0.249448,0.250439,0.25021,0.2496,0.249981
80,0.249524,0.249752,0.249905,0.249905,0.250057,0.249448,0.249524,0.251207,0.249069,0.248993,0.248615,0.24615,0.243733,0.237514,0.229015,0.215519,0.202569,0.185588,0.167592,0.143894,0.119155,0.0923861,0.0770203,0.0554404,0.037464,0.025598,0.0186501,0.0133662,0.0104837,0.00858854,0.00761196,0.00716239,0.00705253,0.00741703,0.0096025,0.0120115,0.014883,0.0190473,0.0258394,0.0369736,0.0471801,0.062343,0.078935,0.103146,0.131829,0.157718,0.176892,0.199656,0.215236,0.230174,0.240301,0.245339,0.248088,0.249069,0.250057,0.249524,0.249752,0.2496,0.25021,0.250439,0.250363,0.250593,0.250363,0.25021,0.249372
72,0.250363,0.250057,0.249828,0.24922,0.249828,0.249828,0.250823,0.248088,0.24719,0.241934,0.238205,0.229272,0.21968,0.203677,0.18542,0.165359,0.14402,0.120363,0.0967735,0.072681,0.0521842,0.0345984,0.0230083,0.0127808,0.00695525,0.00382944,0.00223316,0.00131724,0.000901236,0.00065919,0.000498779,0.000416762,0.000443656,0.0004551,0.000636683,0.000818647,0.00117552,0.00169451,0.00309739,0.00561341,0.0101385,0.0166912,0.0260307,0.0409696,0.0592155,0.0801632,0.100736,0.126281,0.151142,0.17716,0.196072,0.216316,0.228759,0.2389,0.246002,0.248993,0.249752,0.249676,0.249448,0.2496,0.25021,0.249524,0.250669,0.250134,0.249828
64,0.25021,0.2496,0.250363,0.250057,0.248993,0.248615,0.246818,0.241435,0.23459,0.225423,0.210264,0.195231,0.178317,0.155326,0.132576,0.10636,0.0802574,0.0623288,0.0430925,0.027052,0.0158279,0.00842832,0.00410182,0.00160868,0.00064126,0.000294308,0.00011635,5.4551e-05,3.03273e-05,1.56405e-05,1.25887e-05,9.53689e-06,7.43877e-06,8.01099e-06,1.5259e-05,1.64034e-05,3.18532e-05,6.04639e-05,0.000137522,0.000381666,0.000860037,0.00208133,0.00473869,0.0108717,0.0203991,0.0343446,0.0490385,0.0682201,0.0902189,0.115119,0.13724,0.164694,0.186264,0.207337,0.224496,0.237583,0.245192,0.248465,0.248691,0.250516,0.249296,0.249448,0.249905,0.250439,0.250286
56,0.2496,0.249752,0.249981,0.246818,0.24652,0.241506,0.234724,0.222243,0.20818,0.190642,0.168974,0.148511,0.1285,0.10213,0.0775893,0.0544564,0.0364375,0.0233081,0.0122623,0.00593614,0.00258106,0.000931945,0.000312047,7.15267e-05,1.86923e-05,5.72213e-06,9.53689e-07,7.62951e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,1.33516e-06,4.76844e-06,1.92645e-05,8.98375e-05,0.000338178,0.00131247,0.00376535,0.00927691,0.017096,0.0291931,0.0442469,0.0616255,0.0816086,0.106735,0.132405,0.156095,0.183059,0.206241,0.222666,0.234859,0.243588,0.246298,0.249069,0.248993,0.248993,0.250286,0.248993
48,0.248993,0.248842,0.246372,0.241934,0.234994,0.224558,0.210859,0.190597,0.169184,0.145971,0.122578,0.0993918,0.0789807,0.0543372,0.0366265,0.0213164,0.0105705,0.00520657,0.00192779,0.000624094,0.000163653,3.41421e-05,6.67582e-06,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.14443e-06,1.01091e-05,5.20714e-05,0.000293164,0.00115587,0.0031054,0.00783112,0.0157204,0.0275228,0.0414905,0.0604656,0.0826044,0.106278,0.135113,0.158696,0.182447,0.203677,0.220924,0.235602,0.242866,0.247041,0.249448,0.249828,0.25021
