SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:55:22
Date and Time Ended,2019-Sep-27 19:55:26
Scan Name,Scan Tx0-Rx0 Link 10
Link Settings,
Reset RX After Applying Settings,false
Open Area,936
Horizontal Opening,14
Horizontal Percentage,21.54
Vertical Opening,73
Vertical Percentage,32.26
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.233121,0.223822,0.211786,0.198063,0.182691,0.167935,0.152549,0.136213,0.118688,0.101059,0.0838301,0.0695051,0.055674,0.0431106,0.0330824,0.0252882,0.0186654,0.0133483,0.0095281,0.00668823,0.00472543,0.00330348,0.00237087,0.00171178,0.00135014,0.0010215,0.000868906,0.000703536,0.000654898,0.000620947,0.000639353,0.000680457,0.000745689,0.000897803,0.00105631,0.00128319,0.00157702,0.0019357,0.00244316,0.00311999,0.00392662,0.00513333,0.006585,0.00879901,0.0115359,0.0153844,0.0193241,0.0249813,0.0320672,0.0407597,0.0506046,0.0621444,0.0750584,0.090199,0.108215,0.126731,0.146755,0.168626,0.191042,0.210805,0.228059,0.240937,0.251285,0.260888,0.269647
112,0.228313,0.217522,0.203981,0.188579,0.173263,0.157053,0.140272,0.123372,0.104382,0.0876511,0.0714076,0.0574868,0.0451244,0.0340845,0.025307,0.0190093,0.0135555,0.00925782,0.00646853,0.0044831,0.00304103,0.00211347,0.00151732,0.00110494,0.000807298,0.000627813,0.000520047,0.000434501,0.000392157,0.000374132,0.000383001,0.000404936,0.000462921,0.000559815,0.00066062,0.000824369,0.00100013,0.00130665,0.00163882,0.00209602,0.00276923,0.00362421,0.00462167,0.00642017,0.00853872,0.0115489,0.0149209,0.019768,0.0261037,0.0339264,0.0430653,0.0530493,0.0661168,0.079641,0.0974991,0.116561,0.135358,0.156692,0.17941,0.201671,0.221402,0.237998,0.251593,0.263574,0.274343
104,0.224189,0.210696,0.195604,0.178162,0.162666,0.146075,0.12744,0.110522,0.0925636,0.0762744,0.0604566,0.0473409,0.03618,0.0261939,0.019139,0.0137199,0.00978882,0.00653854,0.00438888,0.00294938,0.00198577,0.00141356,0.000911631,0.000650988,0.000501259,0.000381571,0.000308232,0.000259976,0.000234321,0.000223163,0.000217346,0.000250916,0.000275902,0.000344949,0.000402838,0.000523861,0.000645552,0.000843442,0.00107547,0.00139944,0.0018473,0.00251669,0.0033155,0.00462778,0.0063644,0.00872609,0.0114026,0.0154768,0.0207012,0.0280986,0.035243,0.0455965,0.0575434,0.0702924,0.0862666,0.104488,0.122523,0.145452,0.168905,0.192298,0.214223,0.234724,0.250516,0.267359,0.280736
96,0.220449,0.204184,0.186944,0.170238,0.152379,0.135403,0.11706,0.0982475,0.0807718,0.0653051,0.0505609,0.0386555,0.0290368,0.0207452,0.0146012,0.0101563,0.00702755,0.00450675,0.00300011,0.00197213,0.00131065,0.000875582,0.000591287,0.000421912,0.00030642,0.000228695,0.00017834,0.000150206,0.000130941,0.000129034,0.000133707,0.000148108,0.000161269,0.000189784,0.0002533,0.000328641,0.000405127,0.000526627,0.000692092,0.000941386,0.00126364,0.00178044,0.00235447,0.00334373,0.00467317,0.00642681,0.00890189,0.0119106,0.0168439,0.022515,0.0296099,0.0387249,0.0499931,0.0621161,0.077311,0.0944417,0.112341,0.133854,0.158696,0.183592,0.20697,0.230238,0.250977,0.269292,0.28683
88,0.215576,0.196448,0.17894,0.160248,0.141974,0.123707,0.104648,0.0864669,0.0707783,0.0547146,0.0421219,0.0310934,0.022556,0.0156806,0.0108132,0.00724381,0.00480344,0.00303225,0.00195726,0.00123083,0.000789082,0.000523194,0.000358301,0.000250343,0.000178817,0.000133516,0.000107576,8.08728e-05,7.57229e-05,7.03822e-05,7.36248e-05,8.20172e-05,9.17449e-05,0.000110914,0.000138285,0.000191405,0.000246719,0.000328355,0.000438411,0.000593481,0.000827039,0.00118219,0.00161889,0.00228923,0.00334564,0.00471456,0.00658765,0.00921118,0.0132645,0.0177221,0.0240189,0.0324174,0.0419408,0.0542365,0.0683454,0.0841055,0.102681,0.123707,0.147389,0.175115,0.19951,0.227173,0.250057,0.272517,0.292358
80,0.212335,0.190332,0.169885,0.149815,0.131364,0.112774,0.0918578,0.0757946,0.0595686,0.0456677,0.0340534,0.0241463,0.0172091,0.0117429,0.00790111,0.00517786,0.00329299,0.00200618,0.00126106,0.000759995,0.000471981,0.000318532,0.000203613,0.000137713,0.000101854,7.32433e-05,5.64584e-05,4.55863e-05,3.95781e-05,3.70985e-05,3.68124e-05,4.12947e-05,4.654e-05,6.53277e-05,7.97284e-05,0.000111963,0.000132372,0.00020285,0.000259213,0.000374895,0.000526532,0.000773823,0.0010873,0.00158131,0.00235084,0.00332113,0.00482242,0.00681827,0.00993147,0.0141566,0.0197195,0.0268199,0.035788,0.0468589,0.0600842,0.0757385,0.0927732,0.112929,0.136851,0.163903,0.192298,0.221163,0.249448,0.273793,0.297886
72,0.208445,0.184253,0.161831,0.139698,0.119659,0.100637,0.081886,0.0659147,0.0500665,0.0373581,0.0272463,0.0186459,0.012903,0.00846968,0.00563945,0.00341478,0.00211748,0.00127937,0.000764096,0.000465305,0.000287633,0.000177386,0.000113489,8.48783e-05,5.25483e-05,3.62402e-05,2.83246e-05,2.42237e-05,1.75479e-05,1.89784e-05,1.79294e-05,1.89784e-05,2.70848e-05,3.55726e-05,3.98642e-05,6.13222e-05,7.75349e-05,0.000107671,0.000147631,0.000226787,0.000318151,0.000468547,0.000700961,0.00103857,0.00160296,0.00233167,0.00339818,0.00502327,0.00736653,0.0108018,0.0155514,0.0215689,0.0297324,0.0398554,0.0520516,0.067534,0.0840882,0.103224,0.128238,0.155917,0.185757,0.216144,0.24719,0.276566,0.30206
64,0.206866,0.178628,0.153925,0.130195,0.107845,0.08947,0.0713827,0.0555532,0.0420441,0.0307134,0.0213053,0.0145076,0.00953653,0.00615444,0.00382725,0.00230354,0.00137493,0.000819791,0.000480087,0.000278286,0.000154402,9.94697e-05,6.21805e-05,4.09133e-05,2.85153e-05,1.94553e-05,1.48775e-05,1.02998e-05,9.63226e-06,7.24804e-06,1.06813e-05,1.01091e-05,1.09674e-05,1.68803e-05,2.24117e-05,3.1281e-05,3.70985e-05,6.27527e-05,8.43061e-05,0.000129606,0.000197509,0.000306611,0.000457771,0.00070573,0.00105154,0.00158808,0.00239786,0.00357519,0.00546912,0.00834492,0.0122267,0.0175025,0.0249996,0.0335238,0.0455965,0.0591215,0.0754316,0.0949673,0.118999,0.147019,0.179175,0.211349,0.245413,0.27694,0.307734
56,0.203677,0.174295,0.145401,0.120292,0.0985311,0.0789959,0.0612431,0.0468696,0.0340874,0.0242665,0.016412,0.0108124,0.0069961,0.0042731,0.00261282,0.00151246,0.000866045,0.000486286,0.000291352,0.000157931,9.0219e-05,5.46464e-05,3.41421e-05,2.28885e-05,1.14443e-05,8.10636e-06,5.8175e-06,4.38697e-06,4.19623e-06,4.10086e-06,3.81476e-06,4.86381e-06,5.24529e-06,7.43877e-06,1.07767e-05,1.85016e-05,2.16487e-05,2.97551e-05,4.97826e-05,7.20989e-05,0.000117685,0.000175097,0.000278477,0.000444896,0.000685416,0.00108167,0.00168097,0.00254263,0.00402571,0.00619907,0.00930557,0.0138498,0.0199812,0.0281818,0.0386555,0.0524515,0.0671135,0.087259,0.112095,0.139936,0.172461,0.207494,0.242938,0.278068,0.310769
48,0.20287,0.169885,0.138751,0.112681,0.0895874,0.0697894,0.0524784,0.0390312,0.027495,0.0190606,0.0127081,0.00798537,0.00495356,0.00296645,0.00173152,0.00100061,0.000547608,0.00029469,0.000171092,8.64042e-05,5.20714e-05,2.77523e-05,1.43053e-05,1.02045e-05,5.14992e-06,2.86107e-06,3.24254e-06,2.47959e-06,2.19348e-06,1.33516e-06,1.43053e-06,1.33516e-06,2.67033e-06,3.81476e-06,6.48508e-06,8.86931e-06,9.823e-06,1.83108e-05,2.71801e-05,4.07225e-05,6.60906e-05,0.0001009,0.000168898,0.000271134,0.000442702,0.000724708,0.00112011,0.00178149,0.00296674,0.00466888,0.0070777,0.0109412,0.0161486,0.0230005,0.0333301,0.0457034,0.060546,0.0808515,0.105051,0.135717,0.167045,0.203575,0.240654,0.280544,0.314588
