SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:54:50
Date and Time Ended,2019-Sep-27 19:54:54
Scan Name,Scan Tx0-Rx0 Link 3 
Link Settings,
Reset RX After Applying Settings,false
Open Area,5720
Horizontal Opening,33
Horizontal Percentage,50.77
Vertical Opening,241
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.225052,0.212445,0.196166,0.175415,0.152039,0.127045,0.103042,0.0809154,0.0589683,0.0414401,0.0272844,0.0160581,0.00866168,0.00450437,0.00225204,0.00100166,0.000372606,0.000145056,5.44556e-05,1.7071e-05,4.19623e-06,1.33516e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.81476e-07,5.72213e-07,2.67033e-06,5.24529e-06,2.48913e-05,7.64858e-05,0.000220302,0.00061799,0.00137407,0.00296502,0.00603275,0.0108301,0.0188111,0.0314636,0.0475774,0.0691764,0.0988879,0.126301,0.154564,0.17941,0.200683,0.221163,0.232988,0.241648,0.247041,0.253148,0.257768,0.263574
112,0.21603,0.202368,0.182528,0.160248,0.136531,0.110195,0.0866315,0.0656085,0.0462504,0.0308406,0.0195856,0.0114096,0.00565023,0.00280308,0.00130169,0.000548466,0.000189975,6.33249e-05,1.87877e-05,6.19898e-06,2.28885e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.5832e-07,3.71939e-06,1.09674e-05,3.24254e-05,0.000117876,0.000341039,0.000823701,0.00193341,0.00408103,0.00791241,0.0144753,0.023883,0.0395399,0.0590874,0.0849427,0.113179,0.141045,0.168073,0.191131,0.211676,0.228313,0.239249,0.246595,0.254564,0.260722,0.269825
104,0.207179,0.18989,0.166841,0.145659,0.11838,0.0945071,0.0721243,0.0520053,0.0356447,0.0227148,0.0135636,0.00764781,0.00356279,0.00161316,0.000709354,0.000271324,8.12543e-05,2.57496e-05,8.20172e-06,2.57496e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,4.38697e-06,1.44961e-05,5.02594e-05,0.000169566,0.000479324,0.00122492,0.00262598,0.00545043,0.0105011,0.0183477,0.030997,0.0481026,0.0731287,0.100415,0.129006,0.15568,0.180279,0.203879,0.221642,0.236486,0.247638,0.25696,0.267359,0.278446
96,0.196072,0.176094,0.154505,0.130652,0.103068,0.0792558,0.0594131,0.0419838,0.0271254,0.0168266,0.00963183,0.00504244,0.00216926,0.000956073,0.000392634,0.000142386,3.78614e-05,1.09674e-05,3.62402e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.5259e-06,5.24529e-06,2.61311e-05,9.83253e-05,0.000265316,0.000746166,0.00177729,0.00377699,0.0075959,0.0142319,0.0246372,0.0406666,0.0624381,0.0890034,0.115901,0.142666,0.169254,0.193387,0.214559,0.233121,0.246743,0.260556,0.272155,0.287233
88,0.185085,0.161703,0.140032,0.114188,0.0886758,0.0657771,0.0470852,0.0324097,0.019789,0.0118868,0.00641413,0.00323148,0.0013344,0.000533207,0.000200942,7.13359e-05,1.67849e-05,3.52865e-06,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.90738e-07,2.67033e-06,1.18257e-05,4.53002e-05,0.000152018,0.000459297,0.00109998,0.00253777,0.00533818,0.010312,0.0191426,0.0324148,0.0524582,0.0774133,0.103905,0.130986,0.156932,0.184918,0.207179,0.230497,0.247339,0.264595,0.279777,0.296807
80,0.172171,0.148242,0.124383,0.0989357,0.0755012,0.0534369,0.0366789,0.0244169,0.0142572,0.00825079,0.00421511,0.00197814,0.000779355,0.000298695,9.98512e-05,3.13764e-05,7.24804e-06,1.43053e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,4.2916e-06,1.91691e-05,7.36248e-05,0.000240234,0.000666438,0.0016146,0.00366922,0.00759971,0.0141915,0.0254043,0.043849,0.065535,0.0907788,0.117127,0.144938,0.173999,0.200192,0.22642,0.246595,0.26841,0.287838,0.308429
72,0.158512,0.133898,0.109988,0.0850309,0.0628019,0.042595,0.0281199,0.0182585,0.0101059,0.00548428,0.00268769,0.00120718,0.000430591,0.000155737,4.40604e-05,1.30655e-05,2.38422e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.19348e-06,8.39246e-06,3.57633e-05,0.000124838,0.000409228,0.0010276,0.00249418,0.0054037,0.0104379,0.0199161,0.0349453,0.0552162,0.0780773,0.104382,0.133592,0.163185,0.190775,0.220805,0.247788,0.274895,0.298755,0.319496
64,0.14723,0.120363,0.0952765,0.0701479,0.0506046,0.033565,0.0216304,0.0131855,0.00699538,0.00355964,0.00166657,0.000687991,0.000232986,7.3434e-05,2.11719e-05,4.10086e-06,1.2398e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,2.57496e-06,1.6022e-05,6.78073e-05,0.000227741,0.00062562,0.00163729,0.003684,0.00763356,0.0152113,0.028116,0.0456575,0.0676344,0.0933015,0.120646,0.15187,0.18417,0.217753,0.24615,0.278825,0.304757,0.333274
56,0.135627,0.107958,0.0827295,0.0588328,0.0406021,0.0261989,0.015872,0.00937715,0.00470941,0.00231889,0.00101492,0.000403315,0.000130846,3.60494e-05,9.44152e-06,2.47959e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,7.72488e-06,3.59541e-05,0.000126745,0.000378138,0.00104887,0.00253004,0.00559834,0.0116524,0.0223907,0.038187,0.0578767,0.0825295,0.111272,0.142965,0.175565,0.212445,0.249448,0.281701,0.315558,0.341613
48,0.123932,0.0959461,0.0696351,0.0490649,0.03251,0.019595,0.0115584,0.00645345,0.0031487,0.00140898,0.000627146,0.000215915,6.24666e-05,1.7071e-05,3.62402e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,3.52865e-06,1.57359e-05,6.76165e-05,0.000219635,0.000638876,0.00169842,0.00387531,0.0085553,0.0174303,0.0308964,0.0492123,0.0717956,0.100243,0.132899,0.167729,0.208976,0.249752,0.28663,0.322008,0.35432
