SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:58
Date and Time Ended,2019-Sep-27 19:58:02
Scan Name,Scan Tx3-Rx3 Link 11
Link Settings,
Reset RX After Applying Settings,false
Open Area,4208
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,129
Vertical Percentage,54.84
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.502261,0.501646,0.499505,0.50042,0.500726,0.497684,0.497684,0.498896,0.498593,0.498593,0.4992,0.499505,0.49708,0.4992,0.497684,0.501032,0.497382,0.500114,0.499505,0.497684,0.497986,0.499809,0.497986,0.501339,0.500726,0.50042,0.497986,0.502878,0.499809,0.4992,0.501953,0.499809,0.497986,0.500726,0.499505,0.500726,0.4992,0.500726,0.497382,0.4992,0.500726,0.498289,0.499505,0.501646,0.497986,0.499809,0.500726,0.499505,0.498593,0.498289,0.502878,0.501646,0.502261,0.500114,0.497382,0.496177,0.495576,0.499809,0.501339,0.50042,0.497986,0.497986,0.50042,0.4992,0.498896
112,0.4992,0.498593,0.497986,0.499505,0.496778,0.496778,0.498593,0.501339,0.499809,0.497986,0.4992,0.501339,0.498289,0.498593,0.499809,0.498593,0.498896,0.497382,0.498289,0.50042,0.497986,0.499505,0.497986,0.501953,0.498593,0.501646,0.502261,0.500726,0.497986,0.501032,0.498289,0.498289,0.50042,0.4992,0.499809,0.500114,0.501339,0.50042,0.4992,0.498289,0.50042,0.500114,0.501646,0.50042,0.502261,0.500114,0.498896,0.500114,0.498896,0.50042,0.499809,0.499505,0.4992,0.499505,0.498593,0.4992,0.498289,0.499505,0.498593,0.4992,0.50042,0.4992,0.498289,0.50042,0.4992
104,0.406545,0.399604,0.397278,0.393084,0.400973,0.398631,0.406545,0.405338,0.411445,0.426438,0.420527,0.436667,0.438068,0.440897,0.4369,0.446667,0.436667,0.446424,0.446667,0.447399,0.451592,0.460476,0.45561,0.468375,0.463079,0.470527,0.476549,0.473519,0.473245,0.473793,0.479899,0.463604,0.462556,0.467573,0.459959,0.461774,0.455104,0.454095,0.449116,0.441611,0.43597,0.437367,0.42867,0.42096,0.419881,0.42867,0.425773,0.423134,0.425552,0.426216,0.432746,0.430246,0.433203,0.433203,0.430925,0.430698,0.430925,0.433433,0.429119,0.440897,0.434813,0.444486,0.446911,0.446424,0.453341
96,0.262056,0.260473,0.258745,0.259977,0.261387,0.258582,0.26315,0.259977,0.264254,0.265109,0.266663,0.26947,0.273976,0.266923,0.266923,0.273427,0.269825,0.264425,0.262392,0.25704,0.24615,0.237033,0.224928,0.204592,0.198495,0.188406,0.17519,0.171056,0.160248,0.150891,0.15953,0.160468,0.165192,0.187157,0.178667,0.19551,0.208657,0.226232,0.235737,0.249069,0.258012,0.265023,0.271614,0.2761,0.272881,0.272881,0.269292,0.275914,0.273154,0.2761,0.278162,0.279491,0.277033,0.276286,0.272608,0.277597,0.280064,0.273701,0.274067,0.278162,0.2761,0.279205,0.282187,0.280832,0.284737
88,0.249981,0.2496,0.249828,0.249752,0.250134,0.249676,0.249524,0.249752,0.2496,0.2509,0.249676,0.249296,0.248013,0.244899,0.23897,0.228504,0.213831,0.194258,0.171882,0.14344,0.114077,0.0948353,0.068718,0.0539898,0.0403243,0.0298679,0.0219598,0.0167092,0.0118605,0.00988384,0.00888075,0.00750038,0.00774987,0.00880674,0.0112955,0.0144909,0.0193904,0.0325824,0.0387488,0.0531422,0.0727133,0.0989118,0.125893,0.157657,0.185169,0.209618,0.231083,0.241506,0.247041,0.248918,0.249145,0.250593,0.249524,0.249448,0.249828,0.249296,0.249981,0.249524,0.249905,0.250823,0.249981,0.251207,0.250823,0.249524,0.250286
80,0.249524,0.249676,0.249752,0.250669,0.2496,0.250593,0.249676,0.249372,0.249828,0.248314,0.244972,0.238136,0.226796,0.206344,0.182244,0.155887,0.124895,0.0915703,0.0674395,0.0472127,0.0298299,0.0187594,0.0111355,0.00677768,0.00403449,0.00239338,0.00148566,0.000808537,0.000472648,0.000285534,0.000236515,0.000155261,0.000117113,0.000107958,8.90745e-05,0.000100519,0.00010338,0.000202754,0.000296407,0.000777256,0.00174372,0.00422923,0.0100895,0.0227805,0.0403461,0.0717453,0.103237,0.145815,0.181196,0.21372,0.233653,0.24468,0.247713,0.249448,0.250134,0.2496,0.250439,0.250669,0.250057,0.249828,0.250057,0.249676,0.249981,0.249676,0.250593
72,0.249296,0.250134,0.25021,0.249981,0.250134,0.249828,0.2496,0.246372,0.241577,0.232394,0.215917,0.193661,0.164265,0.126262,0.0956995,0.0678978,0.0447766,0.0269762,0.0153071,0.00820611,0.00393206,0.00208038,0.000918021,0.000430877,0.000200465,8.86931e-05,3.91012e-05,1.71664e-05,4.95918e-06,2.28885e-06,9.53689e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,7.62951e-07,3.43328e-06,1.5259e-05,7.8584e-05,0.000433356,0.00158503,0.0056611,0.0155497,0.0344486,0.0679542,0.104408,0.149541,0.184876,0.217061,0.236077,0.245707,0.249676,0.249524,0.249905,0.2496,0.249524,0.249752,0.2496,0.250057,0.249828,0.250286
64,0.250286,0.25021,0.249981,0.249981,0.249905,0.245707,0.242291,0.231017,0.21217,0.190509,0.157415,0.122927,0.0881985,0.0566833,0.0351598,0.0201949,0.00987621,0.00505722,0.00223468,0.000884833,0.000303845,0.000109102,3.9292e-05,6.29435e-06,3.43328e-06,5.72213e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.33516e-06,1.33516e-05,0.000119402,0.000737583,0.00287003,0.0102399,0.0256308,0.0528201,0.0881415,0.134935,0.173778,0.208339,0.232922,0.242794,0.248766,0.249296,0.249981,0.24854,0.249828,0.249372,0.250746,0.248766
56,0.249448,0.250286,0.250134,0.248314,0.244024,0.233586,0.217291,0.188362,0.159251,0.124478,0.087464,0.0581933,0.0337364,0.0175152,0.00847581,0.00389563,0.00141299,0.000539216,0.000164607,3.45235e-05,1.04906e-05,3.43328e-06,5.72213e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,8.5832e-06,8.54505e-05,0.000645838,0.00282101,0.0099443,0.0254778,0.0523476,0.0907184,0.132319,0.175265,0.207652,0.229079,0.242722,0.248013,0.249981,0.25021,0.2509,0.249676,0.249524
48,0.249296,0.249752,0.24652,0.24002,0.225299,0.201225,0.16978,0.13234,0.0950664,0.0646047,0.0393028,0.0212793,0.00980926,0.0040013,0.00143893,0.000490196,0.000117876,3.14717e-05,3.43328e-06,1.33516e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,1.56405e-05,0.000156214,0.00106928,0.0042731,0.0130512,0.0324804,0.062008,0.0994642,0.141924,0.181759,0.214672,0.236009,0.245707,0.249069,0.250134,0.249981,0.25021
