SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:54:54
Date and Time Ended,2019-Sep-27 19:54:58
Scan Name,Scan Tx0-Rx0 Link 4 
Link Settings,
Reset RX After Applying Settings,false
Open Area,1904
Horizontal Opening,24
Horizontal Percentage,33.85
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.208551,0.195697,0.183181,0.169956,0.154041,0.138704,0.120186,0.102629,0.0854388,0.0679373,0.0513275,0.0367744,0.0253289,0.0161232,0.0102421,0.00618257,0.00373541,0.00217775,0.00128538,0.000743114,0.000454242,0.000283913,0.00020819,0.000145056,0.000119879,0.000102331,9.61318e-05,9.18402e-05,9.99466e-05,0.000122454,0.000138666,0.000198558,0.000263027,0.000345235,0.000476463,0.000617037,0.00085708,0.00118744,0.00164216,0.00234073,0.00315776,0.00453422,0.00631982,0.00880014,0.0125866,0.0175227,0.0232433,0.0305007,0.0382869,0.046784,0.055373,0.066374,0.0785716,0.0945507,0.111303,0.129128,0.149815,0.169604,0.193387,0.212665,0.232196,0.249145,0.262897,0.275821,0.286429
112,0.202669,0.189539,0.174965,0.160688,0.144528,0.128803,0.110284,0.0927312,0.0737342,0.0575353,0.0406021,0.0286189,0.0187706,0.0116471,0.00700041,0.00407092,0.00236563,0.00133946,0.00076276,0.000437457,0.000255589,0.000160887,0.000111677,8.41154e-05,5.93194e-05,5.41695e-05,4.78752e-05,4.7303e-05,4.98779e-05,6.28481e-05,7.62951e-05,0.000113489,0.00014868,0.000198939,0.000273518,0.000371557,0.000537404,0.000769722,0.00106003,0.00154269,0.00218805,0.00318093,0.00448997,0.0066039,0.00951658,0.0137429,0.0191265,0.0253493,0.0325488,0.0407475,0.05014,0.0601018,0.0716574,0.0858507,0.101737,0.119172,0.139793,0.163315,0.186603,0.207284,0.229722,0.250057,0.266489,0.280928,0.294037
104,0.19626,0.181558,0.166096,0.149979,0.134912,0.117027,0.0987211,0.0806922,0.0627249,0.0470257,0.0319346,0.0213008,0.0134196,0.00789213,0.0045716,0.00252508,0.00143902,0.000750649,0.000401026,0.000237373,0.000133421,8.3257e-05,5.48371e-05,3.88151e-05,2.95644e-05,2.63218e-05,2.19348e-05,2.15534e-05,2.63218e-05,2.99458e-05,3.75753e-05,5.28344e-05,7.58183e-05,0.000106909,0.000149825,0.000205043,0.000305085,0.000449664,0.000649176,0.000984112,0.00145876,0.00210269,0.00313497,0.00473993,0.0069705,0.0101344,0.0145628,0.0206407,0.0274619,0.0349095,0.044223,0.054366,0.0647579,0.0776923,0.0927732,0.110313,0.131154,0.15187,0.179097,0.20177,0.227552,0.24854,0.270002,0.287838,0.301172
96,0.190155,0.174965,0.159561,0.141974,0.124648,0.105975,0.0880468,0.0684825,0.0519921,0.0373444,0.0245825,0.0156944,0.00949849,0.00522192,0.00295214,0.00155079,0.000827993,0.000419051,0.000224212,0.000123026,6.94285e-05,4.35836e-05,2.61311e-05,1.87877e-05,1.32563e-05,1.13489e-05,9.91836e-06,9.44152e-06,1.09674e-05,1.25887e-05,1.73571e-05,2.74662e-05,3.50958e-05,5.20714e-05,7.7821e-05,0.000112058,0.0001668,0.000256256,0.000397593,0.000597486,0.000904288,0.00139782,0.00210946,0.00317531,0.00490988,0.00750818,0.0111342,0.0161137,0.0223834,0.0296485,0.038692,0.0482955,0.058639,0.070864,0.0847845,0.100219,0.120824,0.143265,0.170168,0.196166,0.223699,0.249296,0.27361,0.291318,0.308661
88,0.185002,0.166299,0.149925,0.132469,0.11422,0.0949232,0.0770058,0.058799,0.0422044,0.0292463,0.0183889,0.0111097,0.00644857,0.00344854,0.00182727,0.000932231,0.000450999,0.000232509,0.00011759,6.20851e-05,3.33791e-05,2.13626e-05,1.14443e-05,8.39246e-06,6.86656e-06,4.38697e-06,3.43328e-06,4.00549e-06,4.00549e-06,4.95918e-06,7.53414e-06,1.1635e-05,1.69757e-05,2.9469e-05,3.8529e-05,6.15129e-05,9.03143e-05,0.000145247,0.000227264,0.000357919,0.000546368,0.000856985,0.00137808,0.00214513,0.00338788,0.00536669,0.00822279,0.0124251,0.0178519,0.0245751,0.0332058,0.0423265,0.0521178,0.0641896,0.0770637,0.0916522,0.112433,0.135942,0.164166,0.18989,0.219975,0.248691,0.273793,0.295096,0.313145
80,0.180438,0.160877,0.141875,0.122927,0.104943,0.0847845,0.0655665,0.0482727,0.0338619,0.0227565,0.0132636,0.00771029,0.00418784,0.00215,0.00110571,0.000528725,0.000243095,0.000119688,5.69352e-05,2.95644e-05,1.51637e-05,9.823e-06,6.38972e-06,3.14717e-06,2.19348e-06,1.04906e-06,1.62127e-06,2.00275e-06,1.71664e-06,9.53689e-07,3.71939e-06,5.14992e-06,6.77119e-06,1.09674e-05,1.79294e-05,2.93736e-05,4.62539e-05,7.21942e-05,0.000120642,0.000199226,0.000309758,0.000503357,0.000878252,0.00141079,0.00228456,0.00372787,0.0060481,0.00921222,0.0137827,0.019862,0.0277409,0.0368837,0.0463079,0.0581396,0.0701479,0.0846443,0.103695,0.127322,0.152663,0.183674,0.215803,0.247788,0.274711,0.299411,0.319745
72,0.175791,0.154273,0.133462,0.112248,0.0930683,0.0743095,0.0553356,0.0393311,0.0265884,0.0165553,0.00951084,0.00527695,0.00274519,0.00134689,0.000627337,0.000288014,0.00012932,5.55047e-05,2.65126e-05,1.32563e-05,6.29435e-06,2.95644e-06,1.71664e-06,1.33516e-06,3.81476e-07,4.76844e-07,8.5832e-07,4.76844e-07,5.72213e-07,8.5832e-07,1.90738e-06,2.00275e-06,3.33791e-06,5.62676e-06,8.96468e-06,1.48775e-05,2.21256e-05,3.52865e-05,6.60906e-05,0.000102331,0.000180915,0.000293736,0.000518139,0.000874056,0.00150387,0.00249094,0.00429274,0.00672203,0.0102908,0.0154616,0.0228785,0.0313505,0.0409963,0.051913,0.0639092,0.0778399,0.0967392,0.121469,0.150919,0.182123,0.214559,0.247788,0.275265,0.301838,0.323023
64,0.173557,0.146913,0.124762,0.102861,0.083065,0.0636707,0.04578,0.0317539,0.0199743,0.0121505,0.00675585,0.0034597,0.00170748,0.00077163,0.000338941,0.000161078,6.3611e-05,2.89921e-05,1.24933e-05,5.5314e-06,2.57496e-06,1.33516e-06,8.5832e-07,2.86107e-07,1.90738e-07,4.76844e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,7.62951e-07,1.14443e-06,1.71664e-06,2.95644e-06,5.05455e-06,8.67857e-06,1.74525e-05,3.21393e-05,5.2739e-05,8.88838e-05,0.000164416,0.000296216,0.000526341,0.000963893,0.00164597,0.00284514,0.0048105,0.00755332,0.0119408,0.0182082,0.0262241,0.0355026,0.0464076,0.0591898,0.0727003,0.0925845,0.115054,0.145919,0.177083,0.210805,0.245707,0.272699,0.303403,0.329255
56,0.168488,0.142023,0.117228,0.0949452,0.0736018,0.0535697,0.038031,0.0250516,0.0150415,0.00872943,0.00456044,0.00220417,0.00104286,0.000455482,0.000192359,8.2208e-05,3.25208e-05,1.33516e-05,5.24529e-06,3.43328e-06,9.53689e-07,6.67582e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,8.5832e-07,2.00275e-06,3.43328e-06,4.57771e-06,8.77394e-06,1.62127e-05,2.97551e-05,5.1976e-05,9.07912e-05,0.000175669,0.000315194,0.000578317,0.00104744,0.00194944,0.00330339,0.00543688,0.00881548,0.0142008,0.0214391,0.0304259,0.0411776,0.0535977,0.0677687,0.0869441,0.111091,0.142467,0.173557,0.207075,0.241648,0.271075,0.302954,0.330051
48,0.166569,0.137771,0.112248,0.0861396,0.064717,0.0451791,0.0305987,0.0192379,0.0113571,0.00630096,0.00309968,0.00139925,0.000631533,0.000254158,0.000100233,4.12947e-05,1.47822e-05,6.19898e-06,2.09812e-06,6.67582e-07,8.5832e-07,3.81476e-07,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,6.67582e-07,7.62951e-07,2.57496e-06,2.38422e-06,7.24804e-06,1.33516e-05,2.47005e-05,4.75891e-05,9.67041e-05,0.000182345,0.000346094,0.00065938,0.00118458,0.0022343,0.00379349,0.0065557,0.0111418,0.0172519,0.0258288,0.0361481,0.0493605,0.0631894,0.083065,0.106665,0.140368,0.17363,0.204797,0.23897,0.270716,0.304531,0.333274
