SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:59:38
Date and Time Ended,2019-Sep-27 19:59:42
Scan Name,Scan Tx5-Rx5 Link 11
Link Settings,
Reset RX After Applying Settings,false
Open Area,4080
Horizontal Opening,46
Horizontal Percentage,70.77
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.497986,0.500114,0.499505,0.497986,0.501339,0.498896,0.500114,0.502569,0.502878,0.499505,0.4992,0.501953,0.50042,0.499505,0.498896,0.4992,0.497684,0.498593,0.498593,0.501646,0.500726,0.500726,0.4992,0.4992,0.500114,0.498593,0.499505,0.498593,0.500726,0.498289,0.498289,0.4992,0.4992,0.50042,0.50042,0.501339,0.4992,0.497382,0.500114,0.4992,0.501032,0.499809,0.498593,0.500114,0.500114,0.501339,0.499505,0.497986,0.499809,0.498896,0.502261,0.501953,0.4992,0.4992,0.500726,0.49708,0.501953,0.499809,0.4992,0.50042,0.498593,0.497684,0.497986,0.501339,0.501646
112,0.46784,0.459186,0.459186,0.455864,0.45284,0.457647,0.457136,0.460995,0.460995,0.46704,0.466508,0.470797,0.473245,0.472426,0.477382,0.478218,0.481309,0.483582,0.486165,0.485876,0.489652,0.485876,0.485876,0.487612,0.49438,0.493784,0.497684,0.491709,0.494977,0.493784,0.4923,0.494678,0.491709,0.4923,0.490825,0.487322,0.487322,0.488775,0.483582,0.48444,0.479618,0.481026,0.476272,0.477939,0.475443,0.474616,0.475995,0.471339,0.474067,0.471068,0.465977,0.46784,0.472154,0.46704,0.471882,0.469987,0.473519,0.473519,0.480462,0.472699,0.477104,0.477939,0.47766,0.479618,0.483582
104,0.286529,0.279205,0.279586,0.27694,0.278351,0.27892,0.278825,0.281314,0.28444,0.288345,0.284935,0.287939,0.287838,0.296056,0.298864,0.298974,0.301838,0.299411,0.309361,0.312667,0.312786,0.311953,0.313625,0.310769,0.317638,0.301172,0.301283,0.289057,0.301504,0.287939,0.287132,0.309361,0.29351,0.296807,0.297022,0.29446,0.302283,0.308778,0.309829,0.315072,0.313745,0.314226,0.305667,0.310416,0.306124,0.305895,0.303515,0.307849,0.301283,0.302506,0.304984,0.300509,0.299083,0.29499,0.303966,0.299411,0.298974,0.301838,0.30273,0.303515,0.303403,0.305781,0.306927,0.308778,0.312786
96,0.249752,0.249145,0.249752,0.250439,0.249981,0.249448,0.249372,0.249981,0.249448,0.249372,0.249828,0.249296,0.250363,0.250516,0.249828,0.248918,0.249676,0.247115,0.245928,0.23883,0.224435,0.210968,0.187029,0.161448,0.140224,0.11422,0.0954875,0.0744513,0.0661649,0.0568209,0.0522041,0.0523744,0.0522374,0.0536574,0.0535417,0.0629999,0.0728685,0.088265,0.105702,0.124327,0.143616,0.166063,0.1831,0.20903,0.221402,0.235534,0.241648,0.245855,0.248842,0.24922,0.250286,0.250823,0.249448,0.248465,0.249828,0.250134,0.248766,0.250669,0.249981,0.250516,0.250057,0.249372,0.249981,0.249524,0.249448
88,0.250286,0.249828,0.2496,0.248842,0.249676,0.250057,0.250134,0.249905,0.249981,0.249752,0.2509,0.249828,0.249981,0.249145,0.248013,0.244242,0.234859,0.221103,0.197015,0.172098,0.136236,0.10199,0.0726617,0.0506986,0.0369703,0.0227679,0.017186,0.011211,0.00942626,0.00706245,0.00568475,0.00549458,0.00514763,0.0051564,0.00505283,0.00537633,0.00638876,0.0082208,0.0105289,0.0146028,0.0215666,0.0314202,0.0421458,0.0644877,0.0872869,0.116131,0.146101,0.177007,0.204951,0.228059,0.242507,0.247563,0.24922,0.2496,0.249828,0.24922,0.250286,0.249981,0.249752,0.249448,0.249981,0.2496,0.250593,0.249524,0.249145
80,0.25021,0.248993,0.250363,0.249752,0.249981,0.250286,0.250363,0.250286,0.250057,0.250516,0.249676,0.249372,0.246595,0.242077,0.2273,0.202418,0.172207,0.142591,0.103708,0.0728296,0.0449461,0.0263176,0.0152169,0.00853819,0.00537156,0.00289368,0.00182403,0.00105688,0.000811589,0.00056611,0.000418288,0.00038529,0.000375181,0.000366407,0.000339132,0.000381857,0.000478943,0.000618181,0.000788701,0.00121939,0.00177214,0.00269074,0.00414015,0.00722496,0.0130948,0.0220354,0.0364488,0.0559058,0.0849956,0.123502,0.16476,0.201969,0.230497,0.243516,0.247563,0.250669,0.249372,0.249752,0.249448,0.250363,0.249981,0.249069,0.249981,0.250439,0.248918
72,0.249448,0.250439,0.249296,0.2496,0.250134,0.249905,0.250134,0.248691,0.250823,0.249372,0.247788,0.241363,0.225734,0.198784,0.156662,0.112125,0.080344,0.0491975,0.028576,0.0158727,0.00766728,0.00343996,0.0014723,0.000711833,0.000375372,0.000161555,8.44968e-05,4.10086e-05,2.53681e-05,1.50683e-05,1.18257e-05,1.02998e-05,9.91836e-06,9.72763e-06,6.29435e-06,9.72763e-06,1.25887e-05,1.75479e-05,2.65126e-05,4.02457e-05,7.91562e-05,0.000151827,0.000234035,0.000462348,0.000953689,0.00176585,0.00330625,0.00713188,0.0140243,0.0280919,0.0530562,0.0903084,0.139034,0.18351,0.220271,0.238136,0.248013,0.249752,0.25021,0.249828,0.249752,0.249296,0.2496,0.250057,0.248314
64,0.2496,0.249524,0.250057,0.249828,0.249828,0.249981,0.248691,0.249981,0.248389,0.244826,0.23246,0.204848,0.164363,0.115704,0.0700879,0.0399389,0.0202799,0.0103672,0.00462444,0.00202354,0.000789273,0.00027657,7.76303e-05,3.50958e-05,1.25887e-05,4.57771e-06,1.5259e-06,5.72213e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-07,3.81476e-07,1.90738e-07,3.81476e-07,3.81476e-07,7.62951e-07,3.24254e-06,5.5314e-06,1.41146e-05,4.23438e-05,8.69764e-05,0.000226978,0.000548562,0.00129549,0.00308995,0.00840505,0.0197953,0.0429119,0.0814707,0.129824,0.178278,0.218392,0.238344,0.246298,0.250286,0.2496,0.250516,0.249828,0.25021,0.249828
56,0.25021,0.250057,0.249372,0.249981,0.250746,0.25021,0.249372,0.247115,0.241435,0.222787,0.188189,0.140272,0.0863757,0.0475194,0.022804,0.00965858,0.00379397,0.00156577,0.00056096,0.000168803,5.0164e-05,9.91836e-06,1.71664e-06,3.81476e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,7.62951e-07,1.5259e-06,1.10628e-05,2.49866e-05,7.66766e-05,0.000247005,0.000874723,0.00264019,0.00796426,0.0213686,0.0509318,0.088265,0.141483,0.190997,0.225299,0.240867,0.248314,0.250286,0.250057,0.249752,0.250134
48,0.2496,0.250134,0.250286,0.249524,0.250057,0.249752,0.244826,0.234523,0.208392,0.1707,0.112727,0.0636065,0.0297886,0.0119575,0.00430915,0.00132238,0.000374418,0.000124361,3.20439e-05,5.14992e-06,1.5259e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,2.28885e-06,7.24804e-06,4.34882e-05,0.000179484,0.000776684,0.00285325,0.0103164,0.0253493,0.0545434,0.10625,0.156752,0.20393,0.234254,0.245266,0.249448,0.250057,0.249981
