SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:59:04
Date and Time Ended,2019-Sep-27 19:59:09
Scan Name,Scan Tx5-Rx5 Link 3 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3688
Horizontal Opening,41
Horizontal Percentage,63.08
Vertical Opening,129
Vertical Percentage,54.84
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.502569,0.500726,0.500726,0.499505,0.501032,0.500726,0.498289,0.4992,0.49708,0.4992,0.497986,0.497986,0.497684,0.499809,0.497684,0.499809,0.499505,0.498896,0.497986,0.499505,0.501339,0.497382,0.50042,0.498896,0.497986,0.498593,0.498593,0.50042,0.500114,0.497684,0.499505,0.501646,0.501032,0.498896,0.498593,0.499505,0.498896,0.497382,0.4992,0.500114,0.50042,0.501032,0.499809,0.498289,0.498593,0.501339,0.500114,0.498896,0.502569,0.497684,0.501339,0.499809,0.498289,0.4992,0.500114,0.498289,0.4992,0.49708,0.498896,0.499505,0.501646,0.500114,0.50042,0.50042,0.499809
112,0.497382,0.499809,0.498593,0.4992,0.497986,0.495576,0.497986,0.500114,0.497986,0.496778,0.497684,0.497684,0.500114,0.497986,0.499809,0.50042,0.498289,0.499809,0.500114,0.501032,0.502261,0.500114,0.4992,0.499505,0.498289,0.498896,0.502878,0.500114,0.497986,0.500726,0.501953,0.497986,0.498896,0.499505,0.4992,0.502569,0.4992,0.497684,0.500114,0.499809,0.497986,0.500726,0.498896,0.499505,0.4992,0.499809,0.498289,0.498289,0.501339,0.49708,0.497986,0.498593,0.497382,0.497684,0.501646,0.49708,0.499809,0.497684,0.502261,0.497986,0.497986,0.500114,0.501646,0.498593,0.501032
104,0.317884,0.311241,0.317146,0.307734,0.313505,0.3169,0.313505,0.317146,0.320621,0.319371,0.318008,0.324817,0.32676,0.321502,0.339349,0.348442,0.341613,0.34726,0.355242,0.364083,0.368505,0.359608,0.363599,0.375774,0.376292,0.395743,0.387506,0.395361,0.404737,0.396701,0.40374,0.411445,0.419451,0.410415,0.416254,0.400385,0.407759,0.397857,0.39498,0.386957,0.371851,0.37768,0.382262,0.372697,0.372697,0.371345,0.358664,0.366855,0.362633,0.358507,0.354167,0.357256,0.359135,0.346526,0.355705,0.351734,0.368837,0.367513,0.371514,0.370841,0.375086,0.376638,0.39902,0.389348,0.396125
96,0.250516,0.2496,0.250134,0.250057,0.250363,0.249981,0.249676,0.249981,0.249905,0.250134,0.2509,0.249905,0.249828,0.250286,0.2496,0.248465,0.2496,0.248013,0.248389,0.243951,0.237171,0.227426,0.21124,0.185925,0.169114,0.149487,0.128864,0.113634,0.106291,0.0934719,0.0911424,0.0955098,0.105961,0.107083,0.121812,0.14504,0.153896,0.175077,0.197205,0.211567,0.223516,0.23567,0.241862,0.245855,0.248163,0.249752,0.250286,0.24922,0.249981,0.250363,0.249372,0.249676,0.249752,0.2496,0.249981,0.249828,0.250746,0.25113,0.2496,0.25021,0.250746,0.250977,0.25113,0.249981,0.250134
88,0.249981,0.249752,0.249145,0.249372,0.249905,0.249981,0.250134,0.25021,0.250134,0.2496,0.249676,0.250057,0.249905,0.250134,0.246595,0.244753,0.237377,0.227552,0.211676,0.185253,0.160217,0.130944,0.0986973,0.0719785,0.0516381,0.0388535,0.0264981,0.0209302,0.0155594,0.0129385,0.0117901,0.0103929,0.0108755,0.0121101,0.0125687,0.0159434,0.0200658,0.0284036,0.038714,0.0515569,0.0677687,0.0965454,0.128118,0.151309,0.183633,0.212831,0.228632,0.239669,0.246669,0.248766,0.25021,0.250746,0.24922,0.249981,0.249828,0.249524,0.249676,0.250977,0.250057,0.249905,0.249981,0.25021,0.250057,0.250363,0.250057
80,0.250439,0.250286,0.250363,0.250593,0.248918,0.249981,0.249676,0.250516,0.249448,0.2496,0.249069,0.248766,0.245633,0.238274,0.22499,0.210913,0.179686,0.155002,0.118603,0.0864578,0.0575191,0.0380151,0.0225212,0.0128042,0.00731785,0.00416705,0.00272717,0.00159991,0.00114595,0.000893988,0.000767529,0.000571832,0.000643168,0.00062562,0.000704967,0.000810063,0.00115854,0.00175937,0.00272583,0.00423438,0.00681983,0.0117363,0.0195898,0.0320747,0.054413,0.0837872,0.117514,0.155917,0.190642,0.219916,0.237308,0.24556,0.249069,0.248615,0.249828,0.250057,0.249828,0.250363,0.249752,0.249752,0.249676,0.249524,0.250057,0.249828,0.249296
72,0.249676,0.249296,0.249448,0.249448,0.250057,0.250669,0.249448,0.249828,0.249676,0.245707,0.242291,0.233853,0.217753,0.194166,0.158788,0.131238,0.0917446,0.0617509,0.0396451,0.0239536,0.0119478,0.00578546,0.0025761,0.00119039,0.000512131,0.000229839,0.000119593,5.13085e-05,2.86107e-05,1.92645e-05,1.31609e-05,1.01091e-05,7.43877e-06,1.06813e-05,1.02998e-05,1.54498e-05,2.80385e-05,5.39788e-05,9.76577e-05,0.000183108,0.000347143,0.000735103,0.0014229,0.00323472,0.00703956,0.0153826,0.0273665,0.0507268,0.0861215,0.127164,0.171737,0.205259,0.231017,0.242435,0.247339,0.249752,0.249524,0.250286,0.250363,0.249828,0.250439,0.249448,0.249828,0.25021,0.25021
64,0.249752,0.249752,0.249372,0.249676,0.250286,0.250286,0.249448,0.248239,0.24301,0.231083,0.215632,0.192478,0.159499,0.124819,0.0878391,0.0587021,0.0345751,0.0186124,0.00936332,0.00406481,0.00160792,0.000567445,0.000214199,6.82841e-05,2.38422e-05,7.43877e-06,2.28885e-06,9.53689e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,5.72213e-07,1.5259e-06,3.43328e-06,7.82025e-06,2.65126e-05,6.77119e-05,0.000199893,0.000619516,0.00170558,0.00437629,0.00995823,0.0236595,0.0464103,0.0811157,0.12634,0.168835,0.203778,0.229464,0.240654,0.247938,0.24922,0.250669,0.249524,0.249828,0.249676,0.24854,0.249676,0.250516
56,0.249372,0.249372,0.249905,0.249296,0.248918,0.248314,0.243227,0.23459,0.218742,0.191892,0.160373,0.126359,0.0903084,0.0571859,0.0318415,0.0182545,0.00830873,0.00342565,0.00136702,0.000433738,0.00011387,3.33791e-05,1.06813e-05,2.47959e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,1.90738e-07,1.14443e-06,4.00549e-06,2.63218e-05,0.000104906,0.000371557,0.00112058,0.00392615,0.0105709,0.0248021,0.0519822,0.0899811,0.132191,0.17308,0.206292,0.229143,0.241862,0.246743,0.249069,0.25021,0.248993,0.249145,0.250134,0.249069
48,0.250516,0.249981,0.248918,0.248389,0.244899,0.237998,0.224373,0.201374,0.172642,0.132127,0.0958114,0.0634734,0.0377332,0.0200609,0.00954967,0.00400187,0.00155718,0.000451667,0.000123789,3.16625e-05,5.14992e-06,1.5259e-06,7.62951e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,4.57771e-06,1.58312e-05,8.01099e-05,0.000428588,0.00160887,0.00517281,0.0147312,0.0335994,0.0625,0.102207,0.144274,0.185968,0.213497,0.23392,0.243588,0.247339,0.248993,0.249752,0.248766,0.249676
