SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:29
Date and Time Ended,2019-Sep-27 19:57:33
Scan Name,Scan Tx3-Rx3 Link 4 
Link Settings,
Reset RX After Applying Settings,false
Open Area,3080
Horizontal Opening,41
Horizontal Percentage,63.08
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.499809,0.502261,0.501646,0.50042,0.49708,0.50042,0.499809,0.498289,0.500114,0.501646,0.4992,0.502878,0.496778,0.499809,0.497684,0.496477,0.499505,0.497382,0.498593,0.497684,0.50042,0.499809,0.501032,0.498896,0.501646,0.500114,0.497382,0.498289,0.50042,0.497382,0.499505,0.500114,0.501339,0.49708,0.498896,0.50042,0.499809,0.499809,0.498593,0.498896,0.498289,0.499809,0.4992,0.4992,0.498593,0.50042,0.4992,0.497986,0.498289,0.497986,0.4992,0.501032,0.497986,0.500726,0.500114,0.50042,0.499809,0.498896,0.499809,0.500114,0.500114,0.497382,0.499809,0.50042,0.499809
112,0.491709,0.491414,0.490531,0.4923,0.493486,0.494082,0.492005,0.494977,0.497684,0.491414,0.497684,0.501339,0.496477,0.497986,0.500114,0.499505,0.501032,0.501032,0.497684,0.50042,0.4992,0.498593,0.497684,0.498289,0.503186,0.499809,0.50042,0.499505,0.4992,0.500726,0.498289,0.497684,0.498289,0.498593,0.498896,0.499809,0.502878,0.498896,0.497382,0.499809,0.496778,0.498896,0.499809,0.497382,0.497684,0.4992,0.498289,0.496477,0.49708,0.495277,0.498896,0.495876,0.498896,0.495876,0.496477,0.495876,0.496477,0.497986,0.49708,0.497986,0.496177,0.498896,0.50042,0.496778,0.500114
104,0.353098,0.348739,0.346526,0.351131,0.349185,0.35023,0.347113,0.357256,0.356323,0.364245,0.35835,0.361672,0.376811,0.372189,0.381017,0.376465,0.393462,0.379957,0.393084,0.394789,0.401366,0.403143,0.404138,0.40898,0.41774,0.42467,0.430698,0.431151,0.431378,0.433662,0.446667,0.450103,0.432517,0.43597,0.436667,0.425552,0.432746,0.420096,0.424449,0.404937,0.406747,0.400777,0.391768,0.388978,0.389718,0.380663,0.386045,0.387689,0.387323,0.38084,0.378903,0.378378,0.378378,0.382619,0.376119,0.384415,0.392331,0.386045,0.396125,0.396125,0.389348,0.40374,0.410209,0.414778,0.40898
96,0.252135,0.252836,0.251285,0.250669,0.251285,0.250669,0.251362,0.251285,0.251439,0.251439,0.252058,0.252058,0.251671,0.251439,0.252213,0.252291,0.254643,0.252758,0.256316,0.253305,0.252602,0.248088,0.247713,0.237859,0.221163,0.220034,0.205878,0.189671,0.177891,0.171235,0.167866,0.171594,0.170416,0.181437,0.187844,0.194397,0.206866,0.21239,0.231999,0.235534,0.239739,0.244096,0.249905,0.253383,0.25496,0.25496,0.255358,0.255278,0.256799,0.254327,0.254802,0.255996,0.255358,0.255119,0.255358,0.256638,0.256718,0.258174,0.259073,0.256718,0.260639,0.260805,0.261972,0.263574,0.261805
88,0.249752,0.249981,0.248993,0.249981,0.249676,0.249981,0.249448,0.249372,0.249448,0.250363,0.25021,0.249448,0.248842,0.249372,0.2496,0.246892,0.244534,0.237102,0.226045,0.207442,0.186476,0.161099,0.136828,0.109561,0.0878109,0.0704496,0.0589047,0.046141,0.038253,0.0332099,0.0323406,0.0337253,0.0329706,0.0357116,0.0392068,0.046704,0.051334,0.0633409,0.0819761,0.0944308,0.111016,0.131596,0.153091,0.179097,0.196825,0.215917,0.232394,0.239739,0.245707,0.248163,0.24922,0.249524,0.249752,0.249448,0.250439,0.249372,0.249524,0.248766,0.250516,0.249905,0.250439,0.249676,0.250363,0.249524,0.250057
80,0.25021,0.250134,0.249524,0.250134,0.249296,0.2496,0.249069,0.249676,0.249069,0.250134,0.250593,0.248465,0.246743,0.24265,0.233121,0.219445,0.202019,0.171486,0.138166,0.103734,0.0740475,0.0510016,0.0357818,0.0238496,0.0162754,0.0115639,0.00805047,0.00565404,0.00428912,0.00363413,0.00337339,0.00340429,0.00330987,0.00410487,0.00450198,0.00594491,0.00771725,0.010202,0.0149239,0.0189023,0.0264075,0.0341984,0.0469422,0.0647426,0.0845569,0.115476,0.144122,0.174295,0.200046,0.217695,0.23392,0.242938,0.246595,0.248465,0.250134,0.249828,0.249905,0.250363,0.248766,0.249905,0.250746,0.250439,0.249752,0.249752,0.250439
72,0.25021,0.250134,0.249905,0.249145,0.249828,0.2496,0.250134,0.250363,0.248615,0.246743,0.241934,0.23459,0.220271,0.200095,0.169745,0.13819,0.107406,0.0687873,0.0452465,0.0242155,0.0142215,0.00756466,0.00382734,0.00209621,0.00124228,0.000722133,0.000434119,0.000244907,0.000159075,0.000114824,0.00011883,0.000124743,0.000119402,0.000174144,0.000185588,0.000296979,0.000477989,0.000772297,0.00143664,0.00206245,0.00363413,0.00544041,0.00918021,0.0152959,0.0230232,0.0349468,0.0533568,0.0769479,0.103198,0.136395,0.166637,0.194166,0.218742,0.235805,0.24301,0.247563,0.2496,0.249448,0.2496,0.249905,0.2496,0.249905,0.249752,0.249752,0.249752
64,0.249905,0.25021,0.249752,0.249676,0.250746,0.249524,0.248239,0.245339,0.239739,0.227236,0.207075,0.183345,0.155385,0.119033,0.085261,0.0566598,0.0331816,0.0169429,0.00770714,0.00315404,0.00135443,0.000545892,0.000215534,8.33524e-05,4.63493e-05,1.64034e-05,1.12535e-05,4.57771e-06,2.47959e-06,1.5259e-06,9.53689e-07,9.53689e-07,2.09812e-06,3.24254e-06,4.19623e-06,7.62951e-06,1.33516e-05,2.67033e-05,6.96193e-05,0.000133707,0.000285916,0.000575647,0.00123331,0.00264572,0.00465953,0.00829099,0.0150153,0.024531,0.0399565,0.0587568,0.0830398,0.115541,0.150724,0.184253,0.211458,0.229207,0.241363,0.247638,0.249372,0.250057,0.250286,0.249069,0.249905,0.249069,0.249676
56,0.248993,0.250669,0.250057,0.248918,0.249069,0.245119,0.238691,0.226108,0.205568,0.175452,0.142865,0.108444,0.0784212,0.049112,0.0287354,0.0136867,0.00591497,0.00224079,0.000720607,0.000203708,6.82841e-05,1.5259e-05,4.19623e-06,1.90738e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,1.14443e-06,3.24254e-06,9.34615e-06,3.14717e-05,8.5832e-05,0.000255398,0.00060235,0.00146506,0.00309949,0.00611944,0.0115507,0.0204439,0.032347,0.0513372,0.0778992,0.110701,0.149897,0.182244,0.210588,0.230303,0.24265,0.247563,0.248993,0.249448,0.249448,0.249448,0.249981
48,0.249981,0.250593,0.248691,0.246224,0.240937,0.227742,0.209243,0.181437,0.145841,0.108761,0.0750515,0.0492744,0.0284578,0.0137093,0.00601091,0.00211433,0.000612459,0.000161746,3.66217e-05,7.62951e-06,1.14443e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,4.00549e-06,1.31609e-05,5.5314e-05,0.000177958,0.000485618,0.00116159,0.00260262,0.00552892,0.0107092,0.0187509,0.0331266,0.0538479,0.0827964,0.115737,0.154535,0.188449,0.217695,0.235061,0.243878,0.248615,0.250057,0.250439,0.25021
