SW Version,2018.3
GT Type,UltraScale+ GTH
Date and Time Started,2019-Sep-27 19:57:37
Date and Time Ended,2019-Sep-27 19:57:41
Scan Name,Scan Tx3-Rx3 Link 6 
Link Settings,
Reset RX After Applying Settings,false
Open Area,2168
Horizontal Opening,31
Horizontal Percentage,47.69
Vertical Opening,89
Vertical Percentage,38.71
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.498289,0.500114,0.498593,0.496778,0.501953,0.4992,0.498289,0.499505,0.498896,0.501339,0.498593,0.498593,0.497684,0.499505,0.498289,0.498896,0.499809,0.4992,0.496778,0.500114,0.500726,0.500114,0.500114,0.4992,0.4992,0.497382,0.50042,0.498593,0.502261,0.501032,0.498593,0.499809,0.50042,0.499809,0.498289,0.50042,0.498593,0.503805,0.499505,0.498896,0.497382,0.49708,0.499505,0.500114,0.498593,0.497986,0.500114,0.503186,0.497986,0.498593,0.501339,0.499809,0.499809,0.499809,0.498593,0.498896,0.498289,0.501646,0.497684,0.497382,0.50042,0.500114,0.501339,0.4992,0.4992
112,0.499809,0.500114,0.498896,0.497684,0.495876,0.498289,0.496177,0.498289,0.498896,0.497986,0.500114,0.500726,0.499809,0.497382,0.501032,0.50042,0.497986,0.500114,0.499809,0.498593,0.498896,0.498593,0.499505,0.500726,0.504115,0.500726,0.499505,0.499809,0.49708,0.497382,0.498289,0.501032,0.498593,0.501339,0.498896,0.504426,0.498289,0.498593,0.500114,0.4992,0.4992,0.501339,0.499809,0.501032,0.50042,0.498896,0.500114,0.502569,0.499809,0.497684,0.4992,0.501953,0.497986,0.497986,0.501032,0.499505,0.498289,0.50042,0.497684,0.500114,0.499505,0.497684,0.500726,0.50042,0.50042
104,0.404737,0.403143,0.404937,0.402549,0.404537,0.406343,0.410004,0.412897,0.410826,0.411032,0.416042,0.419236,0.423791,0.430925,0.43995,0.432974,0.428445,0.44066,0.443044,0.437133,0.440897,0.447155,0.443764,0.443044,0.447155,0.45284,0.450598,0.454599,0.456626,0.451592,0.457647,0.453341,0.45035,0.447888,0.447643,0.445695,0.441135,0.439007,0.433662,0.433203,0.425773,0.429344,0.432746,0.432746,0.422262,0.425773,0.422916,0.421827,0.419236,0.42401,0.42467,0.429794,0.420527,0.419881,0.427105,0.430246,0.424449,0.433433,0.429119,0.431378,0.432061,0.438772,0.442804,0.441849,0.444245
96,0.26841,0.270537,0.271254,0.269825,0.267359,0.271344,0.271254,0.271344,0.272427,0.271164,0.271975,0.274435,0.274803,0.275635,0.278068,0.273884,0.274987,0.272517,0.269204,0.267272,0.26701,0.259647,0.25268,0.252836,0.245781,0.238413,0.243082,0.24172,0.239458,0.235196,0.246224,0.251362,0.252213,0.256799,0.262392,0.265281,0.266143,0.265625,0.274711,0.275542,0.27911,0.279015,0.28016,0.280832,0.27911,0.280832,0.281314,0.284737,0.280064,0.281895,0.283064,0.280544,0.28326,0.280832,0.280544,0.282673,0.284935,0.285431,0.28673,0.288142,0.288548,0.290801,0.294778,0.291215,0.288243
88,0.249905,0.25021,0.25021,0.249296,0.250363,0.250363,0.249296,0.2496,0.25021,0.248389,0.246224,0.243661,0.239179,0.234054,0.228313,0.220746,0.212335,0.203121,0.189671,0.177659,0.16613,0.146808,0.131154,0.112681,0.101297,0.0858957,0.0778769,0.0720925,0.0659943,0.06502,0.0675062,0.0730374,0.0836503,0.0913253,0.104077,0.121146,0.137057,0.148135,0.167455,0.181076,0.196825,0.207916,0.219093,0.228696,0.234859,0.24222,0.244826,0.248239,0.248993,0.249145,0.249676,0.250057,0.249752,0.250057,0.249069,0.24922,0.2496,0.250057,0.249828,0.249676,0.24922,0.249145,0.249524,0.2496,0.248766
80,0.249828,0.250134,0.250669,0.249372,0.250134,0.249296,0.248615,0.245707,0.242005,0.237446,0.230757,0.221762,0.214167,0.20182,0.192027,0.177852,0.161639,0.144122,0.124402,0.107195,0.0887816,0.0684653,0.0531871,0.0415325,0.0321401,0.0239479,0.0197114,0.0166272,0.0152532,0.0140051,0.0139586,0.0149266,0.0174533,0.0200374,0.0251578,0.0321692,0.0419258,0.0503403,0.0662505,0.08519,0.101034,0.121613,0.1419,0.162344,0.181357,0.197919,0.21217,0.224804,0.233187,0.239739,0.245192,0.247414,0.249524,0.248918,0.249981,0.249676,0.249448,0.250134,0.249828,0.2496,0.250593,0.250057,0.250516,0.25021,0.250057
72,0.249145,0.248918,0.249296,0.248766,0.246224,0.243806,0.239039,0.23213,0.223577,0.214953,0.203222,0.190553,0.17463,0.159158,0.142542,0.12522,0.101247,0.0841487,0.0631602,0.0462426,0.0337475,0.0224798,0.0150863,0.00926452,0.00644141,0.00452697,0.00304227,0.00225643,0.00182803,0.00167811,0.00165885,0.00182269,0.0022343,0.00291981,0.00424563,0.00618734,0.00951266,0.0133797,0.019823,0.0287676,0.0394941,0.0530699,0.0689784,0.0873614,0.108487,0.131406,0.152833,0.172788,0.191042,0.207968,0.222122,0.232856,0.23883,0.243951,0.247563,0.249828,0.249069,0.249828,0.250134,0.250439,0.249448,0.250134,0.249752,0.249905,0.24854
64,0.249296,0.24854,0.246595,0.241577,0.236486,0.228313,0.220746,0.20887,0.196636,0.184087,0.166569,0.148754,0.130548,0.108387,0.0899021,0.0713143,0.0512922,0.0368174,0.0235521,0.0145419,0.00860761,0.00466316,0.0024506,0.00113603,0.000597581,0.00029984,0.000181582,0.000110056,7.53414e-05,7.36248e-05,7.57229e-05,8.98375e-05,0.000139239,0.000216297,0.000362593,0.000626764,0.00132429,0.0022528,0.00398432,0.0076318,0.012336,0.0197833,0.028801,0.0409573,0.0544528,0.0705466,0.0909299,0.114268,0.136736,0.157264,0.178862,0.195324,0.209833,0.222666,0.23372,0.240513,0.245928,0.24719,0.24854,0.2496,0.250057,0.249145,0.249905,0.250057,0.250134
56,0.246298,0.241506,0.235399,0.227805,0.217753,0.206241,0.195184,0.179214,0.162505,0.147948,0.12499,0.104289,0.0845046,0.0643965,0.0477299,0.0327256,0.0201309,0.0121288,0.00632315,0.00298142,0.00131781,0.000486763,0.000176051,5.39788e-05,1.79294e-05,3.81476e-06,3.24254e-06,1.5259e-06,1.90738e-07,5.72213e-07,7.62951e-07,2.09812e-06,3.62402e-06,6.10361e-06,1.54498e-05,3.4905e-05,9.00282e-05,0.000213817,0.000503929,0.00124247,0.00255779,0.00511902,0.00919184,0.0166144,0.0252734,0.0359766,0.050091,0.0665303,0.0842179,0.105051,0.128238,0.148889,0.169464,0.186858,0.203071,0.218159,0.229272,0.23883,0.243444,0.246669,0.24922,0.249905,0.250669,0.251207,0.25409
48,0.234926,0.227679,0.218508,0.206085,0.19472,0.180239,0.16228,0.142146,0.123242,0.104568,0.0825794,0.0622483,0.0459779,0.0299126,0.0192913,0.0111088,0.00527733,0.00243286,0.000967613,0.00028439,8.79301e-05,1.98367e-05,3.81476e-06,3.81476e-07,1.90738e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.81476e-07,2.28885e-06,7.24804e-06,2.72755e-05,9.47967e-05,0.000286679,0.000815785,0.0020367,0.00452277,0.0089477,0.0156839,0.0246847,0.0364748,0.0491975,0.0644421,0.0826127,0.103394,0.122651,0.145298,0.165359,0.186052,0.20083,0.214897,0.226545,0.237446,0.243661,0.247863,0.252524,0.25704,0.263574
40,0.220271,0.210534,0.194766,0.182163,0.165059,0.145711,0.127659,0.104502,0.0842092,0.0678079,0.0477382,0.03231,0.0207415,0.0114176,0.00595331,0.00258145,0.000909628,0.000282864,7.62951e-05,1.79294e-05,1.14443e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,4.19623e-06,2.26978e-05,7.93469e-05,0.000268368,0.000850881,0.00213722,0.00478752,0.009691,0.0178197,0.0272372,0.0389237,0.0520317,0.0668998,0.0831578,0.104876,0.12352,0.149133,0.166063,0.185757,0.202318,0.218334,0.23246,0.244607,0.255836,0.267621,0.278162
32,0.205929,0.189627,0.170985,0.152549,0.133093,0.112064,0.0919712,0.0699443,0.0526267,0.0377732,0.0242392,0.013686,0.00705882,0.00312848,0.0012417,0.000389868,8.54505e-05,1.69757e-05,1.71664e-06,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.14443e-06,3.62402e-06,2.65126e-05,9.823e-05,0.000368124,0.00107767,0.0029427,0.00667086,0.0122625,0.0204439,0.0308359,0.0424537,0.0557081,0.0711533,0.0876324,0.110956,0.13003,0.15078,0.173043,0.196778,0.216774,0.238274,0.258664,0.276472,0.294248
24,0.193616,0.169044,0.144147,0.121686,0.0985429,0.0788438,0.0600489,0.0410045,0.0277926,0.0179194,0.00948863,0.00447013,0.00177291,0.000552186,0.000141909,3.03273e-05,2.86107e-06,3.81476e-07,3.81476e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,9.53689e-07,8.01099e-06,3.52865e-05,0.000145342,0.000611505,0.001841,0.00405756,0.00886969,0.0157225,0.0244431,0.0352187,0.0478246,0.0613118,0.0787377,0.0978836,0.11862,0.144096,0.174073,0.20287,0.228887,0.256557,0.281605,0.310063
16,0.183963,0.150034,0.118482,0.0920953,0.0682656,0.049917,0.0334417,0.020491,0.0116213,0.00623045,0.00256771,0.000857366,0.000250248,4.71122e-05,8.20172e-06,9.53689e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,3.24254e-06,1.1635e-05,6.67582e-05,0.000324445,0.000946059,0.00264839,0.0059596,0.011383,0.0191623,0.0287313,0.0408837,0.0551902,0.0725523,0.0945398,0.121559,0.152124,0.186391,0.217637,0.250823,0.285929,0.321502
8,0.175603,0.137494,0.103407,0.0730374,0.0492211,0.0302999,0.017081,0.00841897,0.00368315,0.00158827,0.000463493,9.97559e-05,1.69757e-05,9.53689e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,4.00549e-06,3.60494e-05,0.000146677,0.000530442,0.00170596,0.00410945,0.00854314,0.0164182,0.0271425,0.0425729,0.0606985,0.0819515,0.107576,0.138027,0.17319,0.209779,0.24652,0.288548,0.329918
0,0.171486,0.133854,0.100023,0.0687757,0.0438631,0.0258142,0.0132757,0.00552853,0.0020098,0.000602541,0.00012932,2.23163e-05,1.5259e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,5.72213e-07,5.14992e-06,3.81476e-05,0.000184062,0.000739872,0.00220989,0.00567712,0.0123108,0.0229233,0.0391899,0.0587147,0.0792404,0.103747,0.134912,0.168418,0.206448,0.246966,0.291422,0.332328
