SW Version,2018.3
GT Type,UltraScale+ GTY
Date and Time Started,2019-Sep-27 19:56:55
Date and Time Ended,2019-Sep-27 19:57:00
Scan Name,Scan Tx2-Rx2 Link 8 
Link Settings,
Reset RX After Applying Settings,false
Open Area,4056
Horizontal Opening,25
Horizontal Percentage,38.46
Vertical Opening,217
Vertical Percentage,90.32
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
120,0.21333,0.19275,0.173778,0.153867,0.137217,0.123038,0.109752,0.0943982,0.0776481,0.0605998,0.0434998,0.0297411,0.0202269,0.0120579,0.00715023,0.00407111,0.00205634,0.00106785,0.000500401,0.000227932,9.55596e-05,4.08179e-05,1.28748e-05,6.10361e-06,3.0518e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.81476e-07,3.81476e-07,8.5832e-07,3.0518e-06,8.86931e-06,1.98367e-05,5.7126e-05,0.000138666,0.000330835,0.000721561,0.00147021,0.002846,0.00498322,0.00884785,0.014277,0.0227098,0.0340449,0.0480349,0.0646353,0.0815112,0.0989357,0.113713,0.127838,0.140032,0.151142,0.17145,0.193023,0.212887,0.23154,0.250977,0.262897,0.284638
112,0.205105,0.179883,0.162344,0.14397,0.130236,0.116296,0.101234,0.083693,0.067534,0.0503063,0.035008,0.0238205,0.0149574,0.00844158,0.00481212,0.00256046,0.00123636,0.000599012,0.000261788,0.000115587,4.7303e-05,1.77386e-05,6.86656e-06,2.47959e-06,1.04906e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,7.62951e-07,5.72213e-07,2.7657e-06,1.11582e-05,2.37469e-05,7.09545e-05,0.000181868,0.000425536,0.000895228,0.00182946,0.00337463,0.00626472,0.0107266,0.0177122,0.0275006,0.0412398,0.055841,0.0720482,0.0911626,0.105051,0.119311,0.131914,0.146808,0.164232,0.184502,0.205413,0.232196,0.248691,0.27545,0.291318
104,0.195045,0.172243,0.151701,0.136577,0.122157,0.109371,0.0923965,0.0761044,0.0579915,0.0414275,0.027873,0.0173888,0.0106233,0.0059225,0.00309243,0.00157654,0.000735676,0.000324063,0.000136091,5.56001e-05,2.03136e-05,6.58045e-06,1.81201e-06,6.67582e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.5832e-07,4.38697e-06,9.34615e-06,3.22347e-05,9.09819e-05,0.000226883,0.00053397,0.00116121,0.0023702,0.0044995,0.00796534,0.0135104,0.0216946,0.0333355,0.0479843,0.0654721,0.0817063,0.098864,0.111393,0.126692,0.141337,0.158205,0.177007,0.201077,0.225796,0.256799,0.276753,0.304531
96,0.188666,0.165159,0.145504,0.130236,0.11577,0.100538,0.0841919,0.0652323,0.0487206,0.033963,0.0214841,0.0131116,0.00745529,0.00396868,0.00197118,0.000956931,0.000435168,0.000162985,6.37064e-05,2.55589e-05,9.25078e-06,2.47959e-06,8.5832e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.19623e-06,1.28748e-05,4.28206e-05,0.000122835,0.000311379,0.000708209,0.00151503,0.0030417,0.00574674,0.00997598,0.0167086,0.0260142,0.0395896,0.0554104,0.0726101,0.0913253,0.107111,0.121722,0.133679,0.149214,0.168835,0.194397,0.220805,0.253461,0.27508,0.303403
88,0.180438,0.15784,0.139318,0.123595,0.107392,0.0926683,0.0747025,0.055986,0.040015,0.0268111,0.0161416,0.00939715,0.00505217,0.00260662,0.00122225,0.000542744,0.000228504,8.21126e-05,3.03273e-05,9.63226e-06,2.38422e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.81476e-07,1.33516e-06,5.72213e-06,2.11719e-05,5.82704e-05,0.000164416,0.000425154,0.000935569,0.00208877,0.00405365,0.00740542,0.0124512,0.0211775,0.0323304,0.047716,0.0643509,0.0799519,0.100341,0.113618,0.127006,0.146598,0.163707,0.190243,0.222002,0.2496,0.296592,0.311953
80,0.177775,0.153005,0.13381,0.117767,0.101864,0.0845395,0.0658088,0.0474177,0.0316386,0.0206054,0.011952,0.00671102,0.00346876,0.00168584,0.000725662,0.000304227,0.000116827,4.41558e-05,1.35424e-05,4.86381e-06,1.2398e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,2.47959e-06,8.29709e-06,2.57496e-05,9.54643e-05,0.000243191,0.000593194,0.00135109,0.00276293,0.00522526,0.00950907,0.016264,0.0264237,0.0406827,0.055246,0.0737608,0.0915907,0.108272,0.125642,0.138283,0.162151,0.187629,0.218217,0.257283,0.28663,0.3282
72,0.173263,0.148619,0.129006,0.111545,0.09442,0.0743499,0.0562474,0.0398399,0.0257574,0.0156806,0.00842023,0.00458057,0.0021705,0.00100614,0.00042277,0.000166705,5.60769e-05,1.85016e-05,6.19898e-06,1.5259e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,7.62951e-07,4.2916e-06,1.24933e-05,4.30114e-05,0.000132086,0.000351911,0.000831998,0.00184854,0.00368706,0.0068896,0.0123479,0.0207148,0.0332489,0.0477104,0.06564,0.0851723,0.102629,0.118895,0.136304,0.15468,0.184004,0.220805,0.258256,0.286229,0.319496
64,0.171809,0.145556,0.124082,0.104943,0.0861758,0.0660316,0.0482102,0.0318626,0.0201681,0.011773,0.00625114,0.00312572,0.00144341,0.000623808,0.000246624,8.42107e-05,2.80385e-05,8.01099e-06,2.7657e-06,8.5832e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.62127e-06,7.24804e-06,1.8883e-05,6.7998e-05,0.000186637,0.000518616,0.00121357,0.00256886,0.00486801,0.00929543,0.0163635,0.0259598,0.0395399,0.0577136,0.074431,0.0957442,0.113335,0.136168,0.156095,0.183592,0.215689,0.250669,0.302283,0.317269
56,0.172243,0.144274,0.122157,0.0999497,0.0775599,0.0579177,0.0397124,0.0256493,0.0149656,0.00836674,0.0042484,0.00196288,0.00087501,0.000357729,0.000128462,4.53002e-05,1.35424e-05,3.81476e-06,4.76844e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.38422e-06,1.00137e-05,3.57633e-05,0.000105573,0.00029984,0.00075351,0.00168431,0.00352131,0.0067343,0.0121289,0.0206012,0.0327413,0.0497563,0.0672347,0.0873148,0.110941,0.130402,0.158267,0.184004,0.220567,0.264938,0.289466,0.329786
48,0.174592,0.146966,0.119624,0.0930472,0.0711347,0.0499383,0.0321326,0.0198475,0.010962,0.00580329,0.0027533,0.00126822,0.000514134,0.000193503,6.67582e-05,1.97414e-05,6.48508e-06,1.71664e-06,3.81476e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.2398e-06,5.91287e-06,1.86923e-05,5.38834e-05,0.000169757,0.000442702,0.00109112,0.00233825,0.00476406,0.00896364,0.0161416,0.0269434,0.0418252,0.0619002,0.0800457,0.106388,0.133986,0.154856,0.185588,0.220212,0.258419,0.28865,0.3282
